1,濱崎 誠,濱崎 誠.1,2,三浦 永理,三浦 永理.1,3,松尾 怜実,松尾 怜実.1,4,八木 治樹,八木 治樹.1,5,長尾　京志郎,長尾　京志郎.1,6,鈴木 雅希,鈴木 雅希.1
2.0,3.0,11.7,1.0,3.0,35.3,1.0,2.0,130.1,1.0,2.0,116.4,1.0,2.0,287.6,1.0,2.0,37.9
2.0,4.0,13.7,1.0,4.0,22.4,1.0,4.0,184.7,1.0,3.0,219.5,1.0,3.0,887.3,1.0,3.0,89.8
2.0,5.0,11.7,1.0,5.0,41.2,1.0,5.0,313.4,1.0,5.0,211.4,1.0,4.0,406.4,1.0,4.0,88.1
2.0,6.0,7.9,1.0,6.0,16.9,1.0,6.0,143.1,1.0,6.0,112.9,1.0,6.0,414.4,1.0,5.0,149.2
3.0,2.0,33.4,3.0,1.0,118.8,2.0,1.0,179.4,2.0,1.0,143.1,2.0,1.0,379.5,2.0,1.0,48.0
3.0,4.0,76.0,3.0,4.0,200.0,2.0,4.0,241.3,2.0,3.0,278.7,2.0,3.0,954.5,2.0,3.0,88.1
3.0,5.0,116.4,3.0,5.0,311.8,2.0,5.0,368.4,2.0,5.0,222.6,2.0,4.0,700.0,2.0,4.0,82.6
3.0,6.0,58.9,3.0,6.0,109.9,2.0,6.0,141.2,2.0,6.0,122.0,2.0,6.0,350.0,2.0,5.0,138.4
4.0,2.0,34.1,4.0,1.0,74.1,4.0,1.0,315.0,3.0,1.0,422.8,3.0,1.0,1188.0,3.0,1.0,194.4
4.0,3.0,92.1,4.0,3.0,171.2,4.0,2.0,406.4,3.0,2.0,600.0,3.0,2.0,1211.0,3.0,2.0,170.7
4.0,5.0,100.0,4.0,5.0,191.4,4.0,5.0,759.0,3.0,5.0,677.4,3.0,4.0,1369.0,3.0,4.0,328.1
4.0,6.0,56.1,4.0,6.0,71.0,4.0,6.0,294.4,3.0,6.0,411.7,3.0,6.0,787.5,3.0,5.0,488.3
5.0,2.0,43.4,5.0,1.0,161.1,5.0,1.0,605.7,5.0,1.0,353.9,4.0,1.0,684.8,4.0,1.0,161.1
5.0,3.0,182.6,5.0,3.0,384.1,5.0,2.0,488.3,5.0,2.0,329.8,4.0,2.0,677.4,4.0,2.0,105.1
5.0,4.0,127.2,5.0,4.0,281.2,5.0,4.0,670.2,5.0,3.0,684.8,4.0,3.0,1067.0,4.0,3.0,311.8
5.0,6.0,59.4,5.0,6.0,152.1,5.0,6.0,414.4,5.0,6.0,241.3,4.0,6.0,466.6,4.0,5.0,290.3
6.0,2.0,17.9,6.0,1.0,41.5,6.0,1.0,164.9,6.0,1.0,132.0,6.0,1.0,504.0,5.0,1.0,368.4
6.0,3.0,66.5,6.0,3.0,95.0,6.0,2.0,147.2,6.0,2.0,115.1,6.0,2.0,428.5,5.0,2.0,285.0
6.0,4.0,46.3,6.0,4.0,67.8,6.0,4.0,248.0,6.0,3.0,246.1,6.0,3.0,828.9,5.0,3.0,656.2
6.0,5.0,45.6,6.0,5.0,130.4,6.0,5.0,364.1,6.0,5.0,221.0,6.0,4.0,572.7,5.0,4.0,425.6
