1,向後 龍一,向後 龍一.1,2,大野 芳顕,大野 芳顕.1,3,松崎　祐太郎,松崎　祐太郎.1,4,大原 祥昌,大原 祥昌.1,5,伊藤 啓三,伊藤 啓三.1,6,松田 竜馬,松田 竜馬.1
2.0,3.0,9.5,1.0,3.0,31.7,1.0,2.0,30.1,1.0,2.0,74.1,1.0,2.0,230.6,1.0,2.0,984.3
2.0,4.0,13.3,1.0,4.0,37.8,1.0,4.0,36.3,1.0,3.0,63.2,1.0,3.0,168.0,1.0,3.0,867.1
2.0,5.0,23.6,1.0,5.0,63.3,1.0,5.0,33.7,1.0,5.0,98.4,1.0,4.0,326.2,1.0,4.0,1070.0
2.0,6.0,50.0,1.0,6.0,99.7,1.0,6.0,70.5,1.0,6.0,113.9,1.0,6.0,358.5,1.0,5.0,1462.0
3.0,2.0,8.8,3.0,1.0,57.8,2.0,1.0,56.4,2.0,1.0,123.4,2.0,1.0,364.4,2.0,1.0,1288.0
3.0,4.0,11.8,3.0,4.0,97.5,2.0,4.0,91.7,2.0,3.0,164.0,2.0,3.0,409.4,2.0,3.0,1519.0
3.0,5.0,15.6,3.0,5.0,139.2,2.0,5.0,109.1,2.0,5.0,252.2,2.0,4.0,636.2,2.0,4.0,1705.0
3.0,6.0,33.9,3.0,6.0,205.9,2.0,6.0,189.9,2.0,6.0,306.5,2.0,6.0,821.6,2.0,5.0,2204.0
4.0,2.0,22.4,4.0,1.0,92.0,4.0,1.0,79.2,3.0,1.0,106.1,3.0,1.0,205.6,3.0,1.0,931.6
4.0,3.0,22.0,4.0,3.0,120.3,4.0,2.0,108.6,3.0,2.0,175.8,3.0,2.0,365.4,3.0,2.0,1426.0
4.0,5.0,45.3,4.0,5.0,216.7,4.0,5.0,149.2,3.0,5.0,225.8,3.0,4.0,572.8,3.0,4.0,1337.0
4.0,6.0,57.0,4.0,6.0,258.3,4.0,6.0,176.7,3.0,6.0,256.7,3.0,6.0,603.1,3.0,5.0,1665.0
5.0,2.0,44.2,5.0,1.0,226.3,5.0,1.0,78.7,5.0,1.0,164.8,4.0,1.0,453.0,4.0,1.0,1230.0
5.0,3.0,40.9,5.0,3.0,257.0,5.0,2.0,112.2,5.0,2.0,267.2,4.0,2.0,668.8,4.0,2.0,1643.0
5.0,4.0,72.1,5.0,4.0,380.8,5.0,4.0,145.8,5.0,3.0,265.9,4.0,3.0,661.8,4.0,3.0,1515.0
5.0,6.0,118.4,5.0,6.0,444.6,5.0,6.0,145.9,5.0,6.0,249.4,4.0,6.0,644.1,4.0,5.0,1920.0
6.0,2.0,182.6,6.0,1.0,489.1,6.0,1.0,297.5,6.0,1.0,287.5,6.0,1.0,722.9,5.0,1.0,1674.0
6.0,3.0,151.3,6.0,3.0,646.1,6.0,2.0,434.1,6.0,2.0,457.9,6.0,2.0,915.3,5.0,2.0,2019.0
6.0,4.0,197.5,6.0,4.0,652.8,6.0,4.0,360.8,6.0,3.0,427.9,6.0,3.0,793.5,5.0,3.0,1836.0
6.0,5.0,275.9,6.0,5.0,899.5,6.0,5.0,459.6,6.0,5.0,448.4,6.0,4.0,915.3,5.0,4.0,1987.0
