1,田中　太一郎,田中　太一郎.1,2,鈴木 秀茉,鈴木 秀茉.1,3,西村 秀樹,西村 秀樹.1,4,板橋 侑我,板橋 侑我.1,5,本岡 勝利,本岡 勝利.1,6,佐々木　翔斗,佐々木　翔斗.1
2.0,3.0,34.6,1.0,3.0,94.0,1.0,2.0,172.2,1.0,2.0,40.2,1.0,2.0,476.6,1.0,2.0,89.6
2.0,4.0,18.8,1.0,4.0,50.6,1.0,4.0,116.6,1.0,3.0,77.3,1.0,3.0,524.5,1.0,3.0,151.1
2.0,5.0,56.0,1.0,5.0,119.5,1.0,5.0,224.8,1.0,5.0,69.9,1.0,4.0,355.4,1.0,4.0,56.1
2.0,6.0,28.6,1.0,6.0,60.5,1.0,6.0,127.7,1.0,6.0,25.2,1.0,6.0,292.2,1.0,5.0,161.7
3.0,2.0,45.3,3.0,1.0,240.4,2.0,1.0,271.4,2.0,1.0,78.1,2.0,1.0,713.6,2.0,1.0,142.3
3.0,4.0,28.2,3.0,4.0,187.5,2.0,4.0,192.7,2.0,3.0,170.8,2.0,3.0,907.0,2.0,3.0,305.0
3.0,5.0,65.5,3.0,5.0,359.1,2.0,5.0,374.0,2.0,5.0,148.3,2.0,4.0,629.2,2.0,4.0,100.7
3.0,6.0,36.7,3.0,6.0,197.5,2.0,6.0,193.7,2.0,6.0,39.5,2.0,6.0,605.3,2.0,5.0,273.3
4.0,2.0,19.4,4.0,1.0,76.5,4.0,1.0,130.4,3.0,1.0,157.2,3.0,1.0,659.8,3.0,1.0,280.4
4.0,3.0,26.7,4.0,3.0,138.0,4.0,2.0,149.6,3.0,2.0,177.2,3.0,2.0,954.9,3.0,2.0,404.7
4.0,5.0,33.9,4.0,5.0,156.0,4.0,5.0,149.1,3.0,5.0,186.2,3.0,4.0,768.2,3.0,4.0,201.7
4.0,6.0,14.0,4.0,6.0,51.7,4.0,6.0,89.9,3.0,6.0,94.5,3.0,6.0,734.9,3.0,5.0,455.0
5.0,2.0,115.9,5.0,1.0,378.2,5.0,1.0,367.9,5.0,1.0,122.9,4.0,1.0,378.7,4.0,1.0,56.7
5.0,3.0,123.2,5.0,3.0,480.8,5.0,2.0,402.3,5.0,2.0,147.1,4.0,2.0,446.7,4.0,2.0,69.0
5.0,4.0,85.3,5.0,4.0,321.3,5.0,4.0,258.2,5.0,3.0,207.4,4.0,3.0,686.5,4.0,3.0,123.0
5.0,6.0,91.7,5.0,6.0,315.3,5.0,6.0,254.6,5.0,6.0,54.1,4.0,6.0,189.5,4.0,5.0,82.1
6.0,2.0,46.6,6.0,1.0,125.4,6.0,1.0,220.6,6.0,1.0,27.1,6.0,1.0,316.8,5.0,1.0,281.0
6.0,3.0,57.0,6.0,3.0,209.0,6.0,2.0,254.6,6.0,2.0,28.8,6.0,2.0,459.6,5.0,2.0,361.5
6.0,4.0,26.1,6.0,4.0,74.4,6.0,4.0,150.6,6.0,3.0,68.4,6.0,3.0,548.9,5.0,3.0,432.5
6.0,5.0,72.2,6.0,5.0,247.8,6.0,5.0,303.0,6.0,5.0,38.9,6.0,4.0,191.2,5.0,4.0,151.9
