1,永田 義紘,永田 義紘.1,2,向井田　直弥,向井田　直弥.1,3,富永 大一,富永 大一.1,4,飯山 晃三,飯山 晃三.1,5,天野 友和,天野 友和.1,6,荒川 健太,荒川 健太.1
2.0,3.0,9.1,1.0,3.0,31.4,1.0,2.0,36.9,1.0,2.0,536.8,1.0,2.0,173.2,1.0,2.0,289.6
2.0,4.0,37.7,1.0,4.0,117.3,1.0,4.0,85.2,1.0,3.0,534.3,1.0,3.0,144.5,1.0,3.0,249.8
2.0,5.0,16.2,1.0,5.0,52.9,1.0,5.0,27.2,1.0,5.0,474.1,1.0,4.0,397.7,1.0,4.0,847.3
2.0,6.0,20.4,1.0,6.0,48.3,1.0,6.0,27.4,1.0,6.0,577.8,1.0,6.0,157.2,1.0,5.0,306.8
3.0,2.0,9.8,3.0,1.0,59.6,2.0,1.0,60.2,2.0,1.0,813.9,2.0,1.0,274.9,2.0,1.0,394.2
3.0,4.0,31.9,3.0,4.0,208.3,2.0,4.0,164.2,2.0,3.0,938.4,2.0,3.0,310.6,2.0,3.0,294.9
3.0,5.0,11.6,3.0,5.0,81.7,2.0,5.0,66.3,2.0,5.0,853.7,2.0,4.0,841.1,2.0,4.0,901.1
3.0,6.0,15.0,3.0,6.0,64.2,2.0,6.0,53.8,2.0,6.0,794.0,2.0,6.0,291.1,2.0,5.0,418.9
4.0,2.0,82.6,4.0,1.0,304.4,4.0,1.0,187.9,3.0,1.0,688.1,3.0,1.0,175.9,3.0,1.0,257.1
4.0,3.0,82.2,4.0,3.0,388.2,4.0,2.0,243.6,3.0,2.0,915.7,3.0,2.0,273.6,3.0,2.0,324.8
4.0,5.0,101.8,4.0,5.0,359.3,4.0,5.0,167.5,3.0,5.0,754.4,3.0,4.0,569.1,3.0,4.0,643.3
4.0,6.0,117.4,4.0,6.0,361.0,4.0,6.0,148.3,3.0,6.0,589.8,3.0,6.0,184.4,3.0,5.0,295.3
5.0,2.0,41.2,5.0,1.0,142.0,5.0,1.0,60.9,5.0,1.0,615.4,4.0,1.0,837.9,4.0,1.0,1305.0
5.0,3.0,34.0,5.0,3.0,142.5,5.0,2.0,87.4,5.0,2.0,811.0,4.0,2.0,1076.0,4.0,2.0,1384.0
5.0,4.0,121.8,5.0,4.0,358.7,5.0,4.0,151.8,5.0,3.0,950.1,4.0,3.0,1009.0,4.0,3.0,1135.0
5.0,6.0,44.8,5.0,6.0,142.9,5.0,6.0,51.2,5.0,6.0,482.1,4.0,6.0,582.3,4.0,5.0,978.8
6.0,2.0,70.0,6.0,1.0,166.8,6.0,1.0,72.6,6.0,1.0,1009.0,6.0,1.0,219.8,5.0,1.0,329.6
6.0,3.0,52.1,6.0,3.0,142.2,6.0,2.0,79.7,6.0,2.0,942.3,6.0,2.0,278.3,5.0,2.0,417.4
6.0,4.0,179.2,6.0,4.0,412.9,6.0,4.0,145.4,6.0,3.0,841.1,6.0,3.0,214.0,5.0,3.0,332.5
6.0,5.0,70.5,6.0,5.0,181.2,6.0,5.0,66.8,6.0,5.0,612.1,6.0,4.0,493.6,5.0,4.0,675.8
