1,浦田 信義,浦田 信義.1,2,庄司 孝輔,庄司 孝輔.1,3,吉武 真也,吉武 真也.1,4,杉山 正樹,杉山 正樹.1,5,大田 直弥,大田 直弥.1,6,吉田 宗弘,吉田 宗弘.1
2.0,3.0,18.2,1.0,3.0,42.3,1.0,2.0,71.5,1.0,2.0,22.2,1.0,2.0,414.7,1.0,2.0,818.4
2.0,4.0,10.0,1.0,4.0,20.7,1.0,4.0,37.5,1.0,3.0,34.0,1.0,3.0,567.2,1.0,3.0,1283.0
2.0,5.0,48.5,1.0,5.0,76.1,1.0,5.0,99.9,1.0,5.0,35.8,1.0,4.0,207.3,1.0,4.0,476.3
2.0,6.0,115.5,1.0,6.0,183.1,1.0,6.0,215.8,1.0,6.0,79.3,1.0,6.0,461.9,1.0,5.0,791.8
3.0,2.0,24.1,3.0,1.0,88.2,2.0,1.0,97.4,2.0,1.0,35.9,2.0,1.0,577.9,2.0,1.0,916.9
3.0,4.0,15.7,3.0,4.0,73.5,2.0,4.0,79.8,2.0,3.0,66.2,2.0,3.0,858.8,2.0,3.0,1563.0
3.0,5.0,54.5,3.0,5.0,232.7,2.0,5.0,258.9,2.0,5.0,59.8,2.0,4.0,328.7,2.0,4.0,717.3
3.0,6.0,151.8,3.0,6.0,381.0,2.0,6.0,423.4,2.0,6.0,118.3,2.0,6.0,852.7,2.0,5.0,1172.0
4.0,2.0,10.1,4.0,1.0,34.2,4.0,1.0,46.4,3.0,1.0,59.4,3.0,1.0,734.6,3.0,1.0,1604.0
4.0,3.0,13.5,4.0,3.0,58.7,4.0,2.0,67.1,3.0,2.0,82.8,3.0,2.0,1033.0,3.0,2.0,1999.0
4.0,5.0,26.5,4.0,5.0,72.5,4.0,5.0,61.5,3.0,5.0,94.7,3.0,4.0,609.7,3.0,4.0,1340.0
4.0,6.0,61.9,4.0,6.0,137.4,4.0,6.0,148.3,3.0,6.0,180.1,3.0,6.0,1670.0,3.0,5.0,1563.0
5.0,2.0,124.4,5.0,1.0,266.2,5.0,1.0,259.4,5.0,1.0,48.9,4.0,1.0,227.5,4.0,1.0,589.1
5.0,3.0,117.7,5.0,3.0,417.6,5.0,2.0,337.8,5.0,2.0,67.4,4.0,2.0,254.0,4.0,2.0,709.0
5.0,4.0,66.8,5.0,4.0,176.9,5.0,4.0,156.3,5.0,3.0,112.8,4.0,3.0,493.7,4.0,3.0,1195.0
5.0,6.0,216.2,5.0,6.0,559.4,5.0,6.0,549.3,5.0,6.0,78.0,4.0,6.0,335.0,4.0,5.0,952.7
6.0,2.0,279.7,6.0,1.0,460.1,6.0,1.0,648.6,6.0,1.0,164.3,6.0,1.0,858.8,5.0,1.0,1129.0
6.0,3.0,322.6,6.0,3.0,709.0,6.0,2.0,776.7,6.0,2.0,175.4,6.0,2.0,1042.0,5.0,2.0,1742.0
6.0,4.0,185.8,6.0,4.0,367.3,6.0,4.0,501.8,6.0,3.0,279.0,6.0,3.0,1297.0,5.0,3.0,2391.0
6.0,5.0,321.7,6.0,5.0,791.8,6.0,5.0,930.9,6.0,5.0,152.8,6.0,4.0,591.9,5.0,4.0,1098.0
