1,溝口　海義也,溝口　海義也.1,2,小林 文彦,小林 文彦.1,3,藤井 公人,藤井 公人.1,4,松下 哲也,松下 哲也.1,5,松田 隆司,松田 隆司.1,6,長野　壮志郎,長野　壮志郎.1
2.0,3.0,17.2,1.0,3.0,192.4,1.0,2.0,300.9,1.0,2.0,148.1,1.0,2.0,216.4,1.0,2.0,43.1
2.0,4.0,13.3,1.0,4.0,169.8,1.0,4.0,297.8,1.0,3.0,261.9,1.0,3.0,380.4,1.0,3.0,72.6
2.0,5.0,15.2,1.0,5.0,163.0,1.0,5.0,288.4,1.0,5.0,120.1,1.0,4.0,283.2,1.0,4.0,79.0
2.0,6.0,8.6,1.0,6.0,91.4,1.0,6.0,154.1,1.0,6.0,83.6,1.0,6.0,114.4,1.0,5.0,71.2
3.0,2.0,23.7,3.0,1.0,494.3,2.0,1.0,551.1,2.0,1.0,353.6,2.0,1.0,459.5,2.0,1.0,102.3
3.0,4.0,30.9,3.0,4.0,1206.0,2.0,4.0,1126.0,2.0,3.0,970.9,2.0,3.0,1543.0,2.0,3.0,318.5
3.0,5.0,30.0,3.0,5.0,1121.0,2.0,5.0,1198.0,2.0,5.0,628.5,2.0,4.0,1302.0,2.0,4.0,296.2
3.0,6.0,16.8,3.0,6.0,855.8,2.0,6.0,760.9,2.0,6.0,383.4,2.0,6.0,473.9,2.0,5.0,299.9
4.0,2.0,23.1,4.0,1.0,369.3,4.0,1.0,597.9,3.0,1.0,738.1,3.0,1.0,871.0,3.0,1.0,180.2
4.0,3.0,38.6,4.0,3.0,988.6,4.0,2.0,1074.0,3.0,2.0,1274.0,3.0,2.0,1977.0,3.0,2.0,456.0
4.0,5.0,31.7,4.0,5.0,1072.0,4.0,5.0,995.9,3.0,5.0,1193.0,3.0,4.0,2365.0,3.0,4.0,436.5
4.0,6.0,17.6,4.0,6.0,564.9,4.0,6.0,543.9,3.0,6.0,620.5,3.0,6.0,892.5,3.0,5.0,539.0
5.0,2.0,26.8,5.0,1.0,523.4,5.0,1.0,665.5,5.0,1.0,194.1,4.0,1.0,408.2,4.0,1.0,182.9
5.0,3.0,47.4,5.0,3.0,1418.0,5.0,2.0,1341.0,5.0,2.0,378.3,4.0,2.0,773.9,4.0,2.0,360.7
5.0,4.0,48.7,5.0,4.0,1418.0,5.0,4.0,1341.0,5.0,3.0,610.8,4.0,3.0,1280.0,4.0,3.0,432.3
5.0,6.0,21.1,5.0,6.0,564.3,5.0,6.0,714.7,5.0,6.0,156.1,4.0,6.0,320.3,4.0,5.0,364.5
6.0,2.0,11.6,6.0,1.0,184.4,6.0,1.0,237.9,6.0,1.0,116.0,6.0,1.0,177.6,5.0,1.0,164.0
6.0,3.0,21.2,6.0,3.0,638.8,6.0,2.0,617.7,6.0,2.0,235.5,6.0,2.0,326.9,5.0,2.0,310.4
6.0,4.0,24.3,6.0,4.0,597.3,6.0,4.0,539.6,6.0,3.0,328.1,6.0,3.0,591.4,5.0,3.0,528.0
6.0,5.0,21.4,6.0,5.0,518.9,6.0,5.0,645.7,6.0,5.0,167.2,6.0,4.0,388.3,5.0,4.0,423.2
