1,立間 充宏,立間 充宏.1,2,越智 照浩,越智 照浩.1,3,安河内 将,安河内 将.1,4,上岡 巧汰,上岡 巧汰.1,5,井川 大作,井川 大作.1,6,出畑 孝典,出畑 孝典.1
2.0,3.0,38.7,1.0,3.0,237.0,1.0,2.0,26.3,1.0,2.0,1710.0,1.0,2.0,376.6,1.0,2.0,174.7
2.0,4.0,270.3,1.0,4.0,1129.0,1.0,4.0,53.0,1.0,3.0,821.1,1.0,3.0,97.7,1.0,3.0,50.6
2.0,5.0,101.3,1.0,5.0,537.4,1.0,5.0,12.0,1.0,5.0,1426.0,1.0,4.0,541.2,1.0,4.0,339.0
2.0,6.0,73.9,1.0,6.0,345.8,1.0,6.0,6.6,1.0,6.0,952.5,1.0,6.0,133.8,1.0,5.0,119.9
3.0,2.0,14.9,3.0,1.0,299.9,2.0,1.0,117.6,2.0,1.0,2105.0,2.0,1.0,910.5,2.0,1.0,450.6
3.0,4.0,50.1,3.0,4.0,1474.0,2.0,4.0,458.6,2.0,3.0,2496.0,2.0,3.0,726.6,2.0,3.0,462.0
3.0,5.0,8.9,3.0,5.0,655.8,2.0,5.0,170.0,2.0,5.0,2437.0,2.0,4.0,1439.0,2.0,4.0,1248.0
3.0,6.0,6.0,3.0,6.0,531.9,2.0,6.0,132.1,2.0,6.0,2259.0,2.0,6.0,818.9,2.0,5.0,825.5
4.0,2.0,481.4,4.0,1.0,1810.0,4.0,1.0,219.5,3.0,1.0,814.6,3.0,1.0,109.0,3.0,1.0,60.0
4.0,3.0,236.6,4.0,3.0,2668.0,4.0,2.0,560.8,3.0,2.0,2050.0,3.0,2.0,330.3,3.0,2.0,210.4
4.0,5.0,532.8,4.0,5.0,3191.0,4.0,5.0,285.8,3.0,5.0,1204.0,3.0,4.0,440.3,3.0,4.0,313.6
4.0,6.0,393.8,4.0,6.0,2496.0,4.0,6.0,209.3,3.0,6.0,859.9,3.0,6.0,101.8,3.0,5.0,111.7
5.0,2.0,107.3,5.0,1.0,1001.0,5.0,1.0,28.7,5.0,1.0,1810.0,4.0,1.0,1155.0,4.0,1.0,793.7
5.0,3.0,32.1,5.0,3.0,940.9,5.0,2.0,112.9,5.0,2.0,2558.0,4.0,2.0,1789.0,4.0,2.0,1524.0
5.0,4.0,275.1,5.0,4.0,2418.0,5.0,4.0,118.1,5.0,3.0,1413.0,4.0,3.0,1063.0,4.0,3.0,714.9
5.0,6.0,53.2,5.0,6.0,1295.0,5.0,6.0,26.2,5.0,6.0,1612.0,4.0,6.0,1021.0,4.0,5.0,1129.0
6.0,2.0,72.1,6.0,1.0,646.2,6.0,1.0,17.0,6.0,1.0,1199.0,6.0,1.0,144.3,5.0,1.0,177.7
6.0,3.0,19.2,6.0,3.0,771.9,6.0,2.0,68.0,6.0,2.0,1959.0,6.0,2.0,429.9,5.0,2.0,495.3
6.0,4.0,169.3,6.0,4.0,1910.0,6.0,4.0,90.1,6.0,3.0,1121.0,6.0,3.0,110.5,5.0,3.0,154.3
6.0,5.0,52.0,6.0,5.0,1248.0,6.0,5.0,27.6,6.0,5.0,1532.0,6.0,4.0,433.5,5.0,4.0,523.8
