1,磯村 匠,磯村 匠.1,2,川崎 智稔,川崎 智稔.1,3,中渡 修作,中渡 修作.1,4,前出 達吉,前出 達吉.1,5,竹腰 正樹,竹腰 正樹.1,6,宮本 琉正,宮本 琉正.1
2.0,3.0,13.5,1.0,3.0,38.0,1.0,2.0,94.9,1.0,2.0,28.3,1.0,2.0,94.4,1.0,2.0,1293.0
2.0,4.0,9.3,1.0,4.0,23.9,1.0,4.0,77.6,1.0,3.0,58.4,1.0,3.0,139.0,1.0,3.0,1187.0
2.0,5.0,24.4,1.0,5.0,48.8,1.0,5.0,98.7,1.0,5.0,32.5,1.0,4.0,108.5,1.0,4.0,1484.0
2.0,6.0,147.9,1.0,6.0,364.3,1.0,6.0,681.9,1.0,6.0,179.2,1.0,6.0,425.8,1.0,5.0,1710.0
3.0,2.0,18.0,3.0,1.0,76.1,2.0,1.0,122.9,2.0,1.0,41.5,2.0,1.0,136.5,2.0,1.0,1506.0
3.0,4.0,15.6,3.0,4.0,89.0,2.0,4.0,103.0,2.0,3.0,87.1,2.0,3.0,226.7,2.0,3.0,2587.0
3.0,5.0,30.9,3.0,5.0,129.0,2.0,5.0,185.8,2.0,5.0,42.9,2.0,4.0,121.1,2.0,4.0,1421.0
3.0,6.0,157.9,3.0,6.0,848.1,2.0,6.0,834.0,2.0,6.0,229.3,2.0,6.0,651.1,2.0,5.0,1552.0
4.0,2.0,11.0,4.0,1.0,43.7,4.0,1.0,112.7,3.0,1.0,111.5,3.0,1.0,283.4,3.0,1.0,1529.0
4.0,3.0,18.7,4.0,3.0,81.7,4.0,2.0,127.5,3.0,2.0,141.7,3.0,2.0,323.4,3.0,2.0,2461.0
4.0,5.0,23.9,4.0,5.0,48.4,4.0,5.0,162.7,3.0,5.0,140.5,3.0,4.0,382.2,3.0,4.0,2523.0
4.0,6.0,145.2,4.0,6.0,563.8,4.0,6.0,862.6,3.0,6.0,573.4,3.0,6.0,885.3,3.0,5.0,3480.0
5.0,2.0,37.8,5.0,1.0,98.2,5.0,1.0,188.9,5.0,1.0,33.3,4.0,1.0,93.2,4.0,1.0,1978.0
5.0,3.0,68.8,5.0,3.0,152.2,5.0,2.0,254.2,5.0,2.0,34.9,4.0,2.0,88.2,4.0,2.0,2194.0
5.0,4.0,42.6,5.0,4.0,95.9,5.0,4.0,264.2,5.0,3.0,84.1,4.0,3.0,227.3,4.0,3.0,2727.0
5.0,6.0,309.5,5.0,6.0,782.3,5.0,6.0,764.5,5.0,6.0,135.1,4.0,6.0,321.4,4.0,5.0,1802.0
6.0,2.0,557.5,6.0,1.0,1109.0,6.0,1.0,1363.0,6.0,1.0,480.5,6.0,1.0,1085.0,5.0,1.0,2883.0
6.0,3.0,800.9,6.0,3.0,1770.0,6.0,2.0,1484.0,6.0,2.0,604.3,6.0,2.0,1109.0,5.0,2.0,2147.0
6.0,4.0,597.1,6.0,4.0,1601.0,6.0,4.0,1834.0,6.0,3.0,855.2,6.0,3.0,1277.0,5.0,3.0,2727.0
6.0,5.0,934.4,6.0,5.0,1327.0,6.0,5.0,1462.0,6.0,5.0,504.6,6.0,4.0,1009.0,5.0,4.0,2059.0
