1,麻生 慎介,麻生 慎介.1,2,竹間 隆晟,竹間 隆晟.1,3,中 亮太,中 亮太.1,4,梶山 涼斗,梶山 涼斗.1,5,井内　将太郎,井内　将太郎.1,6,佐々木　英樹,佐々木　英樹.1
2.0,3.0,5.5,1.0,3.0,13.8,1.0,2.0,48.0,1.0,2.0,446.8,1.0,2.0,69.3,1.0,2.0,1275.0
2.0,4.0,22.0,1.0,4.0,40.7,1.0,4.0,98.2,1.0,3.0,567.9,1.0,3.0,98.3,1.0,3.0,2089.0
2.0,5.0,8.4,1.0,5.0,14.8,1.0,5.0,48.3,1.0,5.0,447.8,1.0,4.0,268.8,1.0,4.0,2478.0
2.0,6.0,64.2,1.0,6.0,82.7,1.0,6.0,207.5,1.0,6.0,958.0,1.0,6.0,197.4,1.0,5.0,1594.0
3.0,2.0,10.9,3.0,1.0,35.7,2.0,1.0,63.4,2.0,1.0,590.8,2.0,1.0,90.6,2.0,1.0,1661.0
3.0,4.0,28.6,3.0,4.0,88.6,2.0,4.0,163.5,2.0,3.0,975.1,2.0,3.0,130.5,2.0,3.0,2498.0
3.0,5.0,12.7,3.0,5.0,39.0,2.0,5.0,71.4,2.0,5.0,787.0,2.0,4.0,337.2,2.0,4.0,3591.0
3.0,6.0,82.0,3.0,6.0,182.1,2.0,6.0,271.9,2.0,6.0,1473.0,2.0,6.0,225.8,2.0,5.0,1743.0
4.0,2.0,65.9,4.0,1.0,181.6,4.0,1.0,293.9,3.0,1.0,769.8,3.0,1.0,190.3,3.0,1.0,2897.0
4.0,3.0,70.3,4.0,3.0,204.6,4.0,2.0,358.6,3.0,2.0,961.0,3.0,2.0,202.1,3.0,2.0,3139.0
4.0,5.0,82.0,4.0,5.0,244.0,4.0,5.0,335.0,3.0,5.0,806.0,3.0,4.0,633.9,3.0,4.0,4283.0
4.0,6.0,187.9,4.0,6.0,557.3,4.0,6.0,793.2,3.0,6.0,1891.0,3.0,6.0,530.2,3.0,5.0,3259.0
5.0,2.0,18.4,5.0,1.0,44.1,5.0,1.0,114.2,5.0,1.0,657.5,4.0,1.0,604.5,4.0,1.0,3331.0
5.0,3.0,22.1,5.0,3.0,55.2,5.0,2.0,123.8,5.0,2.0,883.2,4.0,2.0,772.8,4.0,2.0,3771.0
5.0,4.0,70.4,5.0,4.0,159.0,5.0,4.0,296.5,5.0,3.0,1055.0,4.0,3.0,964.1,4.0,3.0,4875.0
5.0,6.0,89.0,5.0,6.0,183.5,5.0,6.0,392.2,5.0,6.0,1366.0,4.0,6.0,1137.0,4.0,5.0,4314.0
6.0,2.0,209.8,6.0,1.0,409.0,6.0,1.0,822.6,6.0,1.0,2149.0,6.0,1.0,396.8,5.0,1.0,1738.0
6.0,3.0,290.6,6.0,3.0,577.2,6.0,2.0,967.2,6.0,2.0,2457.0,6.0,2.0,448.8,5.0,2.0,2032.0
6.0,4.0,404.9,6.0,4.0,984.7,6.0,4.0,1353.0,6.0,3.0,3059.0,6.0,3.0,660.4,5.0,3.0,2998.0
6.0,5.0,248.7,6.0,5.0,509.5,6.0,5.0,1013.0,6.0,5.0,2271.0,6.0,4.0,1084.0,5.0,4.0,3869.0
