1,長尾 章平,長尾 章平.1,2,末永 由楽,末永 由楽.1,3,井内　将太郎,井内　将太郎.1,4,永田 義紘,永田 義紘.1,5,中 亮太,中 亮太.1,6,藤田 俊祐,藤田 俊祐.1
2.0,3.0,5.8,1.0,3.0,29.0,1.0,2.0,46.2,1.0,2.0,576.9,1.0,2.0,45.1,1.0,2.0,556.9
2.0,4.0,25.7,1.0,4.0,99.7,1.0,4.0,80.3,1.0,3.0,587.8,1.0,3.0,45.7,1.0,3.0,734.5
2.0,5.0,8.2,1.0,5.0,32.7,1.0,5.0,38.1,1.0,5.0,560.8,1.0,4.0,179.3,1.0,4.0,1647.0
2.0,6.0,31.4,1.0,6.0,87.6,1.0,6.0,103.6,1.0,6.0,832.5,1.0,6.0,76.8,1.0,5.0,534.1
3.0,2.0,9.5,3.0,1.0,89.3,2.0,1.0,107.7,2.0,1.0,902.0,2.0,1.0,90.3,2.0,1.0,693.7
3.0,4.0,26.2,3.0,4.0,394.6,2.0,4.0,360.6,2.0,3.0,1294.0,2.0,3.0,154.5,2.0,3.0,1294.0
3.0,5.0,10.1,3.0,5.0,139.2,2.0,5.0,165.9,2.0,5.0,1387.0,2.0,4.0,439.3,2.0,4.0,1842.0
3.0,6.0,39.9,3.0,6.0,372.8,2.0,6.0,439.3,2.0,6.0,2050.0,2.0,6.0,217.9,2.0,5.0,1070.0
4.0,2.0,66.7,4.0,1.0,468.2,4.0,1.0,323.8,3.0,1.0,856.6,3.0,1.0,104.8,3.0,1.0,1168.0
4.0,3.0,67.4,4.0,3.0,696.3,4.0,2.0,539.2,3.0,2.0,1360.0,3.0,2.0,186.6,3.0,2.0,1836.0
4.0,5.0,84.7,4.0,5.0,679.5,4.0,5.0,357.4,3.0,5.0,1151.0,3.0,4.0,444.5,3.0,4.0,2577.0
4.0,6.0,149.4,4.0,6.0,1104.0,4.0,6.0,653.4,3.0,6.0,1772.0,3.0,6.0,279.9,3.0,5.0,1548.0
5.0,2.0,13.4,5.0,1.0,91.7,5.0,1.0,81.4,5.0,1.0,733.6,4.0,1.0,497.7,4.0,1.0,2401.0
5.0,3.0,14.2,5.0,3.0,150.5,5.0,2.0,142.6,5.0,2.0,1158.0,4.0,2.0,865.8,4.0,2.0,3305.0
5.0,4.0,65.5,5.0,4.0,442.8,5.0,4.0,267.0,5.0,3.0,1034.0,4.0,3.0,832.5,4.0,3.0,3796.0
5.0,6.0,39.6,5.0,6.0,279.2,5.0,6.0,253.4,5.0,6.0,1135.0,4.0,6.0,780.4,4.0,5.0,2265.0
6.0,2.0,103.2,6.0,1.0,393.5,6.0,1.0,447.4,6.0,1.0,1600.0,6.0,1.0,181.6,5.0,1.0,648.9
6.0,3.0,114.2,6.0,3.0,760.4,6.0,2.0,794.8,6.0,2.0,2508.0,6.0,2.0,300.9,5.0,2.0,1048.0
6.0,4.0,238.8,6.0,4.0,1211.0,6.0,4.0,1205.0,6.0,3.0,2229.0,6.0,3.0,377.1,5.0,3.0,1478.0
6.0,5.0,104.6,6.0,5.0,623.6,6.0,5.0,664.2,6.0,5.0,1892.0,6.0,4.0,668.1,5.0,4.0,1931.0
