1,松本 博昭,松本 博昭.1,2,泉 具巳,泉 具巳.1,3,金子 賢志,金子 賢志.1,4,山田 和佐,山田 和佐.1,5,東 健介,東 健介.1,6,佃 來紀,佃 來紀.1
2.0,3.0,8.8,1.0,3.0,37.2,1.0,2.0,22.5,1.0,2.0,138.6,1.0,2.0,687.6,1.0,2.0,369.5
2.0,4.0,17.6,1.0,4.0,86.4,1.0,4.0,33.8,1.0,3.0,126.9,1.0,3.0,425.8,1.0,3.0,246.2
2.0,5.0,38.0,1.0,5.0,138.4,1.0,5.0,39.2,1.0,5.0,349.6,1.0,4.0,863.2,1.0,4.0,518.7
2.0,6.0,31.4,1.0,6.0,111.5,1.0,6.0,24.3,1.0,6.0,227.3,1.0,6.0,736.8,1.0,5.0,693.6
3.0,2.0,6.9,3.0,1.0,49.4,2.0,1.0,40.0,2.0,1.0,264.7,2.0,1.0,1168.0,2.0,1.0,616.7
3.0,4.0,9.9,3.0,4.0,150.6,2.0,4.0,108.0,2.0,3.0,374.5,2.0,3.0,892.5,2.0,3.0,571.3
3.0,5.0,22.5,3.0,5.0,143.1,2.0,5.0,117.8,2.0,5.0,828.4,2.0,4.0,1938.0,2.0,4.0,1107.0
3.0,6.0,14.2,3.0,6.0,123.3,2.0,6.0,73.0,2.0,6.0,559.8,2.0,6.0,1391.0,2.0,5.0,1271.0
4.0,2.0,23.5,4.0,1.0,216.5,4.0,1.0,85.0,3.0,1.0,235.7,3.0,1.0,440.4,3.0,1.0,282.4
4.0,3.0,20.3,4.0,3.0,313.2,4.0,2.0,160.6,3.0,2.0,397.5,3.0,2.0,701.8,3.0,2.0,493.2
4.0,5.0,78.6,4.0,5.0,676.7,4.0,5.0,200.4,3.0,5.0,785.8,3.0,4.0,1087.0,3.0,4.0,699.8
4.0,6.0,47.4,4.0,6.0,436.0,4.0,6.0,123.9,3.0,6.0,510.3,3.0,6.0,636.7,3.0,5.0,674.8
5.0,2.0,107.0,5.0,1.0,383.0,5.0,1.0,72.0,5.0,1.0,792.4,4.0,1.0,1375.0,4.0,1.0,808.6
5.0,3.0,77.6,5.0,3.0,385.5,5.0,2.0,142.8,5.0,2.0,1203.0,4.0,2.0,2341.0,4.0,2.0,1139.0
5.0,4.0,185.2,5.0,4.0,843.2,5.0,4.0,185.8,5.0,3.0,1285.0,4.0,3.0,1677.0,4.0,3.0,951.8
5.0,6.0,144.6,5.0,6.0,532.1,5.0,6.0,83.9,5.0,6.0,906.2,4.0,6.0,1785.0,4.0,5.0,1642.0
6.0,2.0,79.6,6.0,1.0,316.8,6.0,1.0,49.2,6.0,1.0,630.7,6.0,1.0,1271.0,5.0,1.0,1460.0
6.0,3.0,57.3,6.0,3.0,328.0,6.0,2.0,99.6,6.0,2.0,843.2,6.0,2.0,1765.0,5.0,2.0,2140.0
6.0,4.0,109.2,6.0,4.0,616.7,6.0,4.0,123.8,6.0,3.0,742.6,6.0,3.0,1107.0,5.0,3.0,1278.0
6.0,5.0,169.1,6.0,5.0,622.4,6.0,5.0,92.2,6.0,5.0,1197.0,6.0,4.0,1979.0,5.0,4.0,1826.0
