1,草場 康幸,草場 康幸.1,2,村本 大成,村本 大成.1,3,荒川 健太,荒川 健太.1,4,川島 拓郎,川島 拓郎.1,5,天野 友和,天野 友和.1,6,田中 和也,田中 和也.1
2.0,3.0,42.8,1.0,3.0,104.0,1.0,2.0,59.3,1.0,2.0,437.4,1.0,2.0,518.8,1.0,2.0,104.7
2.0,4.0,122.7,1.0,4.0,341.7,1.0,4.0,36.6,1.0,3.0,149.5,1.0,3.0,230.8,1.0,3.0,30.0
2.0,5.0,137.0,1.0,5.0,431.0,1.0,5.0,29.9,1.0,5.0,252.4,1.0,4.0,425.2,1.0,4.0,82.0
2.0,6.0,61.3,1.0,6.0,174.0,1.0,6.0,12.6,1.0,6.0,150.1,1.0,6.0,270.4,1.0,5.0,67.1
3.0,2.0,29.5,3.0,1.0,127.6,2.0,1.0,108.3,2.0,1.0,846.6,2.0,1.0,1181.0,2.0,1.0,229.6
3.0,4.0,30.5,3.0,4.0,469.7,2.0,4.0,281.2,2.0,3.0,810.3,2.0,3.0,1036.0,2.0,3.0,200.1
3.0,5.0,25.9,3.0,5.0,528.7,2.0,5.0,290.5,2.0,5.0,968.3,2.0,4.0,1196.0,2.0,4.0,343.4
3.0,6.0,9.7,3.0,6.0,186.7,2.0,6.0,112.5,2.0,6.0,508.7,2.0,6.0,921.1,2.0,5.0,403.7
4.0,2.0,177.6,4.0,1.0,668.9,4.0,1.0,76.7,3.0,1.0,182.0,3.0,1.0,271.1,3.0,1.0,29.3
4.0,3.0,78.4,4.0,3.0,939.4,4.0,2.0,274.6,3.0,2.0,512.6,3.0,2.0,810.3,3.0,2.0,103.3
4.0,5.0,150.6,4.0,5.0,1074.0,4.0,5.0,91.3,3.0,5.0,180.2,3.0,4.0,525.7,3.0,4.0,41.9
4.0,6.0,87.1,4.0,6.0,558.7,4.0,6.0,41.9,3.0,6.0,93.9,3.0,6.0,211.8,3.0,5.0,42.0
5.0,2.0,232.7,5.0,1.0,1091.0,5.0,1.0,88.2,5.0,1.0,335.4,4.0,1.0,504.9,4.0,1.0,126.4
5.0,3.0,85.2,5.0,3.0,948.9,5.0,2.0,321.0,5.0,2.0,672.7,4.0,2.0,830.2,4.0,2.0,236.1
5.0,4.0,195.0,5.0,4.0,1310.0,5.0,4.0,136.8,5.0,3.0,251.9,4.0,3.0,517.6,4.0,3.0,73.4
5.0,6.0,89.5,5.0,6.0,768.0,5.0,6.0,61.6,5.0,6.0,219.4,4.0,6.0,394.6,4.0,5.0,117.4
6.0,2.0,46.2,6.0,1.0,239.8,6.0,1.0,15.4,6.0,1.0,191.3,6.0,1.0,291.1,5.0,1.0,128.8
6.0,3.0,14.1,6.0,3.0,216.3,6.0,2.0,65.1,6.0,2.0,343.2,6.0,2.0,627.1,5.0,2.0,326.3
6.0,4.0,46.5,6.0,4.0,421.8,6.0,4.0,24.0,6.0,3.0,100.1,6.0,3.0,208.3,5.0,3.0,95.5
6.0,5.0,39.6,6.0,5.0,527.5,6.0,5.0,25.2,6.0,5.0,169.0,6.0,4.0,381.2,5.0,4.0,167.8
