1,坂井 康嗣,坂井 康嗣.1,2,幸野 史明,幸野 史明.1,3,水摩 敦,水摩 敦.1,4,溝口　海義也,溝口　海義也.1,5,片岡 恵里,片岡 恵里.1,6,竹間 隆晟,竹間 隆晟.1
2.0,3.0,32.6,1.0,3.0,86.2,1.0,2.0,49.9,1.0,2.0,133.5,1.0,2.0,972.2,1.0,2.0,170.8
2.0,4.0,46.7,1.0,4.0,110.9,1.0,4.0,19.0,1.0,3.0,56.4,1.0,3.0,1336.0,1.0,3.0,55.9
2.0,5.0,217.8,1.0,5.0,374.1,1.0,5.0,95.0,1.0,5.0,223.1,1.0,4.0,1624.0,1.0,4.0,131.8
2.0,6.0,69.7,1.0,6.0,152.0,1.0,6.0,26.8,1.0,6.0,78.6,1.0,6.0,1365.0,1.0,5.0,307.7
3.0,2.0,25.2,3.0,1.0,106.4,2.0,1.0,83.8,2.0,1.0,175.5,2.0,1.0,1309.0,2.0,1.0,292.9
3.0,4.0,14.5,3.0,4.0,84.4,2.0,4.0,52.5,2.0,3.0,117.9,2.0,3.0,1584.0,2.0,3.0,165.1
3.0,5.0,87.0,3.0,5.0,333.3,2.0,5.0,203.7,2.0,5.0,432.0,2.0,4.0,2138.0,2.0,4.0,243.0
3.0,6.0,22.1,3.0,6.0,104.5,2.0,6.0,67.6,2.0,6.0,176.0,2.0,6.0,1887.0,2.0,5.0,644.8
4.0,2.0,55.6,4.0,1.0,192.4,4.0,1.0,20.8,3.0,1.0,39.8,3.0,1.0,1425.0,3.0,1.0,57.1
4.0,3.0,25.1,4.0,3.0,125.2,4.0,2.0,39.7,3.0,2.0,75.8,3.0,2.0,1944.0,3.0,2.0,116.3
4.0,5.0,184.1,4.0,5.0,572.9,4.0,5.0,51.7,3.0,5.0,98.7,3.0,4.0,1270.0,3.0,4.0,46.5
4.0,6.0,42.9,4.0,6.0,175.3,4.0,6.0,11.3,3.0,6.0,26.9,3.0,6.0,1210.0,3.0,5.0,198.3
5.0,2.0,532.4,5.0,1.0,1034.0,5.0,1.0,340.4,5.0,1.0,403.5,4.0,1.0,1859.0,4.0,1.0,169.3
5.0,3.0,361.4,5.0,3.0,903.7,5.0,2.0,368.7,5.0,2.0,602.4,4.0,2.0,2138.0,4.0,2.0,215.3
5.0,4.0,491.6,5.0,4.0,1350.0,5.0,4.0,173.8,5.0,3.0,318.4,4.0,3.0,1410.0,4.0,3.0,62.2
5.0,6.0,459.9,5.0,6.0,1135.0,5.0,6.0,146.4,5.0,6.0,255.6,4.0,6.0,1156.0,4.0,5.0,404.8
6.0,2.0,94.2,6.0,1.0,313.7,6.0,1.0,32.3,6.0,1.0,82.2,6.0,1.0,1757.0,5.0,1.0,929.9
6.0,3.0,47.5,6.0,3.0,179.2,6.0,2.0,57.9,6.0,2.0,133.4,6.0,2.0,1624.0,5.0,2.0,1096.0
6.0,4.0,65.7,6.0,4.0,218.2,6.0,4.0,18.4,6.0,3.0,40.5,6.0,3.0,1096.0,5.0,3.0,575.4
6.0,5.0,195.6,6.0,5.0,635.3,6.0,5.0,76.7,6.0,5.0,166.0,6.0,4.0,1106.0,5.0,4.0,807.1
