1,林 祐介,林 祐介.1,2,西山 貴浩,西山 貴浩.1,3,原田 雄次,原田 雄次.1,4,胡本 悟志,胡本 悟志.1,5,金田 大輔,金田 大輔.1,6,澤崎 雄哉,澤崎 雄哉.1
2.0,3.0,6.7,1.0,3.0,8.0,1.0,2.0,41.0,1.0,2.0,248.9,1.0,2.0,174.4,1.0,2.0,565.8
2.0,4.0,12.0,1.0,4.0,18.3,1.0,4.0,114.7,1.0,3.0,541.0,1.0,3.0,338.8,1.0,3.0,1764.0
2.0,5.0,12.7,1.0,5.0,14.5,1.0,5.0,90.6,1.0,5.0,393.2,1.0,4.0,502.3,1.0,4.0,2614.0
2.0,6.0,26.8,1.0,6.0,28.7,1.0,6.0,175.6,1.0,6.0,650.1,1.0,6.0,462.2,1.0,5.0,2372.0
3.0,2.0,12.7,3.0,1.0,24.1,2.0,1.0,41.8,2.0,1.0,256.7,2.0,1.0,191.7,2.0,1.0,667.0
3.0,4.0,36.6,3.0,4.0,50.4,2.0,4.0,75.8,2.0,3.0,346.7,2.0,3.0,227.4,2.0,3.0,1119.0
3.0,5.0,33.5,3.0,5.0,36.2,2.0,5.0,68.7,2.0,5.0,304.0,2.0,4.0,397.1,2.0,4.0,1755.0
3.0,6.0,77.8,3.0,6.0,58.9,2.0,6.0,90.6,2.0,6.0,398.0,2.0,6.0,314.4,2.0,5.0,1492.0
4.0,2.0,42.8,4.0,1.0,79.4,4.0,1.0,235.6,3.0,1.0,747.8,3.0,1.0,546.0,3.0,1.0,2614.0
4.0,3.0,92.7,4.0,3.0,99.5,4.0,2.0,163.4,3.0,2.0,505.9,3.0,2.0,352.5,3.0,2.0,1689.0
4.0,5.0,139.4,4.0,5.0,132.7,4.0,5.0,239.4,3.0,5.0,844.8,3.0,4.0,989.5,3.0,4.0,3035.0
4.0,6.0,242.0,4.0,6.0,163.4,4.0,6.0,420.9,3.0,6.0,1044.0,3.0,6.0,925.5,3.0,5.0,3411.0
5.0,2.0,44.5,5.0,1.0,63.8,5.0,1.0,206.4,5.0,1.0,457.4,4.0,1.0,653.6,4.0,1.0,4368.0
5.0,3.0,87.6,5.0,3.0,83.5,5.0,2.0,149.8,5.0,2.0,408.4,4.0,2.0,575.8,4.0,2.0,2211.0
5.0,4.0,168.3,5.0,4.0,174.9,5.0,4.0,312.0,5.0,3.0,799.5,4.0,3.0,1085.0,4.0,3.0,3347.0
5.0,6.0,183.6,5.0,6.0,153.2,5.0,6.0,369.2,5.0,6.0,644.2,4.0,6.0,838.8,4.0,5.0,4070.0
6.0,2.0,118.8,6.0,1.0,142.2,6.0,1.0,695.5,6.0,1.0,1226.0,6.0,1.0,891.0,5.0,1.0,2842.0
6.0,3.0,292.6,6.0,3.0,198.7,6.0,2.0,409.8,6.0,2.0,913.7,6.0,2.0,647.7,5.0,2.0,1643.0
6.0,4.0,471.9,6.0,4.0,283.8,6.0,4.0,976.0,6.0,3.0,1346.0,6.0,3.0,1194.0,5.0,3.0,2595.0
6.0,5.0,381.8,6.0,5.0,282.2,6.0,5.0,823.4,6.0,5.0,1235.0,6.0,4.0,1613.0,5.0,4.0,3546.0
