1,植田 太一,植田 太一.1,2,村上 彰一,村上 彰一.1,3,中島 真二,中島 真二.1,4,岩崎 正哉,岩崎 正哉.1,5,山口 修路,山口 修路.1,6,高倉 和士,高倉 和士.1
2.0,3.0,19.9,1.0,3.0,101.7,1.0,2.0,321.7,1.0,2.0,61.2,1.0,2.0,525.2,1.0,2.0,84.7
2.0,4.0,8.7,1.0,4.0,51.6,1.0,4.0,224.7,1.0,3.0,118.6,1.0,3.0,736.7,1.0,3.0,189.7
2.0,5.0,39.4,1.0,5.0,144.4,1.0,5.0,463.8,1.0,5.0,114.9,1.0,4.0,391.3,1.0,4.0,65.0
2.0,6.0,10.8,1.0,6.0,55.2,1.0,6.0,219.0,1.0,6.0,36.4,1.0,6.0,339.4,1.0,5.0,201.4
3.0,2.0,30.6,3.0,1.0,251.5,2.0,1.0,426.9,2.0,1.0,122.2,2.0,1.0,720.8,2.0,1.0,174.7
3.0,4.0,20.7,3.0,4.0,406.6,2.0,4.0,623.6,2.0,3.0,402.1,2.0,3.0,1800.0,2.0,3.0,636.7
3.0,5.0,63.3,3.0,5.0,794.7,2.0,5.0,1095.0,2.0,5.0,331.6,2.0,4.0,1113.0,2.0,4.0,217.0
3.0,6.0,22.3,3.0,6.0,407.1,2.0,6.0,656.8,2.0,6.0,119.8,2.0,6.0,917.4,2.0,5.0,609.9
4.0,2.0,10.4,4.0,1.0,106.4,4.0,1.0,395.5,3.0,1.0,316.5,3.0,1.0,1099.0,3.0,1.0,439.9
4.0,3.0,21.6,4.0,3.0,322.6,4.0,2.0,663.3,3.0,2.0,535.4,3.0,2.0,2094.0,3.0,2.0,900.0
4.0,5.0,35.3,4.0,5.0,380.5,4.0,5.0,965.2,3.0,5.0,814.2,3.0,4.0,1881.0,3.0,4.0,521.9
4.0,6.0,9.1,4.0,6.0,114.3,4.0,6.0,391.3,3.0,6.0,333.6,3.0,6.0,1648.0,3.0,5.0,1067.0
5.0,2.0,89.7,5.0,1.0,516.3,5.0,1.0,830.4,5.0,1.0,178.5,4.0,1.0,450.6,4.0,1.0,88.7
5.0,3.0,117.3,5.0,3.0,1081.0,5.0,2.0,1520.0,5.0,2.0,303.2,4.0,2.0,881.0,4.0,2.0,167.0
5.0,4.0,80.3,5.0,4.0,745.0,5.0,4.0,1326.0,5.0,3.0,607.6,4.0,3.0,1342.0,4.0,3.0,348.3
5.0,6.0,71.5,5.0,6.0,592.5,5.0,6.0,1037.0,5.0,6.0,153.9,4.0,6.0,385.8,4.0,5.0,236.5
6.0,2.0,19.8,6.0,1.0,159.7,6.0,1.0,426.9,6.0,1.0,54.7,6.0,1.0,417.3,5.0,1.0,356.5
6.0,3.0,30.0,6.0,3.0,554.1,6.0,2.0,847.3,6.0,2.0,100.4,6.0,2.0,834.6,5.0,2.0,696.6
6.0,4.0,15.3,6.0,4.0,203.1,6.0,4.0,500.7,6.0,3.0,223.6,6.0,3.0,1275.0,5.0,3.0,973.7
6.0,5.0,50.7,6.0,5.0,602.2,6.0,5.0,1018.0,6.0,5.0,130.5,6.0,4.0,443.4,5.0,4.0,374.1
