1,向井田　佑紀,向井田　佑紀.1,2,寺田 祥,寺田 祥.1,3,熊本 英一,熊本 英一.1,4,切田 潤二,切田 潤二.1,5,伊藤 啓三,伊藤 啓三.1,6,川上 剛,川上 剛.1
2.0,3.0,33.8,1.0,3.0,29.6,1.0,2.0,357.5,1.0,2.0,1143.0,1.0,2.0,131.1,1.0,2.0,25.2
2.0,4.0,66.1,1.0,4.0,65.7,1.0,4.0,898.6,1.0,3.0,1684.0,1.0,3.0,456.5,1.0,3.0,119.8
2.0,5.0,17.1,1.0,5.0,13.7,1.0,5.0,559.6,1.0,5.0,1215.0,1.0,4.0,702.9,1.0,4.0,216.0
2.0,6.0,8.3,1.0,6.0,9.0,1.0,6.0,565.7,1.0,6.0,993.6,1.0,6.0,162.6,1.0,5.0,71.8
3.0,2.0,110.5,3.0,1.0,47.1,2.0,1.0,281.8,2.0,1.0,1054.0,2.0,1.0,103.1,2.0,1.0,24.4
3.0,4.0,240.3,3.0,4.0,74.2,2.0,4.0,400.5,2.0,3.0,1291.0,2.0,3.0,247.2,2.0,3.0,87.5
3.0,5.0,199.6,3.0,5.0,36.4,2.0,5.0,277.0,2.0,5.0,1029.0,2.0,4.0,462.0,2.0,4.0,179.6
3.0,6.0,150.6,3.0,6.0,46.6,2.0,6.0,300.6,2.0,6.0,953.9,2.0,6.0,94.2,2.0,5.0,41.8
4.0,2.0,278.5,4.0,1.0,132.8,4.0,1.0,1286.0,3.0,1.0,1802.0,3.0,1.0,807.3,3.0,1.0,278.2
4.0,3.0,462.7,4.0,3.0,120.0,4.0,2.0,939.4,3.0,2.0,1441.0,3.0,2.0,541.0,3.0,2.0,228.2
4.0,5.0,381.3,4.0,5.0,94.4,4.0,5.0,880.7,3.0,5.0,1761.0,3.0,4.0,1469.0,3.0,4.0,796.9
4.0,6.0,290.8,4.0,6.0,131.1,4.0,6.0,1250.0,3.0,6.0,1623.0,3.0,6.0,925.4,3.0,5.0,363.4
5.0,2.0,61.6,5.0,1.0,26.2,5.0,1.0,761.7,5.0,1.0,1260.0,4.0,1.0,1201.0,4.0,1.0,704.5
5.0,3.0,238.8,5.0,3.0,41.0,5.0,2.0,527.2,5.0,2.0,1565.0,4.0,2.0,1169.0,4.0,2.0,636.5
5.0,4.0,378.9,5.0,4.0,85.7,5.0,4.0,1072.0,5.0,3.0,1962.0,4.0,3.0,1581.0,4.0,3.0,1220.0
5.0,6.0,79.7,5.0,6.0,22.7,5.0,6.0,858.7,5.0,6.0,1490.0,4.0,6.0,1365.0,4.0,5.0,1065.0
6.0,2.0,15.1,6.0,1.0,14.2,6.0,1.0,754.3,6.0,1.0,1441.0,6.0,1.0,188.9,5.0,1.0,151.8
6.0,3.0,74.3,6.0,3.0,41.3,6.0,2.0,509.0,6.0,2.0,1476.0,6.0,2.0,132.2,5.0,2.0,119.7
6.0,4.0,141.7,6.0,4.0,97.1,6.0,4.0,1441.0,6.0,3.0,1987.0,6.0,3.0,566.7,5.0,3.0,343.7
6.0,5.0,43.0,6.0,5.0,18.4,6.0,5.0,840.1,6.0,5.0,1812.0,6.0,4.0,780.9,5.0,4.0,709.4
