1,森岡 まき,森岡 まき.1,2,山戸 信二,山戸 信二.1,3,菊池 宏志,菊池 宏志.1,4,佐藤　謙史朗,佐藤　謙史朗.1,5,芦澤 望,芦澤 望.1,6,秋元 哲,秋元 哲.1
2.0,3.0,48.7,1.0,3.0,144.0,1.0,2.0,132.4,1.0,2.0,220.9,1.0,2.0,195.1,1.0,2.0,382.0
2.0,4.0,71.2,1.0,4.0,163.1,1.0,4.0,45.6,1.0,3.0,94.3,1.0,3.0,86.9,1.0,3.0,203.3
2.0,5.0,61.4,1.0,5.0,170.3,1.0,5.0,25.0,1.0,5.0,82.3,1.0,4.0,121.8,1.0,4.0,173.9
2.0,6.0,60.1,1.0,6.0,185.3,1.0,6.0,39.5,1.0,6.0,82.9,1.0,6.0,74.9,1.0,5.0,117.8
3.0,2.0,42.1,3.0,1.0,243.8,2.0,1.0,199.9,2.0,1.0,299.5,2.0,1.0,383.5,2.0,1.0,683.7
3.0,4.0,17.7,3.0,4.0,324.8,2.0,4.0,265.0,2.0,3.0,404.0,2.0,3.0,384.3,2.0,3.0,626.9
3.0,5.0,10.7,3.0,5.0,244.7,2.0,5.0,199.0,2.0,5.0,303.8,2.0,4.0,602.9,2.0,4.0,706.7
3.0,6.0,16.1,3.0,6.0,279.5,2.0,6.0,212.7,2.0,6.0,298.5,2.0,6.0,301.4,2.0,5.0,487.6
4.0,2.0,73.6,4.0,1.0,293.0,4.0,1.0,64.5,3.0,1.0,128.2,3.0,1.0,101.4,3.0,1.0,291.6
4.0,3.0,29.2,4.0,3.0,364.3,4.0,2.0,206.2,3.0,2.0,429.8,3.0,2.0,314.0,3.0,2.0,566.7
4.0,5.0,29.8,4.0,5.0,348.8,4.0,5.0,58.4,3.0,5.0,123.5,3.0,4.0,162.4,3.0,4.0,337.5
4.0,6.0,32.9,4.0,6.0,354.0,4.0,6.0,72.0,3.0,6.0,133.2,3.0,6.0,88.3,3.0,5.0,164.0
5.0,2.0,73.7,5.0,1.0,341.8,5.0,1.0,44.1,5.0,1.0,80.5,4.0,1.0,109.9,4.0,1.0,242.2
5.0,3.0,25.6,5.0,3.0,378.9,5.0,2.0,171.7,5.0,2.0,192.7,4.0,2.0,277.5,4.0,2.0,683.7
5.0,4.0,44.5,5.0,4.0,441.9,5.0,4.0,63.3,5.0,3.0,123.0,4.0,3.0,173.9,4.0,3.0,346.2
5.0,6.0,26.9,5.0,6.0,289.8,5.0,6.0,39.6,5.0,6.0,50.8,4.0,6.0,80.1,4.0,5.0,148.9
6.0,2.0,99.9,6.0,1.0,429.8,6.0,1.0,87.2,6.0,1.0,102.4,6.0,1.0,84.9,5.0,1.0,136.2
6.0,3.0,41.7,6.0,3.0,425.9,6.0,2.0,236.4,6.0,2.0,320.3,6.0,2.0,257.1,5.0,2.0,365.7
6.0,4.0,57.6,6.0,4.0,497.9,6.0,4.0,113.2,6.0,3.0,153.8,6.0,3.0,108.2,5.0,3.0,186.1
6.0,5.0,35.5,6.0,5.0,333.4,6.0,5.0,63.7,6.0,5.0,71.7,6.0,4.0,93.5,5.0,4.0,137.5
