1,大野 芳顕,大野 芳顕.1,2,伊達 正利,伊達 正利.1,3,山田 和佐,山田 和佐.1,4,植田 太一,植田 太一.1,5,赤峰 和也,赤峰 和也.1,6,池田 雄一,池田 雄一.1
2.0,3.0,49.9,1.0,3.0,429.3,1.0,2.0,293.7,1.0,2.0,44.9,1.0,2.0,910.2,1.0,2.0,142.7
2.0,4.0,24.3,1.0,4.0,230.6,1.0,4.0,96.2,1.0,3.0,45.1,1.0,3.0,1039.0,1.0,3.0,113.9
2.0,5.0,133.1,1.0,5.0,855.2,1.0,5.0,401.3,1.0,5.0,44.8,1.0,4.0,379.5,1.0,4.0,46.1
2.0,6.0,40.8,1.0,6.0,334.9,1.0,6.0,109.6,1.0,6.0,11.0,1.0,6.0,441.4,1.0,5.0,242.6
3.0,2.0,32.4,3.0,1.0,781.3,2.0,1.0,694.5,2.0,1.0,140.7,2.0,1.0,1727.0,2.0,1.0,347.2
3.0,4.0,13.1,3.0,4.0,1523.0,2.0,4.0,1136.0,2.0,3.0,365.4,2.0,3.0,2545.0,2.0,3.0,800.5
3.0,5.0,70.5,3.0,5.0,2093.0,2.0,5.0,1832.0,2.0,5.0,293.1,2.0,4.0,1491.0,2.0,4.0,369.3
3.0,6.0,19.1,3.0,6.0,1529.0,2.0,6.0,1161.0,2.0,6.0,122.8,2.0,6.0,1574.0,2.0,5.0,1139.0
4.0,2.0,15.4,4.0,1.0,430.6,4.0,1.0,149.3,3.0,1.0,116.6,3.0,1.0,1720.0,3.0,1.0,235.1
4.0,3.0,11.1,4.0,3.0,1041.0,4.0,2.0,608.9,3.0,2.0,379.8,3.0,2.0,2673.0,3.0,2.0,772.8
4.0,5.0,36.7,4.0,5.0,1204.0,4.0,5.0,573.6,3.0,5.0,360.2,3.0,4.0,1832.0,3.0,4.0,305.1
4.0,6.0,6.9,4.0,6.0,526.0,4.0,6.0,180.1,3.0,6.0,119.3,3.0,6.0,2083.0,3.0,5.0,1009.0
5.0,2.0,235.7,5.0,1.0,1848.0,5.0,1.0,1016.0,5.0,1.0,73.1,4.0,1.0,401.0,4.0,1.0,43.7
5.0,3.0,212.5,5.0,3.0,2707.0,5.0,2.0,1673.0,5.0,2.0,180.6,4.0,2.0,730.3,4.0,2.0,178.4
5.0,4.0,127.1,5.0,4.0,2428.0,5.0,4.0,1272.0,5.0,3.0,281.6,4.0,3.0,1041.0,4.0,3.0,150.6
5.0,6.0,161.8,5.0,6.0,2043.0,5.0,6.0,1261.0,5.0,6.0,49.0,4.0,6.0,274.4,4.0,5.0,120.0
6.0,2.0,41.1,6.0,1.0,760.4,6.0,1.0,210.8,6.0,1.0,15.1,6.0,1.0,683.3,5.0,1.0,577.5
6.0,3.0,31.9,6.0,3.0,1653.0,6.0,2.0,910.2,6.0,2.0,56.7,6.0,2.0,1280.0,5.0,2.0,1221.0
6.0,4.0,15.6,6.0,4.0,770.0,6.0,4.0,282.4,6.0,3.0,67.5,6.0,3.0,1407.0,5.0,3.0,1324.0
6.0,5.0,99.2,6.0,5.0,1986.0,6.0,5.0,1084.0,6.0,5.0,35.6,6.0,4.0,427.6,5.0,4.0,402.5
