1,栗原 謙治,栗原 謙治.1,2,松下 哲也,松下 哲也.1,3,檀 将太,檀 将太.1,4,杉山 勝匡,杉山 勝匡.1,5,森林 太,森林 太.1,6,表 健太,表 健太.1
2.0,3.0,23.0,1.0,3.0,39.7,1.0,2.0,107.4,1.0,2.0,33.2,1.0,2.0,91.1,1.0,2.0,779.8
2.0,4.0,12.9,1.0,4.0,28.1,1.0,4.0,86.2,1.0,3.0,68.9,1.0,3.0,221.6,1.0,3.0,1207.0
2.0,5.0,20.9,1.0,5.0,26.5,1.0,5.0,75.9,1.0,5.0,22.9,1.0,4.0,83.8,1.0,4.0,544.5
2.0,6.0,78.1,1.0,6.0,123.2,1.0,6.0,209.6,1.0,6.0,55.8,1.0,6.0,139.1,1.0,5.0,715.0
3.0,2.0,49.6,3.0,1.0,155.4,2.0,1.0,175.9,2.0,1.0,45.1,2.0,1.0,110.8,2.0,1.0,767.2
3.0,4.0,54.8,3.0,4.0,142.0,2.0,4.0,229.1,2.0,3.0,126.1,2.0,3.0,243.2,2.0,3.0,1018.0
3.0,5.0,49.8,3.0,5.0,197.6,2.0,5.0,224.7,2.0,5.0,38.8,2.0,4.0,91.6,2.0,4.0,723.2
3.0,6.0,137.3,3.0,6.0,361.6,2.0,6.0,467.9,2.0,6.0,81.6,2.0,6.0,173.0,2.0,5.0,981.8
4.0,2.0,21.6,4.0,1.0,47.9,4.0,1.0,109.5,3.0,1.0,126.1,3.0,1.0,331.2,3.0,1.0,1553.0
4.0,3.0,55.9,4.0,3.0,118.2,4.0,2.0,200.3,3.0,2.0,205.3,3.0,2.0,456.6,3.0,2.0,1540.0
4.0,5.0,26.2,4.0,5.0,40.4,4.0,5.0,121.5,3.0,5.0,127.8,3.0,4.0,410.1,3.0,4.0,1108.0
4.0,6.0,81.7,4.0,6.0,146.8,4.0,6.0,248.6,3.0,6.0,211.0,3.0,6.0,497.3,3.0,5.0,1579.0
5.0,2.0,33.4,5.0,1.0,52.4,5.0,1.0,172.2,5.0,1.0,22.8,4.0,1.0,69.7,4.0,1.0,467.9
5.0,3.0,66.6,5.0,3.0,220.3,5.0,2.0,274.2,5.0,2.0,26.8,4.0,2.0,66.0,4.0,2.0,547.6
5.0,4.0,37.6,5.0,4.0,68.6,5.0,4.0,210.3,5.0,3.0,98.9,4.0,3.0,253.6,4.0,3.0,857.4
5.0,6.0,79.5,5.0,6.0,190.8,5.0,6.0,325.6,5.0,6.0,30.7,4.0,6.0,80.1,4.0,5.0,330.1
6.0,2.0,245.1,6.0,1.0,404.0,6.0,1.0,584.8,6.0,1.0,82.3,6.0,1.0,235.4,5.0,1.0,754.9
6.0,3.0,361.6,6.0,3.0,629.5,6.0,2.0,885.5,6.0,2.0,107.4,6.0,2.0,285.3,5.0,2.0,689.0
6.0,4.0,219.0,6.0,4.0,372.2,6.0,4.0,572.5,6.0,3.0,250.9,6.0,3.0,635.9,5.0,3.0,1424.0
6.0,5.0,208.0,6.0,5.0,454.4,6.0,5.0,633.7,6.0,5.0,63.5,6.0,4.0,187.2,5.0,4.0,385.1
