first,second,third,odds
3,1,1060,2.0
4,1,1606,3.0
5,1,1277,4.0
6,1,1085,6.0
6,1,2139,6.0
6,1,2042,6.0
6,1,4518,5.0
3,2,2892,2.0
3,2459,2,4756.0
4,2217,3,3579.0
5,2869,4,5239.0
