1,佐々木　翔斗,佐々木　翔斗.1,2,三川 昂暁,三川 昂暁.1,3,冨成 謙児,冨成 謙児.1,4,小池 修平,小池 修平.1,5,杉山 勝匡,杉山 勝匡.1,6,井上 慧人,井上 慧人.1
2.0,3.0,10.1,1.0,3.0,47.5,1.0,2.0,150.3,1.0,2.0,26.5,1.0,2.0,184.6,1.0,2.0,684.9
2.0,4.0,5.6,1.0,4.0,27.2,1.0,4.0,106.0,1.0,3.0,54.2,1.0,3.0,167.4,1.0,3.0,1250.0
2.0,5.0,19.9,1.0,5.0,82.8,1.0,5.0,217.6,1.0,5.0,50.4,1.0,4.0,183.8,1.0,4.0,754.9
2.0,6.0,103.6,1.0,6.0,281.4,1.0,6.0,757.4,1.0,6.0,210.6,1.0,6.0,252.4,1.0,5.0,1227.0
3.0,2.0,16.1,3.0,1.0,152.7,2.0,1.0,247.4,2.0,1.0,51.9,2.0,1.0,215.8,2.0,1.0,1025.0
3.0,4.0,11.6,3.0,4.0,203.0,2.0,4.0,296.3,2.0,3.0,128.8,2.0,3.0,832.0,2.0,3.0,1658.0
3.0,5.0,29.7,3.0,5.0,407.4,2.0,5.0,654.6,2.0,5.0,147.0,2.0,4.0,444.6,2.0,4.0,1309.0
3.0,6.0,168.9,3.0,6.0,1256.0,2.0,6.0,1463.0,2.0,6.0,396.4,2.0,6.0,1187.0,2.0,5.0,1743.0
4.0,2.0,6.3,4.0,1.0,56.7,4.0,1.0,175.4,3.0,1.0,153.7,3.0,1.0,589.3,3.0,1.0,2128.0
4.0,3.0,10.2,4.0,3.0,155.4,4.0,2.0,272.4,3.0,2.0,206.3,3.0,2.0,1155.0,3.0,2.0,2830.0
4.0,5.0,15.2,4.0,5.0,191.9,4.0,5.0,388.9,3.0,5.0,375.3,3.0,4.0,1014.0,3.0,4.0,2625.0
4.0,6.0,90.6,4.0,6.0,555.3,4.0,6.0,1101.0,3.0,6.0,932.1,3.0,6.0,2019.0,3.0,5.0,3400.0
5.0,2.0,43.0,5.0,1.0,204.3,5.0,1.0,504.9,5.0,1.0,110.6,4.0,1.0,309.5,4.0,1.0,1190.0
5.0,3.0,58.0,5.0,3.0,604.3,5.0,2.0,876.8,5.0,2.0,143.5,4.0,2.0,468.8,4.0,2.0,1750.0
5.0,4.0,42.9,5.0,4.0,460.6,5.0,4.0,699.1,5.0,3.0,277.0,4.0,3.0,816.2,4.0,3.0,2423.0
5.0,6.0,205.4,5.0,6.0,1390.0,5.0,6.0,1817.0,5.0,6.0,427.3,4.0,6.0,1101.0,4.0,5.0,2082.0
6.0,2.0,289.9,6.0,1.0,908.8,6.0,1.0,1797.0,6.0,1.0,673.2,6.0,1.0,1181.0,5.0,1.0,1875.0
6.0,3.0,453.5,6.0,3.0,2339.0,6.0,2.0,3089.0,6.0,2.0,881.7,6.0,2.0,1449.0,5.0,2.0,2037.0
6.0,4.0,304.5,6.0,4.0,1432.0,6.0,4.0,2399.0,6.0,3.0,1287.0,6.0,3.0,2072.0,5.0,3.0,2670.0
6.0,5.0,475.9,6.0,5.0,1969.0,6.0,5.0,3049.0,6.0,5.0,1054.0,6.0,4.0,1287.0,5.0,4.0,1936.0
