1,平田 忠則,平田 忠則.1,2,守屋 美穂,守屋 美穂.1,3,木下 陽介,木下 陽介.1,4,樋口　由加里,樋口　由加里.1,5,中村 将隆,中村 将隆.1,6,中尾 彩香,中尾 彩香.1
2.0,3.0,4.9,1.0,3.0,21.5,1.0,2.0,100.4,1.0,2.0,129.1,1.0,2.0,120.6,1.0,2.0,1342.0
2.0,4.0,4.3,1.0,4.0,16.7,1.0,4.0,171.8,1.0,3.0,286.3,1.0,3.0,232.9,1.0,3.0,2798.0
2.0,5.0,9.4,1.0,5.0,35.6,1.0,5.0,141.5,1.0,5.0,207.8,1.0,4.0,239.9,1.0,4.0,3311.0
2.0,6.0,49.6,1.0,6.0,123.6,1.0,6.0,582.6,1.0,6.0,388.8,1.0,6.0,426.3,1.0,5.0,2423.0
3.0,2.0,10.4,3.0,1.0,138.6,2.0,1.0,218.1,2.0,1.0,146.7,2.0,1.0,230.5,2.0,1.0,1742.0
3.0,4.0,19.2,3.0,4.0,240.5,2.0,4.0,446.5,2.0,3.0,381.3,2.0,3.0,630.7,2.0,3.0,2759.0
3.0,5.0,25.9,3.0,5.0,386.5,2.0,5.0,547.3,2.0,5.0,289.6,2.0,4.0,622.8,2.0,4.0,2113.0
3.0,6.0,149.6,3.0,6.0,801.1,2.0,6.0,1116.0,2.0,6.0,558.1,2.0,6.0,807.7,2.0,5.0,3311.0
4.0,2.0,13.7,4.0,1.0,75.7,4.0,1.0,412.2,3.0,1.0,584.4,3.0,1.0,539.9,3.0,1.0,4319.0
4.0,3.0,26.3,4.0,3.0,168.1,4.0,2.0,435.7,3.0,2.0,657.9,3.0,2.0,978.7,3.0,2.0,3748.0
4.0,5.0,36.8,4.0,5.0,207.4,4.0,5.0,607.6,3.0,5.0,911.4,3.0,4.0,1429.0,3.0,4.0,5094.0
4.0,6.0,92.7,4.0,6.0,439.5,4.0,6.0,1471.0,3.0,6.0,1698.0,3.0,6.0,1552.0,3.0,5.0,3679.0
5.0,2.0,26.2,5.0,1.0,248.0,5.0,1.0,416.5,5.0,1.0,336.2,4.0,1.0,434.7,4.0,1.0,4620.0
5.0,3.0,45.6,5.0,3.0,575.9,5.0,2.0,602.1,5.0,2.0,490.6,4.0,2.0,817.6,4.0,2.0,2759.0
5.0,4.0,57.6,5.0,4.0,490.6,5.0,4.0,707.1,5.0,3.0,863.8,4.0,3.0,1379.0,4.0,3.0,4730.0
5.0,6.0,169.8,5.0,6.0,1056.0,5.0,6.0,932.8,5.0,6.0,817.6,4.0,6.0,1409.0,4.0,5.0,3973.0
6.0,2.0,278.2,6.0,1.0,831.3,6.0,1.0,2453.0,6.0,1.0,804.4,6.0,1.0,733.1,5.0,1.0,2965.0
6.0,3.0,462.0,6.0,3.0,1967.0,6.0,2.0,2547.0,6.0,2.0,978.7,6.0,2.0,1155.0,5.0,2.0,2965.0
6.0,4.0,444.5,6.0,4.0,1493.0,6.0,4.0,3367.0,6.0,3.0,2423.0,6.0,3.0,1698.0,5.0,3.0,2922.0
6.0,5.0,407.1,6.0,5.0,1839.0,6.0,5.0,2337.0,6.0,5.0,1806.0,6.0,4.0,1758.0,5.0,4.0,3056.0
