1,小野寺　智洋,小野寺　智洋.1,2,山田 佑樹,山田 佑樹.1,3,中島 浩哉,中島 浩哉.1,4,長岡 良也,長岡 良也.1,5,籾山 佳岳,籾山 佳岳.1,6,梅原 祥平,梅原 祥平.1
2.0,3.0,13.9,1.0,3.0,40.7,1.0,2.0,116.0,1.0,2.0,20.7,1.0,2.0,345.7,1.0,2.0,987.3
2.0,4.0,5.7,1.0,4.0,18.0,1.0,4.0,72.3,1.0,3.0,56.1,1.0,3.0,528.3,1.0,3.0,2062.0
2.0,5.0,22.1,1.0,5.0,58.4,1.0,5.0,149.0,1.0,5.0,37.4,1.0,4.0,220.4,1.0,4.0,1004.0
2.0,6.0,111.1,1.0,6.0,209.1,1.0,6.0,521.2,1.0,6.0,138.7,1.0,6.0,769.0,1.0,5.0,2062.0
3.0,2.0,24.8,3.0,1.0,118.1,2.0,1.0,208.7,2.0,1.0,38.1,2.0,1.0,472.6,2.0,1.0,1188.0
3.0,4.0,15.4,3.0,4.0,191.3,2.0,4.0,256.3,2.0,3.0,149.7,2.0,3.0,987.3,2.0,3.0,2618.0
3.0,5.0,46.0,3.0,5.0,384.5,2.0,5.0,490.5,2.0,5.0,87.8,2.0,4.0,488.5,2.0,4.0,1563.0
3.0,6.0,159.8,3.0,6.0,1049.0,2.0,6.0,1219.0,2.0,6.0,278.7,2.0,6.0,1259.0,2.0,5.0,3106.0
4.0,2.0,6.2,4.0,1.0,37.3,4.0,1.0,131.2,3.0,1.0,124.9,3.0,1.0,966.8,3.0,1.0,2560.0
4.0,3.0,12.2,4.0,3.0,129.3,4.0,2.0,214.5,3.0,2.0,211.0,3.0,2.0,1280.0,3.0,2.0,3066.0
4.0,5.0,14.0,4.0,5.0,114.1,4.0,5.0,234.4,3.0,5.0,241.4,3.0,4.0,869.4,3.0,4.0,2807.0
4.0,6.0,72.3,4.0,6.0,354.1,4.0,6.0,608.4,3.0,6.0,578.2,3.0,6.0,1849.0,3.0,5.0,3066.0
5.0,2.0,49.5,5.0,1.0,195.8,5.0,1.0,355.2,5.0,1.0,65.5,4.0,1.0,205.1,4.0,1.0,1259.0
5.0,3.0,81.6,5.0,3.0,483.4,5.0,2.0,530.7,5.0,2.0,90.4,4.0,2.0,314.4,4.0,2.0,1585.0
5.0,4.0,45.7,5.0,4.0,208.9,5.0,4.0,397.6,5.0,3.0,200.3,4.0,3.0,578.2,4.0,3.0,2589.0
5.0,6.0,245.5,5.0,6.0,987.3,5.0,6.0,1176.0,5.0,6.0,203.1,4.0,6.0,744.4,4.0,5.0,2118.0
6.0,2.0,399.6,6.0,1.0,1004.0,6.0,1.0,1726.0,6.0,1.0,378.2,6.0,1.0,1726.0,5.0,1.0,2678.0
6.0,3.0,423.6,6.0,3.0,2118.0,6.0,2.0,2330.0,6.0,2.0,487.4,6.0,2.0,1778.0,5.0,2.0,3148.0
6.0,4.0,338.6,6.0,4.0,1287.0,6.0,4.0,1834.0,6.0,3.0,869.4,6.0,3.0,2262.0,5.0,3.0,3066.0
6.0,5.0,647.2,6.0,5.0,2219.0,6.0,5.0,2157.0,6.0,5.0,538.1,6.0,4.0,1246.0,5.0,4.0,2198.0
