1,木山 和幸,木山 和幸.1,2,浦田 信義,浦田 信義.1,3,山本 浩輔,山本 浩輔.1,4,若林 将,若林 将.1,5,岡崎 恭裕,岡崎 恭裕.1,6,川上 昇平,川上 昇平.1
2.0,3.0,45.9,1.0,3.0,115.8,1.0,2.0,207.7,1.0,2.0,38.3,1.0,2.0,42.9,1.0,2.0,748.8
2.0,4.0,23.9,1.0,4.0,68.4,1.0,4.0,214.4,1.0,3.0,88.9,1.0,3.0,73.0,1.0,3.0,1239.0
2.0,5.0,28.3,1.0,5.0,65.5,1.0,5.0,169.9,1.0,5.0,17.9,1.0,4.0,23.1,1.0,4.0,800.1
2.0,6.0,177.0,1.0,6.0,357.2,1.0,6.0,633.6,1.0,6.0,79.8,1.0,6.0,62.8,1.0,5.0,549.1
3.0,2.0,69.4,3.0,1.0,192.6,2.0,1.0,274.0,2.0,1.0,68.9,2.0,1.0,86.7,2.0,1.0,1044.0
3.0,4.0,47.8,3.0,4.0,265.7,2.0,4.0,278.9,2.0,3.0,192.6,2.0,3.0,149.4,2.0,3.0,1772.0
3.0,5.0,49.7,3.0,5.0,252.7,2.0,5.0,253.2,2.0,5.0,48.5,2.0,4.0,57.1,2.0,4.0,1321.0
3.0,6.0,289.3,3.0,6.0,909.2,2.0,6.0,1102.0,2.0,6.0,184.0,2.0,6.0,175.2,2.0,5.0,993.1
4.0,2.0,25.9,4.0,1.0,97.8,4.0,1.0,235.7,3.0,1.0,253.2,3.0,1.0,182.3,3.0,1.0,2222.0
4.0,3.0,42.3,4.0,3.0,196.9,4.0,2.0,320.4,3.0,2.0,319.6,3.0,2.0,204.1,3.0,2.0,1918.0
4.0,5.0,14.2,4.0,5.0,79.3,4.0,5.0,171.3,3.0,5.0,129.8,3.0,4.0,118.1,3.0,4.0,1867.0
4.0,6.0,92.3,4.0,6.0,417.9,4.0,6.0,833.4,3.0,6.0,481.1,3.0,6.0,414.2,3.0,5.0,1591.0
5.0,2.0,27.6,5.0,1.0,92.6,5.0,1.0,244.8,5.0,1.0,13.5,4.0,1.0,19.7,4.0,1.0,1029.0
5.0,3.0,47.5,5.0,3.0,198.0,5.0,2.0,264.7,5.0,2.0,24.8,4.0,2.0,30.3,4.0,2.0,1372.0
5.0,4.0,17.4,5.0,4.0,81.1,5.0,4.0,177.2,5.0,3.0,45.0,4.0,3.0,53.0,4.0,3.0,2089.0
5.0,6.0,73.9,5.0,6.0,350.0,5.0,6.0,645.2,5.0,6.0,19.0,4.0,6.0,30.0,4.0,5.0,408.2
6.0,2.0,465.2,6.0,1.0,927.3,6.0,1.0,1400.0,6.0,1.0,284.0,6.0,1.0,162.2,5.0,1.0,560.1
6.0,3.0,669.9,6.0,3.0,1489.0,6.0,2.0,1555.0,6.0,2.0,361.8,6.0,2.0,248.7,5.0,2.0,959.0
6.0,4.0,385.7,6.0,4.0,933.5,6.0,4.0,1666.0,6.0,3.0,683.0,6.0,3.0,444.5,5.0,3.0,1414.0
6.0,5.0,294.7,6.0,5.0,838.4,6.0,5.0,1217.0,6.0,5.0,139.1,6.0,4.0,133.7,5.0,4.0,393.3
