1,野田部　宏子,野田部　宏子.1,2,向井 美鈴,向井 美鈴.1,3,鈴木 成美,鈴木 成美.1,4,金田 幸子,金田 幸子.1,5,清水 愛海,清水 愛海.1,6,冨名腰　桃奈,冨名腰　桃奈.1
2.0,3.0,11.1,1.0,3.0,62.0,1.0,2.0,87.9,1.0,2.0,68.4,1.0,2.0,97.4,1.0,2.0,1110.0
2.0,4.0,8.5,1.0,4.0,45.0,1.0,4.0,61.0,1.0,3.0,105.2,1.0,3.0,103.8,1.0,3.0,1459.0
2.0,5.0,15.8,1.0,5.0,67.6,1.0,5.0,61.6,1.0,5.0,64.8,1.0,4.0,88.2,1.0,4.0,1411.0
2.0,6.0,73.1,1.0,6.0,259.9,1.0,6.0,230.4,1.0,6.0,220.6,1.0,6.0,196.1,1.0,5.0,1538.0
3.0,2.0,14.0,3.0,1.0,176.9,2.0,1.0,194.8,2.0,1.0,133.7,2.0,1.0,212.8,2.0,1.0,1838.0
3.0,4.0,11.4,3.0,4.0,270.8,2.0,4.0,256.7,2.0,3.0,309.5,2.0,3.0,398.5,2.0,3.0,2491.0
3.0,5.0,14.0,3.0,5.0,308.5,2.0,5.0,258.4,2.0,5.0,182.6,2.0,4.0,243.9,2.0,4.0,2604.0
3.0,6.0,64.4,3.0,6.0,826.3,2.0,6.0,698.0,2.0,6.0,490.0,2.0,6.0,534.6,2.0,5.0,2728.0
4.0,2.0,12.6,4.0,1.0,115.5,4.0,1.0,116.4,3.0,1.0,208.7,3.0,1.0,219.9,3.0,1.0,1545.0
4.0,3.0,16.4,4.0,3.0,249.8,4.0,2.0,217.4,3.0,2.0,374.8,3.0,2.0,397.1,3.0,2.0,2675.0
4.0,5.0,14.1,4.0,5.0,188.1,4.0,5.0,126.6,3.0,5.0,217.8,3.0,4.0,294.1,3.0,4.0,2370.0
4.0,6.0,63.2,4.0,6.0,500.7,4.0,6.0,379.0,3.0,6.0,546.9,3.0,6.0,574.3,3.0,5.0,2518.0
5.0,2.0,23.4,5.0,1.0,190.5,5.0,1.0,119.5,5.0,1.0,95.6,4.0,1.0,151.5,4.0,1.0,1936.0
5.0,3.0,23.9,5.0,3.0,344.9,5.0,2.0,242.5,5.0,2.0,146.6,4.0,2.0,221.3,4.0,2.0,2307.0
5.0,4.0,24.5,5.0,4.0,240.2,5.0,4.0,154.8,5.0,3.0,194.1,4.0,3.0,286.1,4.0,3.0,2604.0
5.0,6.0,71.3,5.0,6.0,643.1,5.0,6.0,354.3,5.0,6.0,206.2,4.0,6.0,305.2,4.0,5.0,1915.0
6.0,2.0,240.9,6.0,1.0,1110.0,6.0,1.0,829.3,6.0,1.0,696.5,6.0,1.0,616.0,5.0,1.0,1975.0
6.0,3.0,271.3,6.0,3.0,1799.0,6.0,2.0,1179.0,6.0,2.0,882.5,6.0,2.0,780.4,5.0,2.0,2291.0
6.0,4.0,246.0,6.0,4.0,1383.0,6.0,4.0,1027.0,6.0,3.0,1043.0,6.0,3.0,934.1,5.0,3.0,2509.0
6.0,5.0,239.3,6.0,5.0,1488.0,6.0,5.0,839.4,6.0,5.0,569.1,6.0,4.0,611.6,5.0,4.0,1681.0
