1,小林 基樹,小林 基樹.1,2,齋藤 真之,齋藤 真之.1,3,田中 駿兵,田中 駿兵.1,4,市川 猛,市川 猛.1,5,胡本 悟志,胡本 悟志.1,6,岡部 浩,岡部 浩.1
2.0,3.0,7.1,1.0,3.0,24.7,1.0,2.0,39.7,1.0,2.0,226.3,1.0,2.0,134.5,1.0,2.0,619.2
2.0,4.0,15.1,1.0,4.0,49.2,1.0,4.0,62.9,1.0,3.0,245.8,1.0,3.0,199.3,1.0,3.0,972.0
2.0,5.0,11.0,1.0,5.0,33.6,1.0,5.0,50.4,1.0,5.0,220.7,1.0,4.0,255.8,1.0,4.0,1294.0
2.0,6.0,34.0,1.0,6.0,70.8,1.0,6.0,99.7,1.0,6.0,306.3,1.0,6.0,200.4,1.0,5.0,711.6
3.0,2.0,11.7,3.0,1.0,42.2,2.0,1.0,57.9,2.0,1.0,284.0,2.0,1.0,190.9,2.0,1.0,669.0
3.0,4.0,20.1,3.0,4.0,63.8,2.0,4.0,75.5,2.0,3.0,274.9,2.0,3.0,236.9,2.0,3.0,607.5
3.0,5.0,15.8,3.0,5.0,51.0,2.0,5.0,57.0,2.0,5.0,288.1,2.0,4.0,353.8,2.0,4.0,1096.0
3.0,6.0,43.3,3.0,6.0,87.6,2.0,6.0,90.4,2.0,6.0,396.3,2.0,6.0,308.8,2.0,5.0,657.1
4.0,2.0,39.3,4.0,1.0,135.6,4.0,1.0,114.1,3.0,1.0,341.6,3.0,1.0,295.0,3.0,1.0,1232.0
4.0,3.0,51.4,4.0,3.0,121.0,4.0,2.0,116.7,3.0,2.0,318.0,3.0,2.0,280.3,3.0,2.0,723.6
4.0,5.0,54.8,4.0,5.0,149.0,4.0,5.0,107.5,3.0,5.0,372.2,3.0,4.0,550.4,3.0,4.0,1384.0
4.0,6.0,103.6,4.0,6.0,192.9,4.0,6.0,141.8,3.0,6.0,407.5,3.0,6.0,441.1,3.0,5.0,943.5
5.0,2.0,31.5,5.0,1.0,90.8,5.0,1.0,102.1,5.0,1.0,267.7,4.0,1.0,399.3,4.0,1.0,1705.0
5.0,3.0,43.2,5.0,3.0,104.7,5.0,2.0,115.3,5.0,2.0,337.1,4.0,2.0,481.5,4.0,2.0,1717.0
5.0,4.0,73.3,5.0,4.0,177.5,5.0,4.0,158.5,5.0,3.0,383.3,4.0,3.0,499.2,4.0,3.0,1489.0
5.0,6.0,65.9,5.0,6.0,156.1,5.0,6.0,129.1,5.0,6.0,274.9,4.0,6.0,512.1,4.0,5.0,1570.0
6.0,2.0,122.6,6.0,1.0,262.5,6.0,1.0,276.9,6.0,1.0,536.6,6.0,1.0,389.1,5.0,1.0,913.4
6.0,3.0,170.7,6.0,3.0,268.0,6.0,2.0,251.3,6.0,2.0,582.8,6.0,2.0,451.9,5.0,2.0,833.6
6.0,4.0,223.0,6.0,4.0,396.9,6.0,4.0,358.7,6.0,3.0,580.1,6.0,3.0,558.7,5.0,3.0,1034.0
6.0,5.0,142.8,6.0,5.0,275.2,6.0,5.0,237.8,6.0,5.0,517.2,6.0,4.0,658.8,5.0,4.0,1384.0
