1,池田 雄一,池田 雄一.1,2,植田 太一,植田 太一.1,3,佐藤　隆太郎,佐藤　隆太郎.1,4,杢野 誓良,杢野 誓良.1,5,山田 竜一,山田 竜一.1,6,河野 真也,河野 真也.1
2.0,3.0,18.6,1.0,3.0,43.7,1.0,2.0,20.5,1.0,2.0,375.3,1.0,2.0,350.8,1.0,2.0,1181.0
2.0,4.0,43.0,1.0,4.0,104.4,1.0,4.0,13.2,1.0,3.0,166.1,1.0,3.0,156.5,1.0,3.0,495.9
2.0,5.0,55.2,1.0,5.0,126.2,1.0,5.0,12.2,1.0,5.0,285.3,1.0,4.0,504.3,1.0,4.0,1552.0
2.0,6.0,77.3,1.0,6.0,150.7,1.0,6.0,19.8,1.0,6.0,331.4,1.0,6.0,396.0,1.0,5.0,1538.0
3.0,2.0,12.4,3.0,1.0,65.7,2.0,1.0,50.9,2.0,1.0,630.4,2.0,1.0,670.2,2.0,1.0,1653.0
3.0,4.0,9.3,3.0,4.0,149.9,2.0,4.0,80.5,2.0,3.0,619.6,2.0,3.0,726.6,2.0,3.0,1819.0
3.0,5.0,10.5,3.0,5.0,174.0,2.0,5.0,78.7,2.0,5.0,866.2,2.0,4.0,1534.0,2.0,4.0,3014.0
3.0,6.0,18.9,3.0,6.0,192.1,2.0,6.0,98.6,2.0,6.0,1043.0,2.0,6.0,1286.0,2.0,5.0,2783.0
4.0,2.0,67.8,4.0,1.0,349.3,4.0,1.0,32.0,3.0,1.0,170.3,3.0,1.0,165.8,3.0,1.0,472.9
4.0,3.0,37.7,4.0,3.0,320.7,4.0,2.0,86.5,3.0,2.0,351.2,3.0,2.0,440.6,3.0,2.0,1333.0
4.0,5.0,75.1,4.0,5.0,666.7,4.0,5.0,37.2,3.0,5.0,204.4,3.0,4.0,390.3,3.0,4.0,1054.0
4.0,6.0,87.7,4.0,6.0,714.4,4.0,6.0,41.2,3.0,6.0,247.9,3.0,6.0,291.5,3.0,5.0,743.6
5.0,2.0,97.9,5.0,1.0,419.9,5.0,1.0,30.0,5.0,1.0,472.5,4.0,1.0,738.2,4.0,1.0,2113.0
5.0,3.0,42.6,5.0,3.0,417.8,5.0,2.0,77.3,5.0,2.0,983.3,4.0,2.0,1299.0,4.0,2.0,3183.0
5.0,4.0,114.2,5.0,4.0,934.6,5.0,4.0,50.9,5.0,3.0,409.4,4.0,3.0,599.2,4.0,3.0,1430.0
5.0,6.0,118.0,5.0,6.0,784.8,5.0,6.0,43.9,5.0,6.0,536.1,4.0,6.0,916.1,4.0,5.0,2559.0
6.0,2.0,204.5,6.0,1.0,668.4,6.0,1.0,61.0,6.0,1.0,793.4,6.0,1.0,756.8,5.0,1.0,1944.0
6.0,3.0,91.5,6.0,3.0,618.1,6.0,2.0,152.2,6.0,2.0,1447.0,6.0,2.0,1319.0,5.0,2.0,3124.0
6.0,4.0,199.2,6.0,4.0,1387.0,6.0,4.0,88.8,6.0,3.0,618.9,6.0,3.0,510.9,5.0,3.0,1093.0
6.0,5.0,196.5,6.0,5.0,1050.0,6.0,5.0,83.1,6.0,5.0,858.9,6.0,4.0,1299.0,5.0,4.0,2484.0
