1,岡村 慶太,岡村 慶太.1,2,宮地 元輝,宮地 元輝.1,3,今井 貴士,今井 貴士.1,4,市橋 卓士,市橋 卓士.1,5,馬場 貴也,馬場 貴也.1,6,宮之原　輝紀,宮之原　輝紀.1
2.0,3.0,12.1,1.0,3.0,44.6,1.0,2.0,149.9,1.0,2.0,256.9,1.0,2.0,55.0,1.0,2.0,548.4
2.0,4.0,11.3,1.0,4.0,39.5,1.0,4.0,222.0,1.0,3.0,458.6,1.0,3.0,121.7,1.0,3.0,1541.0
2.0,5.0,5.9,1.0,5.0,17.2,1.0,5.0,118.3,1.0,5.0,244.0,1.0,4.0,164.3,1.0,4.0,1326.0
2.0,6.0,15.5,1.0,6.0,35.1,1.0,6.0,226.7,1.0,6.0,350.6,1.0,6.0,81.0,1.0,5.0,756.6
3.0,2.0,21.3,3.0,1.0,151.0,2.0,1.0,237.2,2.0,1.0,344.1,2.0,1.0,88.8,2.0,1.0,729.1
3.0,4.0,39.4,3.0,4.0,321.0,2.0,4.0,413.5,2.0,3.0,834.1,2.0,3.0,271.6,2.0,3.0,1931.0
3.0,5.0,22.9,3.0,5.0,160.6,2.0,5.0,224.7,2.0,5.0,408.3,2.0,4.0,328.1,2.0,4.0,1296.0
3.0,6.0,48.6,3.0,6.0,267.3,2.0,6.0,361.5,2.0,6.0,521.8,2.0,6.0,141.1,2.0,5.0,715.1
4.0,2.0,24.7,4.0,1.0,159.7,4.0,1.0,356.5,3.0,1.0,590.4,3.0,1.0,250.6,3.0,1.0,2247.0
4.0,3.0,55.1,4.0,3.0,416.6,4.0,2.0,452.4,3.0,2.0,922.3,3.0,2.0,328.7,3.0,2.0,2392.0
4.0,5.0,32.7,4.0,5.0,205.5,4.0,5.0,271.2,3.0,5.0,600.9,3.0,4.0,465.5,3.0,4.0,3064.0
4.0,6.0,53.9,4.0,6.0,237.9,4.0,6.0,391.7,3.0,6.0,848.4,3.0,6.0,312.1,3.0,5.0,2065.0
5.0,2.0,11.5,5.0,1.0,48.0,5.0,1.0,165.6,5.0,1.0,298.4,4.0,1.0,383.0,4.0,1.0,2048.0
5.0,3.0,32.2,5.0,3.0,148.3,5.0,2.0,217.0,5.0,2.0,396.1,4.0,2.0,474.4,4.0,2.0,1538.0
5.0,4.0,40.9,5.0,4.0,165.5,5.0,4.0,243.2,5.0,3.0,562.6,4.0,3.0,768.4,4.0,3.0,3582.0
5.0,6.0,27.4,5.0,6.0,80.2,5.0,6.0,219.2,5.0,6.0,346.3,4.0,6.0,400.6,4.0,5.0,1561.0
6.0,2.0,63.4,6.0,1.0,192.0,6.0,1.0,651.6,6.0,1.0,672.3,6.0,1.0,248.0,5.0,1.0,806.0
6.0,3.0,156.6,6.0,3.0,538.1,6.0,2.0,814.9,6.0,2.0,733.4,6.0,2.0,251.0,5.0,2.0,722.0
6.0,4.0,145.7,6.0,4.0,429.1,6.0,4.0,895.6,6.0,3.0,1507.0,6.0,3.0,602.8,5.0,3.0,1774.0
6.0,5.0,81.1,6.0,5.0,214.1,6.0,5.0,580.2,6.0,5.0,657.9,6.0,4.0,565.2,5.0,4.0,1365.0
