1,長野　壮志郎,長野　壮志郎.1,2,三苫 晃幸,三苫 晃幸.1,3,谷村 啓司,谷村 啓司.1,4,溝口　海義也,溝口　海義也.1,5,植田 太一,植田 太一.1,6,安河内鈴之介,安河内鈴之介.1
2.0,3.0,11.3,1.0,3.0,89.8,1.0,2.0,275.2,1.0,2.0,30.2,1.0,2.0,239.9,1.0,2.0,1934.0
2.0,4.0,3.6,1.0,4.0,31.8,1.0,4.0,265.2,1.0,3.0,130.8,1.0,3.0,637.8,1.0,3.0,3999.0
2.0,5.0,10.5,1.0,5.0,71.1,1.0,5.0,405.7,1.0,5.0,38.0,1.0,4.0,199.0,1.0,4.0,1899.0
2.0,6.0,85.0,1.0,6.0,358.8,1.0,6.0,1071.0,1.0,6.0,201.8,1.0,6.0,662.2,1.0,5.0,3680.0
3.0,2.0,24.5,3.0,1.0,301.5,2.0,1.0,490.4,2.0,1.0,62.4,2.0,1.0,444.3,2.0,1.0,3815.0
3.0,4.0,23.2,3.0,4.0,492.7,2.0,4.0,871.9,2.0,3.0,363.2,2.0,3.0,1769.0,2.0,3.0,6116.0
3.0,5.0,42.4,3.0,5.0,848.7,2.0,5.0,1237.0,2.0,5.0,130.6,2.0,4.0,604.5,2.0,4.0,5472.0
3.0,6.0,181.9,3.0,6.0,1961.0,2.0,6.0,1961.0,2.0,6.0,540.1,2.0,6.0,2058.0,2.0,5.0,6708.0
4.0,2.0,5.4,4.0,1.0,67.9,4.0,1.0,531.1,3.0,1.0,414.2,3.0,1.0,1368.0,3.0,1.0,6818.0
4.0,3.0,17.3,4.0,3.0,377.0,4.0,2.0,971.7,3.0,2.0,714.6,3.0,2.0,2551.0,3.0,2.0,6301.0
4.0,5.0,10.4,4.0,5.0,199.7,4.0,5.0,1109.0,3.0,5.0,701.3,3.0,4.0,2248.0,3.0,4.0,5071.0
4.0,6.0,82.9,4.0,6.0,745.3,4.0,6.0,1980.0,3.0,6.0,1333.0,3.0,6.0,3616.0,3.0,5.0,6027.0
5.0,2.0,27.5,5.0,1.0,287.0,5.0,1.0,920.1,5.0,1.0,62.1,4.0,1.0,198.7,4.0,1.0,2260.0
5.0,3.0,64.2,5.0,3.0,1021.0,5.0,2.0,1865.0,5.0,2.0,104.3,4.0,2.0,341.1,4.0,2.0,3381.0
5.0,4.0,27.5,5.0,4.0,399.1,5.0,4.0,1777.0,5.0,3.0,353.0,4.0,3.0,1181.0,4.0,3.0,4332.0
5.0,6.0,216.1,5.0,6.0,2009.0,5.0,6.0,2992.0,5.0,6.0,277.0,4.0,6.0,910.0,4.0,5.0,5472.0
6.0,2.0,474.7,6.0,1.0,1618.0,6.0,1.0,3746.0,6.0,1.0,593.2,6.0,1.0,2260.0,5.0,1.0,6027.0
6.0,3.0,768.7,6.0,3.0,4892.0,6.0,2.0,3886.0,6.0,2.0,994.9,6.0,2.0,3960.0,5.0,2.0,7847.0
6.0,4.0,405.3,6.0,4.0,2868.0,6.0,4.0,4037.0,6.0,3.0,1624.0,6.0,3.0,4892.0,5.0,3.0,8318.0
6.0,5.0,712.1,6.0,5.0,4201.0,6.0,5.0,4287.0,6.0,5.0,906.1,6.0,4.0,3199.0,5.0,4.0,6931.0
