1,鶴本 崇文,鶴本 崇文.1,2,杉田 篤光,杉田 篤光.1,3,村越 篤,村越 篤.1,4,別府 昌樹,別府 昌樹.1,5,永田 秀二,永田 秀二.1,6,鈴木 峻佑,鈴木 峻佑.1
2.0,3.0,12.6,1.0,3.0,76.8,1.0,2.0,88.4,1.0,2.0,93.8,1.0,2.0,105.7,1.0,2.0,755.8
2.0,4.0,12.9,1.0,4.0,70.9,1.0,4.0,59.4,1.0,3.0,81.4,1.0,3.0,68.8,1.0,3.0,896.5
2.0,5.0,15.2,1.0,5.0,84.9,1.0,5.0,48.8,1.0,5.0,47.3,1.0,4.0,69.9,1.0,4.0,832.5
2.0,6.0,60.0,1.0,6.0,257.8,1.0,6.0,180.8,1.0,6.0,154.2,1.0,6.0,127.5,1.0,5.0,763.8
3.0,2.0,15.1,3.0,1.0,237.4,2.0,1.0,215.5,2.0,1.0,246.2,2.0,1.0,271.0,2.0,1.0,1467.0
3.0,4.0,9.8,3.0,4.0,454.5,2.0,4.0,354.4,2.0,3.0,518.9,2.0,3.0,515.7,2.0,3.0,2241.0
3.0,5.0,9.6,3.0,5.0,497.2,2.0,5.0,367.9,2.0,5.0,330.7,2.0,4.0,478.8,2.0,4.0,2126.0
3.0,6.0,55.3,3.0,6.0,1048.0,2.0,6.0,826.6,2.0,6.0,695.4,2.0,6.0,611.5,2.0,5.0,2023.0
4.0,2.0,17.6,4.0,1.0,237.0,4.0,1.0,129.6,3.0,1.0,176.7,3.0,1.0,148.0,3.0,1.0,1464.0
4.0,3.0,15.3,4.0,3.0,560.9,4.0,2.0,327.9,3.0,2.0,446.5,3.0,2.0,350.0,3.0,2.0,2258.0
4.0,5.0,13.7,4.0,5.0,457.8,4.0,5.0,145.4,3.0,5.0,194.5,3.0,4.0,224.7,3.0,4.0,2052.0
4.0,6.0,57.8,4.0,6.0,997.9,4.0,6.0,381.4,3.0,6.0,522.2,3.0,6.0,516.1,3.0,5.0,1867.0
5.0,2.0,24.3,5.0,1.0,284.8,5.0,1.0,99.8,5.0,1.0,76.5,4.0,1.0,122.1,4.0,1.0,1156.0
5.0,3.0,17.1,5.0,3.0,642.5,5.0,2.0,318.8,5.0,2.0,217.0,4.0,2.0,367.4,4.0,2.0,2030.0
5.0,4.0,22.1,5.0,4.0,534.1,5.0,4.0,180.0,5.0,3.0,169.4,4.0,3.0,243.3,4.0,3.0,2182.0
5.0,6.0,53.9,5.0,6.0,997.9,5.0,6.0,333.4,5.0,6.0,171.5,4.0,6.0,285.1,4.0,5.0,1460.0
6.0,2.0,184.4,6.0,1.0,1101.0,6.0,1.0,556.6,6.0,1.0,490.9,6.0,1.0,340.8,5.0,1.0,996.2
6.0,3.0,183.9,6.0,3.0,2096.0,6.0,2.0,1269.0,6.0,2.0,864.6,6.0,2.0,697.1,5.0,2.0,1704.0
6.0,4.0,199.9,6.0,4.0,1669.0,6.0,4.0,913.4,6.0,3.0,902.1,6.0,3.0,597.7,5.0,3.0,1724.0
6.0,5.0,163.5,6.0,5.0,1665.0,6.0,5.0,688.0,6.0,5.0,492.6,6.0,4.0,547.7,5.0,4.0,1303.0
