1,山本　景士郎,山本　景士郎.1,2,樫葉 次郎,樫葉 次郎.1,3,寺田 祥,寺田 祥.1,4,佐藤 旭,佐藤 旭.1,5,益田 啓司,益田 啓司.1,6,加倉 侑征,加倉 侑征.1
2.0,3.0,80.6,1.0,3.0,396.8,1.0,2.0,56.0,1.0,2.0,776.1,1.0,2.0,127.2,1.0,2.0,2417.0
2.0,4.0,194.9,1.0,4.0,776.1,1.0,4.0,15.6,1.0,3.0,269.5,1.0,3.0,23.4,1.0,3.0,785.7
2.0,5.0,149.4,1.0,5.0,768.6,1.0,5.0,7.2,1.0,5.0,265.6,1.0,4.0,64.6,1.0,4.0,2683.0
2.0,6.0,319.2,1.0,6.0,1445.0,1.0,6.0,28.3,1.0,6.0,557.5,1.0,6.0,55.0,1.0,5.0,1021.0
3.0,2.0,32.4,3.0,1.0,514.0,2.0,1.0,243.5,2.0,1.0,1303.0,2.0,1.0,454.9,2.0,1.0,3231.0
3.0,4.0,14.5,3.0,4.0,962.5,2.0,4.0,432.6,2.0,3.0,1591.0,2.0,3.0,418.3,2.0,3.0,3518.0
3.0,5.0,6.9,3.0,5.0,897.0,2.0,5.0,276.0,2.0,5.0,1991.0,2.0,4.0,736.4,2.0,4.0,5277.0
3.0,6.0,26.2,3.0,6.0,1851.0,2.0,6.0,456.9,2.0,6.0,1873.0,2.0,6.0,544.1,2.0,5.0,5026.0
4.0,2.0,179.1,4.0,1.0,1769.0,4.0,1.0,45.6,3.0,1.0,249.9,3.0,1.0,25.6,3.0,1.0,778.0
4.0,3.0,44.3,4.0,3.0,2154.0,4.0,2.0,259.9,3.0,2.0,676.6,3.0,2.0,157.6,3.0,2.0,2083.0
4.0,5.0,57.5,4.0,5.0,2513.0,4.0,5.0,31.9,3.0,5.0,161.3,3.0,4.0,47.3,3.0,4.0,1749.0
4.0,6.0,173.7,4.0,6.0,3368.0,4.0,6.0,101.9,3.0,6.0,457.6,3.0,6.0,47.7,3.0,5.0,599.7
5.0,2.0,83.7,5.0,1.0,1649.0,5.0,1.0,11.8,5.0,1.0,273.4,4.0,1.0,155.0,4.0,1.0,4726.0
5.0,3.0,13.3,5.0,3.0,1190.0,5.0,2.0,97.5,5.0,2.0,1008.0,4.0,2.0,556.5,4.0,2.0,6597.0
5.0,4.0,38.8,5.0,4.0,2435.0,5.0,4.0,20.1,5.0,3.0,185.6,4.0,3.0,107.1,4.0,3.0,3264.0
5.0,6.0,48.6,5.0,6.0,3405.0,5.0,6.0,30.0,5.0,6.0,553.6,4.0,6.0,260.4,4.0,5.0,3044.0
6.0,2.0,532.2,6.0,1.0,3598.0,6.0,1.0,154.3,6.0,1.0,1799.0,6.0,1.0,138.9,5.0,1.0,945.2
6.0,3.0,141.8,6.0,3.0,3264.0,6.0,2.0,496.3,6.0,2.0,2777.0,6.0,2.0,429.6,5.0,2.0,3015.0
6.0,4.0,439.8,6.0,4.0,5107.0,6.0,4.0,253.7,6.0,3.0,1439.0,6.0,3.0,118.4,5.0,3.0,634.6
6.0,5.0,205.4,6.0,5.0,4279.0,6.0,5.0,123.9,6.0,5.0,1370.0,6.0,4.0,301.3,5.0,4.0,2230.0
