1,柳生 泰二,柳生 泰二.1,2,三浦 永理,三浦 永理.1,3,林 祐介,林 祐介.1,4,坂井 康嗣,坂井 康嗣.1,5,前田 聖文,前田 聖文.1,6,魚谷 香織,魚谷 香織.1
2.0,3.0,6.4,1.0,3.0,77.8,1.0,2.0,150.4,1.0,2.0,329.0,1.0,2.0,57.0,1.0,2.0,348.5
2.0,4.0,24.3,1.0,4.0,178.8,1.0,4.0,246.5,1.0,3.0,548.2,1.0,3.0,88.5,1.0,3.0,526.4
2.0,5.0,7.1,1.0,5.0,60.4,1.0,5.0,119.4,1.0,5.0,224.7,1.0,4.0,175.9,1.0,4.0,1115.0
2.0,6.0,15.2,1.0,6.0,99.3,1.0,6.0,175.6,1.0,6.0,305.8,1.0,6.0,65.5,1.0,5.0,385.3
3.0,2.0,9.0,3.0,1.0,269.5,2.0,1.0,353.0,2.0,1.0,674.7,2.0,1.0,144.4,2.0,1.0,568.7
3.0,4.0,26.7,3.0,4.0,1014.0,2.0,4.0,1160.0,2.0,3.0,1429.0,2.0,3.0,417.0,2.0,3.0,1730.0
3.0,5.0,10.4,3.0,5.0,457.1,2.0,5.0,606.0,2.0,5.0,967.3,2.0,4.0,734.0,2.0,4.0,2320.0
3.0,6.0,19.4,3.0,6.0,645.3,2.0,6.0,914.3,2.0,6.0,1056.0,2.0,6.0,257.0,2.0,5.0,1039.0
4.0,2.0,46.5,4.0,1.0,720.8,4.0,1.0,884.6,3.0,1.0,1094.0,3.0,1.0,258.3,3.0,1.0,866.8
4.0,3.0,56.8,4.0,3.0,1461.0,4.0,2.0,1504.0,3.0,2.0,1685.0,3.0,2.0,601.7,3.0,2.0,1597.0
4.0,5.0,57.4,4.0,5.0,1192.0,4.0,5.0,1310.0,3.0,5.0,1592.0,3.0,4.0,1170.0,3.0,4.0,3175.0
4.0,6.0,65.6,4.0,6.0,1369.0,4.0,6.0,1491.0,3.0,6.0,1491.0,3.0,6.0,573.1,3.0,5.0,1713.0
5.0,2.0,11.2,5.0,1.0,189.9,5.0,1.0,286.7,5.0,1.0,283.7,4.0,1.0,383.3,4.0,1.0,2021.0
5.0,3.0,15.0,5.0,3.0,486.8,5.0,2.0,666.9,5.0,2.0,594.1,4.0,2.0,679.1,4.0,2.0,2859.0
5.0,4.0,47.8,5.0,4.0,1004.0,5.0,4.0,1043.0,5.0,3.0,886.1,4.0,3.0,1189.0,4.0,3.0,3062.0
5.0,6.0,19.3,5.0,6.0,368.0,5.0,6.0,659.2,5.0,6.0,362.6,4.0,6.0,508.8,4.0,5.0,2709.0
6.0,2.0,43.6,6.0,1.0,343.8,6.0,1.0,491.9,6.0,1.0,697.4,6.0,1.0,150.4,5.0,1.0,480.5
6.0,3.0,56.0,6.0,3.0,892.3,6.0,2.0,1271.0,6.0,2.0,1127.0,6.0,2.0,230.8,5.0,2.0,861.1
6.0,4.0,106.6,6.0,4.0,1402.0,6.0,4.0,1945.0,6.0,3.0,1803.0,6.0,3.0,411.0,5.0,3.0,1277.0
6.0,5.0,54.9,6.0,5.0,622.0,6.0,5.0,1071.0,6.0,5.0,733.0,6.0,4.0,552.3,5.0,4.0,1558.0
