1,下寺 秀和,下寺 秀和.1,2,金子 貴志,金子 貴志.1,3,峰重 侑治,峰重 侑治.1,4,荒井 輝年,荒井 輝年.1,5,清水 紀克,清水 紀克.1,6,溝口　海義也,溝口　海義也.1
2.0,3.0,30.3,1.0,3.0,157.9,1.0,2.0,95.7,1.0,2.0,113.8,1.0,2.0,352.9,1.0,2.0,122.7
2.0,4.0,29.1,1.0,4.0,141.6,1.0,4.0,42.7,1.0,3.0,71.6,1.0,3.0,229.2,1.0,3.0,51.9
2.0,5.0,102.9,1.0,5.0,416.9,1.0,5.0,144.9,1.0,5.0,187.6,1.0,4.0,341.7,1.0,4.0,59.9
2.0,6.0,24.8,1.0,6.0,113.0,1.0,6.0,32.3,1.0,6.0,47.1,1.0,6.0,277.5,1.0,5.0,227.6
3.0,2.0,27.8,3.0,1.0,215.6,2.0,1.0,157.7,2.0,1.0,216.4,2.0,1.0,1064.0,2.0,1.0,260.3
3.0,4.0,15.3,3.0,4.0,184.8,2.0,4.0,145.4,2.0,3.0,249.3,2.0,3.0,1015.0,2.0,3.0,254.0
3.0,5.0,56.6,3.0,5.0,619.5,2.0,5.0,463.8,2.0,5.0,689.4,2.0,4.0,1177.0,2.0,4.0,271.9
3.0,6.0,12.2,3.0,6.0,139.1,2.0,6.0,110.7,2.0,6.0,147.1,2.0,6.0,1143.0,2.0,5.0,671.1
4.0,2.0,33.8,4.0,1.0,231.9,4.0,1.0,41.5,3.0,1.0,73.3,3.0,1.0,467.5,3.0,1.0,72.2
4.0,3.0,22.4,4.0,3.0,240.4,4.0,2.0,102.9,3.0,2.0,183.4,3.0,2.0,918.1,3.0,2.0,187.5
4.0,5.0,80.9,4.0,5.0,831.9,4.0,5.0,174.7,3.0,5.0,278.1,3.0,4.0,703.1,3.0,4.0,59.5
4.0,6.0,16.5,4.0,6.0,158.7,4.0,6.0,25.2,3.0,6.0,42.3,3.0,6.0,643.1,3.0,5.0,332.7
5.0,2.0,127.9,5.0,1.0,858.0,5.0,1.0,309.7,5.0,1.0,528.9,4.0,1.0,864.3,4.0,1.0,79.2
5.0,3.0,76.7,5.0,3.0,970.9,5.0,2.0,540.2,5.0,2.0,866.4,4.0,2.0,1347.0,4.0,2.0,196.3
5.0,4.0,102.1,5.0,4.0,968.2,5.0,4.0,395.5,5.0,3.0,803.6,4.0,3.0,901.7,4.0,3.0,68.0
5.0,6.0,83.5,5.0,6.0,721.7,5.0,6.0,276.4,5.0,6.0,394.6,4.0,6.0,711.6,4.0,5.0,362.3
6.0,2.0,36.5,6.0,1.0,214.3,6.0,1.0,36.8,6.0,1.0,51.4,6.0,1.0,669.9,5.0,1.0,470.0
6.0,3.0,18.9,6.0,3.0,199.3,6.0,2.0,88.0,6.0,2.0,125.1,6.0,2.0,1154.0,5.0,2.0,732.2
6.0,4.0,23.0,6.0,4.0,206.7,6.0,4.0,31.3,6.0,3.0,48.7,6.0,3.0,705.9,5.0,3.0,578.1
6.0,5.0,79.5,6.0,5.0,705.9,6.0,5.0,159.6,6.0,5.0,201.5,6.0,4.0,777.1,5.0,4.0,611.0
