1,豊田 泰洋,豊田 泰洋.1,2,木場　雄二郎,木場　雄二郎.1,3,麻生 慎介,麻生 慎介.1,4,中島 浩哉,中島 浩哉.1,5,待鳥 雄紀,待鳥 雄紀.1,6,塩田 北斗,塩田 北斗.1
2.0,3.0,37.0,1.0,3.0,49.2,1.0,2.0,33.4,1.0,2.0,570.6,1.0,2.0,266.1,1.0,2.0,201.1
2.0,4.0,135.4,1.0,4.0,135.5,1.0,4.0,71.5,1.0,3.0,500.8,1.0,3.0,156.5,1.0,3.0,117.1
2.0,5.0,84.3,1.0,5.0,92.5,1.0,5.0,28.5,1.0,5.0,616.5,1.0,4.0,524.3,1.0,4.0,347.5
2.0,6.0,51.3,1.0,6.0,51.9,1.0,6.0,21.5,1.0,6.0,483.0,1.0,6.0,164.0,1.0,5.0,189.9
3.0,2.0,29.3,3.0,1.0,47.3,2.0,1.0,38.2,2.0,1.0,610.4,2.0,1.0,341.7,2.0,1.0,268.4
3.0,4.0,68.2,3.0,4.0,118.3,2.0,4.0,78.4,2.0,3.0,372.9,2.0,3.0,167.6,2.0,3.0,116.8
3.0,5.0,32.9,3.0,5.0,47.0,2.0,5.0,23.7,2.0,5.0,685.4,2.0,4.0,705.1,2.0,4.0,414.5
3.0,6.0,25.4,3.0,6.0,33.4,2.0,6.0,17.2,2.0,6.0,515.5,2.0,6.0,176.7,2.0,5.0,188.7
4.0,2.0,234.6,4.0,1.0,326.3,4.0,1.0,109.4,3.0,1.0,439.7,3.0,1.0,135.8,3.0,1.0,109.1
4.0,3.0,171.8,4.0,3.0,221.0,4.0,2.0,110.8,3.0,2.0,336.1,3.0,2.0,137.3,3.0,2.0,94.0
4.0,5.0,233.7,4.0,5.0,324.5,4.0,5.0,80.0,3.0,5.0,327.1,3.0,4.0,357.7,3.0,4.0,184.2
4.0,6.0,182.0,4.0,6.0,257.7,4.0,6.0,65.6,3.0,6.0,266.7,3.0,6.0,65.7,3.0,5.0,65.7
5.0,2.0,143.8,5.0,1.0,193.2,5.0,1.0,46.0,5.0,1.0,739.1,4.0,1.0,766.8,4.0,1.0,663.2
5.0,3.0,74.8,5.0,3.0,103.7,5.0,2.0,36.5,5.0,2.0,705.1,4.0,2.0,786.5,4.0,2.0,528.8
5.0,4.0,223.0,5.0,4.0,364.0,5.0,4.0,78.0,5.0,3.0,494.7,4.0,3.0,461.2,4.0,3.0,302.9
5.0,6.0,86.8,5.0,6.0,107.3,5.0,6.0,18.6,5.0,6.0,332.5,4.0,6.0,379.8,4.0,5.0,395.7
6.0,2.0,73.8,6.0,1.0,119.9,6.0,1.0,37.6,6.0,1.0,681.6,6.0,1.0,188.1,5.0,1.0,234.1
6.0,3.0,47.1,6.0,3.0,64.2,6.0,2.0,26.4,6.0,2.0,659.6,6.0,2.0,165.5,5.0,2.0,190.2
6.0,4.0,174.7,6.0,4.0,264.4,6.0,4.0,63.4,6.0,3.0,344.6,6.0,3.0,73.5,5.0,3.0,80.1
6.0,5.0,81.0,6.0,5.0,108.9,6.0,5.0,18.0,6.0,5.0,330.7,6.0,4.0,334.3,5.0,4.0,309.8
