1,中野 仁照,中野 仁照.1,2,三馬 崇史,三馬 崇史.1,3,前原 大道,前原 大道.1,4,坂井 滉哉,坂井 滉哉.1,5,田村 慶,田村 慶.1,6,坂本 雄紀,坂本 雄紀.1
2.0,3.0,16.2,1.0,3.0,72.1,1.0,2.0,37.5,1.0,2.0,437.2,1.0,2.0,103.3,1.0,2.0,602.7
2.0,4.0,48.1,1.0,4.0,223.1,1.0,4.0,46.0,1.0,3.0,266.7,1.0,3.0,50.3,1.0,3.0,281.0
2.0,5.0,25.8,1.0,5.0,113.6,1.0,5.0,18.7,1.0,5.0,257.4,1.0,4.0,145.1,1.0,4.0,872.9
2.0,6.0,55.5,1.0,6.0,217.5,1.0,6.0,28.1,1.0,6.0,374.9,1.0,6.0,72.4,1.0,5.0,403.2
3.0,2.0,9.4,3.0,1.0,115.5,2.0,1.0,124.8,2.0,1.0,736.5,2.0,1.0,328.9,2.0,1.0,1178.0
3.0,4.0,15.2,3.0,4.0,363.4,2.0,4.0,268.2,2.0,3.0,828.4,2.0,3.0,442.1,2.0,3.0,1224.0
3.0,5.0,6.1,3.0,5.0,256.0,2.0,5.0,178.7,2.0,5.0,868.0,2.0,4.0,781.7,2.0,4.0,2094.0
3.0,6.0,11.5,3.0,6.0,409.1,2.0,6.0,251.9,2.0,6.0,1227.0,2.0,6.0,530.8,2.0,5.0,1792.0
4.0,2.0,70.2,4.0,1.0,606.6,4.0,1.0,159.4,3.0,1.0,343.8,3.0,1.0,84.1,3.0,1.0,336.4
4.0,3.0,44.3,4.0,3.0,634.4,4.0,2.0,300.4,3.0,2.0,726.3,3.0,2.0,302.9,3.0,2.0,975.9
4.0,5.0,50.7,4.0,5.0,901.2,4.0,5.0,194.7,3.0,5.0,370.2,3.0,4.0,283.6,3.0,4.0,1263.0
4.0,6.0,94.8,4.0,6.0,1141.0,4.0,6.0,243.3,3.0,6.0,579.0,3.0,6.0,173.3,3.0,5.0,563.8
5.0,2.0,28.1,5.0,1.0,330.7,5.0,1.0,51.3,5.0,1.0,305.0,4.0,1.0,324.8,4.0,1.0,1366.0
5.0,3.0,13.3,5.0,3.0,457.6,5.0,2.0,161.7,5.0,2.0,638.7,4.0,2.0,659.2,4.0,2.0,1972.0
5.0,4.0,41.8,5.0,4.0,922.4,5.0,4.0,161.7,5.0,3.0,377.0,4.0,3.0,385.7,4.0,3.0,1689.0
5.0,6.0,28.0,5.0,6.0,667.6,5.0,6.0,84.7,5.0,6.0,383.8,4.0,6.0,368.2,4.0,5.0,1454.0
6.0,2.0,111.3,6.0,1.0,837.2,6.0,1.0,101.3,6.0,1.0,666.7,6.0,1.0,150.5,5.0,1.0,457.6
6.0,3.0,51.8,6.0,3.0,1114.0,6.0,2.0,290.0,6.0,2.0,1253.0,6.0,2.0,501.4,5.0,2.0,1144.0
6.0,4.0,145.5,6.0,4.0,1642.0,6.0,4.0,328.4,6.0,3.0,860.1,6.0,3.0,221.4,5.0,3.0,538.7
6.0,5.0,70.7,6.0,5.0,1163.0,6.0,5.0,133.9,6.0,5.0,613.7,6.0,4.0,427.7,5.0,4.0,1181.0
