1,岡崎 恭裕,岡崎 恭裕.1,2,出畑 孝典,出畑 孝典.1,3,山田 丈,山田 丈.1,4,松下 哲也,松下 哲也.1,5,小林 文彦,小林 文彦.1,6,水摩 敦,水摩 敦.1
2.0,3.0,6.4,1.0,3.0,54.7,1.0,2.0,51.1,1.0,2.0,205.8,1.0,2.0,701.0,1.0,2.0,140.2
2.0,4.0,13.3,1.0,4.0,130.0,1.0,4.0,51.1,1.0,3.0,163.4,1.0,3.0,599.3,1.0,3.0,171.7
2.0,5.0,19.4,1.0,5.0,149.3,1.0,5.0,76.1,1.0,5.0,217.8,1.0,4.0,886.6,1.0,4.0,365.7
2.0,6.0,11.2,1.0,6.0,92.6,1.0,6.0,53.3,1.0,6.0,184.8,1.0,6.0,644.6,1.0,5.0,397.2
3.0,2.0,7.5,3.0,1.0,144.2,2.0,1.0,126.7,2.0,1.0,490.4,2.0,1.0,1067.0,2.0,1.0,237.1
3.0,4.0,11.6,3.0,4.0,422.1,2.0,4.0,355.8,2.0,3.0,844.2,2.0,3.0,2083.0,2.0,3.0,376.2
3.0,5.0,19.4,3.0,5.0,494.6,2.0,5.0,402.2,2.0,5.0,755.8,2.0,4.0,1884.0,2.0,4.0,803.2
3.0,6.0,11.3,3.0,6.0,307.7,2.0,6.0,239.5,2.0,6.0,636.6,2.0,6.0,1317.0,2.0,5.0,823.9
4.0,2.0,29.8,4.0,1.0,355.6,4.0,1.0,111.3,3.0,1.0,210.8,3.0,1.0,810.8,3.0,1.0,254.7
4.0,3.0,27.5,4.0,3.0,607.2,4.0,2.0,268.8,3.0,2.0,543.4,3.0,2.0,1791.0,3.0,2.0,414.6
4.0,5.0,56.8,4.0,5.0,1088.0,4.0,5.0,199.2,3.0,5.0,381.5,3.0,4.0,1538.0,3.0,4.0,801.9
4.0,6.0,34.7,4.0,6.0,662.1,4.0,6.0,142.4,3.0,6.0,306.6,3.0,6.0,1626.0,3.0,5.0,1006.0
5.0,2.0,54.7,5.0,1.0,670.7,5.0,1.0,254.8,5.0,1.0,479.3,4.0,1.0,1407.0,4.0,1.0,812.1
5.0,3.0,54.4,5.0,3.0,892.8,5.0,2.0,536.0,5.0,2.0,800.7,4.0,2.0,1884.0,4.0,2.0,1259.0
5.0,4.0,110.9,5.0,4.0,1419.0,5.0,4.0,386.4,5.0,3.0,823.9,4.0,3.0,2228.0,4.0,3.0,1191.0
5.0,6.0,63.3,5.0,6.0,930.0,5.0,6.0,362.1,5.0,6.0,483.0,4.0,6.0,1178.0,4.0,5.0,1240.0
6.0,2.0,28.6,6.0,1.0,330.4,6.0,1.0,144.2,6.0,1.0,382.1,6.0,1.0,1106.0,5.0,1.0,877.5
6.0,3.0,29.9,6.0,3.0,529.9,6.0,2.0,306.1,6.0,2.0,630.3,6.0,2.0,1516.0,5.0,2.0,1314.0
6.0,4.0,69.2,6.0,4.0,974.2,6.0,4.0,264.8,6.0,3.0,595.9,6.0,3.0,2277.0,5.0,3.0,1696.0
6.0,5.0,68.9,6.0,5.0,945.5,6.0,5.0,377.3,6.0,5.0,585.6,6.0,4.0,1427.0,5.0,4.0,1310.0
