1,岡村 将也,岡村 将也.1,2,青木　幸太郎,青木　幸太郎.1,3,堤 昇,堤 昇.1,4,抹香 雄三,抹香 雄三.1,5,梶山 涼斗,梶山 涼斗.1,6,水摩 敦,水摩 敦.1
2,3,欠場,1,3,欠場,1,2,欠場,1,2,欠場,1,2,欠場,1,2,欠場
2,4,欠場,1,4,欠場,1,4,31.1,1,3,65.3,1,3,169.1,1,3,20.5
2,5,欠場,1,5,欠場,1,5,54.3,1,5,86.2,1,4,188.5,1,4,33.0
2,6,欠場,1,6,欠場,1,6,21.2,1,6,39.7,1,6,110.4,1,5,54.4
3,2,欠場,3,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場
3,4,12.8,3,4,欠場,2,4,欠場,2,3,欠場,2,3,欠場,2,3,欠場
3,5,28.2,3,5,欠場,2,5,欠場,2,5,欠場,2,4,欠場,2,4,欠場
3,6,8.9,3,6,欠場,2,6,欠場,2,6,欠場,2,6,欠場,2,5,欠場
4,2,欠場,4,1,欠場,4,1,64.7,3,1,101.9,3,1,274.8,3,1,27.0
4,3,19.5,4,3,欠場,4,2,欠場,3,2,欠場,3,2,欠場,3,2,欠場
4,5,39.7,4,5,欠場,4,5,86.6,3,5,125.7,3,4,269.0,3,4,42.0
4,6,14.1,4,6,欠場,4,6,38.2,3,6,60.6,3,6,160.3,3,5,59.4
5,2,欠場,5,1,欠場,5,1,175.0,5,1,144.2,4,1,295.0,4,1,59.3
5,3,63.4,5,3,欠場,5,2,欠場,5,2,欠場,4,2,欠場,4,2,欠場
5,4,69.7,5,4,欠場,5,4,146.8,5,3,160.8,4,3,283.0,4,3,61.1
5,6,49.5,5,6,欠場,5,6,101.8,5,6,76.6,4,6,132.0,4,5,73.2
6,2,欠場,6,1,欠場,6,1,36.7,6,1,49.8,6,1,101.7,5,1,101.3
6,3,11.7,6,3,欠場,6,2,欠場,6,2,欠場,6,2,欠場,5,2,欠場
6,4,16.1,6,4,欠場,6,4,42.7,6,3,55.4,6,3,106.2,5,3,102.6
6,5,32.4,6,5,欠場,6,5,75.7,6,5,59.1,6,4,103.2,5,4,92.6
