1,松尾 充,松尾 充.1,2,岩永 雅人,岩永 雅人.1,3,谷 勝幸,谷 勝幸.1,4,松崎　祐太郎,松崎　祐太郎.1,5,森 智哉,森 智哉.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,11.8,1.0,3.0,55.2,1.0,2.0,203.5,1.0,2.0,23.1,1.0,2.0,233.4,1.0,2.0,2030.0
2.0,4.0,4.7,1.0,4.0,21.7,1.0,4.0,162.0,1.0,3.0,61.9,1.0,3.0,456.1,1.0,3.0,2840.0
2.0,5.0,16.6,1.0,5.0,56.0,1.0,5.0,287.1,1.0,5.0,30.4,1.0,4.0,176.9,1.0,4.0,2053.0
2.0,6.0,117.5,1.0,6.0,296.7,1.0,6.0,871.7,1.0,6.0,142.0,1.0,6.0,731.4,1.0,5.0,3951.0
3.0,2.0,24.5,3.0,1.0,189.3,2.0,1.0,377.8,2.0,1.0,43.0,2.0,1.0,357.8,2.0,1.0,2489.0
3.0,4.0,18.9,3.0,4.0,218.4,2.0,4.0,455.5,2.0,3.0,134.7,2.0,3.0,1059.0,2.0,3.0,5508.0
3.0,5.0,41.8,3.0,5.0,417.3,2.0,5.0,766.9,2.0,5.0,82.7,2.0,4.0,380.2,2.0,4.0,3304.0
3.0,6.0,216.2,3.0,6.0,1630.0,2.0,6.0,1933.0,2.0,6.0,317.4,2.0,6.0,1587.0,2.0,5.0,4660.0
4.0,2.0,5.8,4.0,1.0,42.2,4.0,1.0,270.8,3.0,1.0,194.1,3.0,1.0,1115.0,3.0,1.0,3994.0
4.0,3.0,13.8,4.0,3.0,135.0,4.0,2.0,456.7,3.0,2.0,282.0,3.0,2.0,1608.0,3.0,2.0,5770.0
4.0,5.0,12.0,4.0,5.0,106.0,4.0,5.0,497.3,3.0,5.0,357.8,3.0,4.0,1180.0,3.0,4.0,4178.0
4.0,6.0,95.0,4.0,6.0,451.0,4.0,6.0,1502.0,3.0,6.0,993.2,3.0,6.0,3672.0,3.0,5.0,5120.0
5.0,2.0,43.2,5.0,1.0,210.9,5.0,1.0,671.9,5.0,1.0,52.4,4.0,1.0,192.5,4.0,1.0,2439.0
5.0,3.0,79.1,5.0,3.0,557.5,5.0,2.0,1047.0,5.0,2.0,76.5,4.0,2.0,302.9,4.0,2.0,2885.0
5.0,4.0,38.8,5.0,4.0,239.1,5.0,4.0,722.7,5.0,3.0,203.7,4.0,3.0,765.3,4.0,3.0,4433.0
5.0,6.0,278.5,5.0,6.0,1150.0,5.0,6.0,2053.0,5.0,6.0,180.4,4.0,6.0,734.4,4.0,5.0,3107.0
6.0,2.0,502.8,6.0,1.0,1128.0,6.0,1.0,2818.0,6.0,1.0,408.0,6.0,1.0,2439.0,5.0,1.0,4783.0
6.0,3.0,776.7,6.0,3.0,1854.0,6.0,2.0,3672.0,6.0,2.0,478.9,6.0,2.0,2578.0,5.0,2.0,4847.0
6.0,4.0,451.0,6.0,4.0,1317.0,6.0,4.0,3245.0,6.0,3.0,1009.0,6.0,3.0,4276.0,5.0,3.0,5193.0
6.0,5.0,685.9,6.0,5.0,2042.0,6.0,5.0,3462.0,6.0,5.0,480.8,6.0,4.0,1790.0,5.0,4.0,3599.0
