1,福田 雅一,福田 雅一.1,2,菅 章哉,菅 章哉.1,3,伊藤 紘章,伊藤 紘章.1,4,峰重 力也,峰重 力也.1,5,石田 章央,石田 章央.1,6,河野 大,河野 大.1
2.0,3.0,22.4,1.0,3.0,19.7,1.0,2.0,197.3,1.0,2.0,228.7,1.0,2.0,104.9,1.0,2.0,338.6
2.0,4.0,25.9,1.0,4.0,20.7,1.0,4.0,437.9,1.0,3.0,654.2,1.0,3.0,393.8,1.0,3.0,1406.0
2.0,5.0,11.9,1.0,5.0,8.8,1.0,5.0,233.1,1.0,5.0,266.5,1.0,4.0,337.1,1.0,4.0,1230.0
2.0,6.0,15.8,1.0,6.0,11.1,1.0,6.0,326.0,1.0,6.0,263.9,1.0,6.0,145.3,1.0,5.0,543.2
3.0,2.0,62.4,3.0,1.0,51.6,2.0,1.0,173.6,2.0,1.0,198.3,2.0,1.0,88.7,2.0,1.0,323.0
3.0,4.0,132.7,3.0,4.0,52.9,2.0,4.0,142.5,2.0,3.0,356.9,2.0,3.0,212.1,2.0,3.0,974.7
3.0,5.0,99.3,3.0,5.0,30.9,2.0,5.0,107.7,2.0,5.0,148.2,2.0,4.0,181.7,2.0,4.0,642.2
3.0,6.0,113.8,3.0,6.0,45.7,2.0,6.0,159.4,2.0,6.0,157.7,2.0,6.0,90.0,2.0,5.0,282.3
4.0,2.0,70.0,4.0,1.0,55.2,4.0,1.0,822.3,3.0,1.0,1008.0,3.0,1.0,844.0,3.0,1.0,3282.0
4.0,3.0,172.6,4.0,3.0,72.4,4.0,2.0,393.0,3.0,2.0,765.0,3.0,2.0,463.2,3.0,2.0,1500.0
4.0,5.0,109.2,4.0,5.0,38.0,4.0,5.0,463.8,3.0,5.0,992.3,3.0,4.0,1263.0,3.0,4.0,3310.0
4.0,6.0,107.1,4.0,6.0,42.0,4.0,6.0,573.2,3.0,6.0,1156.0,3.0,6.0,824.1,3.0,5.0,3000.0
5.0,2.0,36.9,5.0,1.0,20.2,5.0,1.0,389.1,5.0,1.0,301.2,4.0,1.0,422.4,4.0,1.0,2133.0
5.0,3.0,139.7,5.0,3.0,39.0,5.0,2.0,266.5,5.0,2.0,199.7,4.0,2.0,285.7,4.0,2.0,897.3
5.0,4.0,134.8,5.0,4.0,44.0,5.0,4.0,603.8,5.0,3.0,671.4,4.0,3.0,1075.0,4.0,3.0,3657.0
5.0,6.0,64.9,5.0,6.0,18.8,5.0,6.0,541.6,5.0,6.0,230.2,4.0,6.0,338.0,4.0,5.0,1477.0
6.0,2.0,69.7,6.0,1.0,44.5,6.0,1.0,1103.0,6.0,1.0,518.9,6.0,1.0,242.9,5.0,1.0,615.4
6.0,3.0,252.3,6.0,3.0,104.6,6.0,2.0,610.5,6.0,2.0,315.8,6.0,2.0,154.0,5.0,2.0,328.2
6.0,4.0,257.0,6.0,4.0,84.5,6.0,4.0,1174.0,6.0,3.0,1263.0,6.0,3.0,529.7,5.0,3.0,1620.0
6.0,5.0,115.4,6.0,5.0,36.5,6.0,5.0,891.0,6.0,5.0,373.9,6.0,4.0,383.6,5.0,4.0,1078.0
