1,品川　二千翔,品川　二千翔.1,2,山ノ内　雅人,山ノ内　雅人.1,3,重富 伸也,重富 伸也.1,4,谷川 将太,谷川 将太.1,5,渡辺 空依,渡辺 空依.1,6,泥谷 一毅,泥谷 一毅.1
2.0,3.0,12.0,1.0,3.0,22.0,1.0,2.0,217.6,1.0,2.0,120.0,1.0,2.0,225.7,1.0,2.0,36.0
2.0,4.0,8.7,1.0,4.0,13.7,1.0,4.0,275.4,1.0,3.0,380.8,1.0,3.0,550.1,1.0,3.0,92.1
2.0,5.0,21.7,1.0,5.0,29.2,1.0,5.0,386.5,1.0,5.0,307.4,1.0,4.0,361.9,1.0,4.0,79.0
2.0,6.0,13.1,1.0,6.0,15.3,1.0,6.0,322.9,1.0,6.0,184.3,1.0,6.0,301.0,1.0,5.0,143.3
3.0,2.0,33.9,3.0,1.0,70.8,2.0,1.0,180.7,2.0,1.0,147.4,2.0,1.0,263.3,2.0,1.0,33.7
3.0,4.0,58.4,3.0,4.0,92.8,2.0,4.0,231.6,2.0,3.0,315.9,2.0,3.0,509.0,2.0,3.0,60.1
3.0,5.0,86.1,3.0,5.0,155.2,2.0,5.0,395.5,2.0,5.0,302.8,2.0,4.0,391.7,2.0,4.0,52.8
3.0,6.0,76.6,3.0,6.0,84.6,2.0,6.0,242.1,2.0,6.0,147.5,2.0,6.0,246.8,2.0,5.0,91.0
4.0,2.0,25.5,4.0,1.0,45.2,4.0,1.0,583.1,3.0,1.0,750.4,3.0,1.0,846.9,3.0,1.0,178.8
4.0,3.0,71.4,4.0,3.0,101.9,4.0,2.0,408.2,3.0,2.0,505.2,3.0,2.0,843.4,3.0,2.0,145.5
4.0,5.0,85.0,4.0,5.0,102.1,4.0,5.0,843.4,3.0,5.0,872.2,3.0,4.0,907.1,3.0,4.0,279.2
4.0,6.0,56.3,4.0,6.0,50.9,4.0,6.0,600.3,3.0,6.0,682.6,3.0,6.0,1015.0,3.0,5.0,388.7
5.0,2.0,72.6,5.0,1.0,108.9,5.0,1.0,660.5,5.0,1.0,359.9,4.0,1.0,591.6,4.0,1.0,152.6
5.0,3.0,156.0,5.0,3.0,243.8,5.0,2.0,826.3,5.0,2.0,310.2,4.0,2.0,461.8,4.0,2.0,113.2
5.0,4.0,139.5,5.0,4.0,175.9,5.0,4.0,932.0,5.0,3.0,819.7,4.0,3.0,1109.0,4.0,3.0,285.4
5.0,6.0,135.2,5.0,6.0,129.6,5.0,6.0,883.6,5.0,6.0,298.8,4.0,6.0,520.7,4.0,5.0,287.8
6.0,2.0,36.4,6.0,1.0,38.6,6.0,1.0,515.4,6.0,1.0,246.5,6.0,1.0,397.1,5.0,1.0,279.2
6.0,3.0,95.6,6.0,3.0,83.2,6.0,2.0,403.3,6.0,2.0,174.0,6.0,2.0,308.3,5.0,2.0,197.9
6.0,4.0,80.8,6.0,4.0,55.8,6.0,4.0,626.1,6.0,3.0,496.6,6.0,3.0,915.3,5.0,3.0,520.7
6.0,5.0,144.0,6.0,5.0,96.6,6.0,5.0,734.2,6.0,5.0,335.7,6.0,4.0,530.1,5.0,4.0,359.9
