1,宮本 夏樹,宮本 夏樹.1,2,梶野 学志,梶野 学志.1,3,池田　奈津美,池田　奈津美.1,4,北中 元樹,北中 元樹.1,5,冨田 秀幸,冨田 秀幸.1,6,林 恵祐,林 恵祐.1
2.0,3.0,7.3,1.0,3.0,15.9,1.0,2.0,56.7,1.0,2.0,45.6,1.0,2.0,526.7,1.0,2.0,954.2
2.0,4.0,6.7,1.0,4.0,12.9,1.0,4.0,77.6,1.0,3.0,110.2,1.0,3.0,834.7,1.0,3.0,1549.0
2.0,5.0,20.9,1.0,5.0,33.4,1.0,5.0,139.4,1.0,5.0,103.1,1.0,4.0,597.6,1.0,4.0,1625.0
2.0,6.0,30.8,1.0,6.0,49.0,1.0,6.0,186.4,1.0,6.0,163.3,1.0,6.0,956.5,1.0,5.0,2115.0
3.0,2.0,13.6,3.0,1.0,47.6,2.0,1.0,78.9,2.0,1.0,49.1,2.0,1.0,736.3,2.0,1.0,1337.0
3.0,4.0,18.9,3.0,4.0,67.8,2.0,4.0,107.3,2.0,3.0,86.4,2.0,3.0,1388.0,2.0,3.0,1480.0
3.0,5.0,39.1,3.0,5.0,145.3,2.0,5.0,190.4,2.0,5.0,70.1,2.0,4.0,752.9,2.0,4.0,2161.0
3.0,6.0,56.6,3.0,6.0,184.8,2.0,6.0,258.4,2.0,6.0,142.8,2.0,6.0,1129.0,2.0,5.0,2876.0
4.0,2.0,16.1,4.0,1.0,35.9,4.0,1.0,109.6,3.0,1.0,159.2,3.0,1.0,1422.0,3.0,1.0,2311.0
4.0,3.0,30.7,4.0,3.0,63.2,4.0,2.0,114.3,3.0,2.0,132.8,3.0,2.0,1701.0,3.0,2.0,2311.0
4.0,5.0,54.4,4.0,5.0,73.2,4.0,5.0,174.7,3.0,5.0,212.9,3.0,4.0,1520.0,3.0,4.0,2184.0
4.0,6.0,71.9,4.0,6.0,151.8,4.0,6.0,203.4,3.0,6.0,315.8,3.0,6.0,2184.0,3.0,5.0,3148.0
5.0,2.0,81.9,5.0,1.0,176.3,5.0,1.0,434.5,5.0,1.0,170.7,4.0,1.0,721.7,4.0,1.0,2172.0
5.0,3.0,126.0,5.0,3.0,327.9,5.0,2.0,504.1,5.0,2.0,125.6,4.0,2.0,705.1,4.0,2.0,2161.0
5.0,4.0,135.4,5.0,4.0,201.5,5.0,4.0,496.6,5.0,3.0,307.5,4.0,3.0,1337.0,4.0,3.0,2271.0
5.0,6.0,191.3,5.0,6.0,465.4,5.0,6.0,605.8,5.0,6.0,242.0,4.0,6.0,992.1,4.0,5.0,2530.0
6.0,2.0,167.6,6.0,1.0,367.4,6.0,1.0,585.4,6.0,1.0,383.7,6.0,1.0,1792.0,5.0,1.0,2530.0
6.0,3.0,225.6,6.0,3.0,554.5,6.0,2.0,646.9,6.0,2.0,369.1,6.0,2.0,2258.0,5.0,2.0,3148.0
6.0,4.0,246.9,6.0,4.0,583.6,6.0,4.0,791.7,6.0,3.0,627.6,6.0,3.0,2258.0,5.0,3.0,2719.0
6.0,5.0,315.3,6.0,5.0,796.4,6.0,5.0,1107.0,6.0,5.0,516.5,6.0,4.0,1453.0,5.0,4.0,2514.0
