1,竹間 隆晟,竹間 隆晟.1,2,中村 泰平,中村 泰平.1,3,平山 智加,平山 智加.1,4,下河 雅史,下河 雅史.1,5,安藤 裕貴,安藤 裕貴.1,6,前野 竜一,前野 竜一.1
2.0,3.0,5.5,1.0,3.0,20.6,1.0,2.0,23.6,1.0,2.0,121.1,1.0,2.0,359.6,1.0,2.0,822.7
2.0,4.0,10.2,1.0,4.0,32.1,1.0,4.0,38.3,1.0,3.0,141.2,1.0,3.0,367.8,1.0,3.0,1070.0
2.0,5.0,23.0,1.0,5.0,61.6,1.0,5.0,62.6,1.0,5.0,184.1,1.0,4.0,501.2,1.0,4.0,1752.0
2.0,6.0,31.7,1.0,6.0,78.8,1.0,6.0,74.1,1.0,6.0,205.4,1.0,6.0,718.2,1.0,5.0,2690.0
3.0,2.0,7.2,3.0,1.0,41.0,2.0,1.0,42.3,2.0,1.0,188.1,2.0,1.0,524.5,2.0,1.0,1128.0
3.0,4.0,11.9,3.0,4.0,74.8,2.0,4.0,75.0,2.0,3.0,239.3,2.0,3.0,444.8,2.0,3.0,920.0
3.0,5.0,25.1,3.0,5.0,117.2,2.0,5.0,117.2,2.0,5.0,325.1,2.0,4.0,651.5,2.0,4.0,2579.0
3.0,6.0,36.6,3.0,6.0,126.9,2.0,6.0,115.2,2.0,6.0,356.8,2.0,6.0,1036.0,2.0,5.0,3432.0
4.0,2.0,24.8,4.0,1.0,117.9,4.0,1.0,84.1,3.0,1.0,223.7,3.0,1.0,612.2,3.0,1.0,1398.0
4.0,3.0,27.9,4.0,3.0,143.4,4.0,2.0,107.7,3.0,2.0,267.8,3.0,2.0,558.0,3.0,2.0,856.7
4.0,5.0,61.1,4.0,5.0,247.0,4.0,5.0,142.1,3.0,5.0,367.0,3.0,4.0,774.1,3.0,4.0,2927.0
4.0,6.0,78.9,4.0,6.0,327.9,4.0,6.0,184.0,3.0,6.0,415.1,3.0,6.0,1522.0,3.0,5.0,3480.0
5.0,2.0,71.3,5.0,1.0,294.5,5.0,1.0,226.1,5.0,1.0,274.2,4.0,1.0,716.1,4.0,1.0,2513.0
5.0,3.0,74.1,5.0,3.0,280.4,5.0,2.0,239.7,5.0,2.0,315.8,4.0,2.0,756.4,4.0,2.0,2765.0
5.0,4.0,123.0,5.0,4.0,406.0,5.0,4.0,251.2,5.0,3.0,388.2,4.0,3.0,722.4,4.0,3.0,3318.0
5.0,6.0,173.5,5.0,6.0,598.9,5.0,6.0,413.4,5.0,6.0,328.7,4.0,6.0,953.5,4.0,5.0,2109.0
6.0,2.0,171.5,6.0,1.0,388.2,6.0,1.0,290.9,6.0,1.0,476.3,6.0,1.0,1823.0,5.0,1.0,4254.0
6.0,3.0,182.5,6.0,3.0,399.4,6.0,2.0,290.5,6.0,2.0,561.1,6.0,2.0,2118.0,5.0,2.0,4444.0
6.0,4.0,284.4,6.0,4.0,801.5,6.0,4.0,470.9,6.0,3.0,747.3,6.0,3.0,2056.0,5.0,3.0,4328.0
6.0,5.0,372.0,6.0,5.0,1065.0,6.0,5.0,626.1,6.0,5.0,558.0,6.0,4.0,1508.0,5.0,4.0,2212.0
