1,川原 愛未,川原 愛未.1,2,赤井 睦,赤井 睦.1,3,角 ひとみ,角 ひとみ.1,4,伊藤 玲奈,伊藤 玲奈.1,5,笠野　友紀恵,笠野　友紀恵.1,6,大石 真央,大石 真央.1
2.0,3.0,23.9,1.0,3.0,26.6,1.0,2.0,87.8,1.0,2.0,101.7,1.0,2.0,699.0,1.0,2.0,165.8
2.0,4.0,21.0,1.0,4.0,23.8,1.0,4.0,91.4,1.0,3.0,181.7,1.0,3.0,802.1,1.0,3.0,318.7
2.0,5.0,88.7,1.0,5.0,93.4,1.0,5.0,224.7,1.0,5.0,302.9,1.0,4.0,773.6,1.0,4.0,280.0
2.0,6.0,46.7,1.0,6.0,43.2,1.0,6.0,160.0,1.0,6.0,176.1,1.0,6.0,973.7,1.0,5.0,585.9
3.0,2.0,37.2,3.0,1.0,30.8,2.0,1.0,63.0,2.0,1.0,83.3,2.0,1.0,650.2,2.0,1.0,143.2
3.0,4.0,35.9,3.0,4.0,11.2,2.0,4.0,23.8,2.0,3.0,63.9,2.0,3.0,363.1,2.0,3.0,127.8
3.0,5.0,135.2,3.0,5.0,37.1,2.0,5.0,63.8,2.0,5.0,163.6,2.0,4.0,438.8,2.0,4.0,119.0
3.0,6.0,87.7,3.0,6.0,21.0,2.0,6.0,41.1,2.0,6.0,67.9,2.0,6.0,711.7,2.0,5.0,336.8
4.0,2.0,41.9,4.0,1.0,29.9,4.0,1.0,112.8,3.0,1.0,215.0,3.0,1.0,815.5,3.0,1.0,348.2
4.0,3.0,60.3,4.0,3.0,16.4,4.0,2.0,39.4,3.0,2.0,85.2,3.0,2.0,426.4,3.0,2.0,163.5
4.0,5.0,141.0,4.0,5.0,51.1,4.0,5.0,103.2,3.0,5.0,266.2,3.0,4.0,744.1,3.0,4.0,238.3
4.0,6.0,78.3,4.0,6.0,20.1,4.0,6.0,59.3,3.0,6.0,148.0,3.0,6.0,910.3,3.0,5.0,516.4
5.0,2.0,297.0,5.0,1.0,222.9,5.0,1.0,388.3,5.0,1.0,390.6,4.0,1.0,792.4,4.0,1.0,311.1
5.0,3.0,339.7,5.0,3.0,114.9,5.0,2.0,177.1,5.0,2.0,280.8,4.0,2.0,629.3,4.0,2.0,163.3
5.0,4.0,304.8,5.0,4.0,129.2,5.0,4.0,232.1,5.0,3.0,335.1,4.0,3.0,773.6,4.0,3.0,275.2
5.0,6.0,427.3,5.0,6.0,134.6,5.0,6.0,248.6,5.0,6.0,280.0,4.0,6.0,722.2,4.0,5.0,483.2
6.0,2.0,125.3,6.0,1.0,73.4,6.0,1.0,221.4,6.0,1.0,190.3,6.0,1.0,1063.0,5.0,1.0,932.0
6.0,3.0,182.0,6.0,3.0,48.7,6.0,2.0,98.8,6.0,2.0,107.5,6.0,2.0,1035.0,5.0,2.0,988.5
6.0,4.0,139.9,6.0,4.0,43.3,6.0,4.0,114.0,6.0,3.0,169.1,6.0,3.0,1030.0,5.0,3.0,1041.0
6.0,5.0,392.2,6.0,5.0,111.9,6.0,5.0,229.1,6.0,5.0,254.1,6.0,4.0,914.5,5.0,4.0,832.8
