1,白水 勝也,白水 勝也.1,2,間嶋 仁志,間嶋 仁志.1,3,大場 広孝,大場 広孝.1,4,濱本 優一,濱本 優一.1,5,雑賀 勇貴,雑賀 勇貴.1,6,伊倉 光,伊倉 光.1
2.0,3.0,10.4,1.0,3.0,48.2,1.0,2.0,119.9,1.0,2.0,64.5,1.0,2.0,50.4,1.0,2.0,786.9
2.0,4.0,6.8,1.0,4.0,35.1,1.0,4.0,82.7,1.0,3.0,96.7,1.0,3.0,88.0,1.0,3.0,950.8
2.0,5.0,10.9,1.0,5.0,46.0,1.0,5.0,111.1,1.0,5.0,77.1,1.0,4.0,63.4,1.0,4.0,1771.0
2.0,6.0,72.3,1.0,6.0,194.8,1.0,6.0,322.3,1.0,6.0,225.1,1.0,6.0,131.4,1.0,5.0,1302.0
3.0,2.0,16.5,3.0,1.0,178.2,2.0,1.0,249.2,2.0,1.0,100.4,2.0,1.0,82.1,2.0,1.0,979.5
3.0,4.0,14.1,3.0,4.0,341.6,2.0,4.0,373.9,2.0,3.0,355.1,2.0,3.0,231.1,2.0,3.0,2679.0
3.0,5.0,21.0,3.0,5.0,382.8,2.0,5.0,372.2,2.0,5.0,160.7,2.0,4.0,126.5,2.0,4.0,1907.0
3.0,6.0,83.1,3.0,6.0,873.9,2.0,6.0,825.0,2.0,6.0,431.1,2.0,6.0,252.9,2.0,5.0,2013.0
4.0,2.0,12.1,4.0,1.0,86.5,4.0,1.0,208.6,3.0,1.0,242.5,3.0,1.0,213.3,3.0,1.0,2747.0
4.0,3.0,18.5,4.0,3.0,270.6,4.0,2.0,377.0,3.0,2.0,497.2,3.0,2.0,378.7,3.0,2.0,3486.0
4.0,5.0,18.0,4.0,5.0,140.3,4.0,5.0,332.8,3.0,5.0,478.9,3.0,4.0,394.9,3.0,4.0,3275.0
4.0,6.0,87.8,4.0,6.0,490.5,4.0,6.0,771.9,3.0,6.0,842.1,3.0,6.0,558.0,3.0,5.0,2349.0
5.0,2.0,21.0,5.0,1.0,109.9,5.0,1.0,190.7,5.0,1.0,110.2,4.0,1.0,106.2,4.0,1.0,2657.0
5.0,3.0,32.8,5.0,3.0,315.4,5.0,2.0,351.6,5.0,2.0,136.0,4.0,2.0,136.4,4.0,2.0,2366.0
5.0,4.0,28.4,5.0,4.0,162.9,5.0,4.0,362.6,5.0,3.0,338.0,4.0,3.0,324.5,4.0,3.0,3147.0
5.0,6.0,79.0,5.0,6.0,426.6,5.0,6.0,596.0,5.0,6.0,284.9,4.0,6.0,289.4,4.0,5.0,2039.0
6.0,2.0,245.0,6.0,1.0,816.7,6.0,1.0,1035.0,6.0,1.0,812.6,6.0,1.0,275.9,5.0,1.0,1362.0
6.0,3.0,221.6,6.0,3.0,1286.0,6.0,2.0,1581.0,6.0,2.0,873.9,6.0,2.0,384.1,5.0,2.0,1801.0
6.0,4.0,251.1,6.0,4.0,1091.0,6.0,4.0,1589.0,6.0,3.0,1276.0,6.0,3.0,538.5,5.0,3.0,1801.0
6.0,5.0,213.0,6.0,5.0,1049.0,6.0,5.0,1296.0,6.0,5.0,790.8,6.0,4.0,490.5,5.0,4.0,1929.0
