1,烏野 賢太,烏野 賢太.1,2,林 祐介,林 祐介.1,3,鈴木 智啓,鈴木 智啓.1,4,坪口 竜也,坪口 竜也.1,5,山田 真聖,山田 真聖.1,6,吉田 翔悟,吉田 翔悟.1
2.0,3.0,10.0,1.0,3.0,41.2,1.0,2.0,65.8,1.0,2.0,31.8,1.0,2.0,372.4,1.0,2.0,1133.0
2.0,4.0,7.1,1.0,4.0,32.8,1.0,4.0,37.1,1.0,3.0,44.1,1.0,3.0,460.6,1.0,3.0,1417.0
2.0,5.0,42.0,1.0,5.0,121.5,1.0,5.0,125.8,1.0,5.0,47.6,1.0,4.0,279.1,1.0,4.0,600.5
2.0,6.0,52.3,1.0,6.0,190.1,1.0,6.0,173.2,1.0,6.0,60.5,1.0,6.0,425.4,1.0,5.0,2288.0
3.0,2.0,13.8,3.0,1.0,126.3,2.0,1.0,121.3,2.0,1.0,68.5,2.0,1.0,759.4,2.0,1.0,2059.0
3.0,4.0,10.7,3.0,4.0,111.8,2.0,4.0,96.3,2.0,3.0,108.4,2.0,3.0,1237.0,2.0,3.0,3212.0
3.0,5.0,35.4,3.0,5.0,325.0,2.0,5.0,316.8,2.0,5.0,152.8,2.0,4.0,792.1,2.0,4.0,2035.0
3.0,6.0,56.3,3.0,6.0,550.4,2.0,6.0,443.7,2.0,6.0,189.7,2.0,6.0,1296.0,2.0,5.0,3647.0
4.0,2.0,9.3,4.0,1.0,79.1,4.0,1.0,64.2,3.0,1.0,93.1,3.0,1.0,729.4,3.0,1.0,2084.0
4.0,3.0,12.2,4.0,3.0,106.7,4.0,2.0,83.7,3.0,2.0,123.4,3.0,2.0,1458.0,3.0,2.0,3501.0
4.0,5.0,25.6,4.0,5.0,260.8,4.0,5.0,147.7,3.0,5.0,193.5,3.0,4.0,818.0,3.0,4.0,2084.0
4.0,6.0,28.6,4.0,6.0,342.2,4.0,6.0,189.6,3.0,6.0,234.0,3.0,6.0,1215.0,3.0,5.0,4731.0
5.0,2.0,95.2,5.0,1.0,502.3,5.0,1.0,344.5,5.0,1.0,73.5,4.0,1.0,303.9,4.0,1.0,907.0
5.0,3.0,102.9,5.0,3.0,851.8,5.0,2.0,563.7,5.0,2.0,115.4,4.0,2.0,430.6,4.0,2.0,1628.0
5.0,4.0,85.5,5.0,4.0,645.9,5.0,4.0,349.4,5.0,3.0,174.3,4.0,3.0,598.4,4.0,3.0,1852.0
5.0,6.0,179.9,5.0,6.0,1254.0,5.0,6.0,670.7,5.0,6.0,97.9,4.0,6.0,368.9,4.0,5.0,1542.0
6.0,2.0,167.6,6.0,1.0,916.5,6.0,1.0,573.9,6.0,1.0,167.8,6.0,1.0,946.2,5.0,1.0,3241.0
6.0,3.0,181.6,6.0,3.0,1636.0,6.0,2.0,1159.0,6.0,2.0,264.0,6.0,2.0,1675.0,5.0,2.0,3466.0
6.0,4.0,94.7,6.0,4.0,936.1,6.0,4.0,638.8,6.0,3.0,313.7,6.0,3.0,1733.0,5.0,3.0,3978.0
6.0,5.0,314.2,6.0,5.0,1882.0,6.0,5.0,1301.0,6.0,5.0,186.9,6.0,4.0,729.4,5.0,4.0,1842.0
