1,西丸　侑太朗,西丸　侑太朗.1,2,山本 修一,山本 修一.1,3,鈴木 賢一,鈴木 賢一.1,4,伊藤 玲奈,伊藤 玲奈.1,5,白井 友晴,白井 友晴.1,6,野相 弘司,野相 弘司.1
2.0,3.0,8.0,1.0,3.0,9.2,1.0,2.0,39.0,1.0,2.0,222.2,1.0,2.0,123.4,1.0,2.0,573.1
2.0,4.0,20.7,1.0,4.0,25.5,1.0,4.0,145.7,1.0,3.0,347.9,1.0,3.0,224.9,1.0,3.0,1046.0
2.0,5.0,11.7,1.0,5.0,12.4,1.0,5.0,85.2,1.0,5.0,433.7,1.0,4.0,578.3,1.0,4.0,1759.0
2.0,6.0,33.7,1.0,6.0,31.8,1.0,6.0,131.5,1.0,6.0,525.5,1.0,6.0,311.9,1.0,5.0,924.5
3.0,2.0,15.9,3.0,1.0,25.2,2.0,1.0,35.7,2.0,1.0,263.3,2.0,1.0,123.2,2.0,1.0,536.7
3.0,4.0,65.4,3.0,4.0,47.6,2.0,4.0,84.3,2.0,3.0,253.8,2.0,3.0,152.9,2.0,3.0,642.9
3.0,5.0,39.3,3.0,5.0,23.5,2.0,5.0,42.9,2.0,5.0,268.3,2.0,4.0,344.2,2.0,4.0,1279.0
3.0,6.0,93.2,3.0,6.0,52.2,2.0,6.0,104.3,2.0,6.0,416.6,2.0,6.0,238.5,2.0,5.0,699.8
4.0,2.0,64.2,4.0,1.0,74.9,4.0,1.0,271.2,3.0,1.0,525.5,3.0,1.0,331.5,3.0,1.0,1455.0
4.0,3.0,105.6,4.0,3.0,87.1,4.0,2.0,194.2,3.0,2.0,412.6,3.0,2.0,237.2,3.0,2.0,850.1
4.0,5.0,163.6,4.0,5.0,85.5,4.0,5.0,240.8,3.0,5.0,692.1,3.0,4.0,861.6,3.0,4.0,1948.0
4.0,6.0,244.0,4.0,6.0,155.8,4.0,6.0,395.8,3.0,6.0,753.9,3.0,6.0,591.9,3.0,5.0,1583.0
5.0,2.0,39.4,5.0,1.0,34.2,5.0,1.0,165.1,5.0,1.0,504.6,4.0,1.0,938.2,4.0,1.0,2585.0
5.0,3.0,74.2,5.0,3.0,34.7,5.0,2.0,110.8,5.0,2.0,367.1,4.0,2.0,525.5,4.0,2.0,1711.0
5.0,4.0,191.9,5.0,4.0,88.2,5.0,4.0,267.7,5.0,3.0,541.3,4.0,3.0,1055.0,4.0,3.0,2345.0
5.0,6.0,145.5,5.0,6.0,70.8,5.0,6.0,240.3,5.0,6.0,600.3,4.0,6.0,1038.0,4.0,5.0,2695.0
6.0,2.0,160.5,6.0,1.0,128.3,6.0,1.0,449.1,6.0,1.0,911.2,6.0,1.0,465.6,5.0,1.0,1005.0
6.0,3.0,272.9,6.0,3.0,150.4,6.0,2.0,240.3,6.0,2.0,663.1,6.0,2.0,366.0,5.0,2.0,861.6
6.0,4.0,429.3,6.0,4.0,271.2,6.0,4.0,649.5,6.0,3.0,827.9,6.0,3.0,627.0,5.0,3.0,1266.0
6.0,5.0,277.1,6.0,5.0,162.6,6.0,5.0,436.7,6.0,5.0,981.9,6.0,4.0,1029.0,5.0,4.0,2146.0
