1,森安 弘雅,森安 弘雅.1,2,藤山 雅弘,藤山 雅弘.1,3,坂口 周,坂口 周.1,4,伊藤 誠二,伊藤 誠二.1,5,佐藤 旭,佐藤 旭.1,6,榎 幸司,榎 幸司.1
2.0,3.0,13.5,1.0,3.0,45.1,1.0,2.0,43.7,1.0,2.0,94.4,1.0,2.0,339.3,1.0,2.0,997.7
2.0,4.0,19.1,1.0,4.0,72.5,1.0,4.0,25.6,1.0,3.0,55.5,1.0,3.0,228.0,1.0,3.0,630.5
2.0,5.0,38.1,1.0,5.0,121.6,1.0,5.0,44.4,1.0,5.0,74.1,1.0,4.0,265.8,1.0,4.0,745.1
2.0,6.0,59.9,1.0,6.0,152.9,1.0,6.0,69.2,1.0,6.0,88.8,1.0,6.0,337.8,1.0,5.0,1080.0
3.0,2.0,11.2,3.0,1.0,71.6,2.0,1.0,79.7,2.0,1.0,135.5,2.0,1.0,539.7,2.0,1.0,1366.0
3.0,4.0,7.8,3.0,4.0,117.6,2.0,4.0,108.0,2.0,3.0,225.3,2.0,3.0,840.3,2.0,3.0,1479.0
3.0,5.0,15.0,3.0,5.0,187.6,2.0,5.0,172.7,2.0,5.0,258.2,2.0,4.0,757.8,2.0,4.0,1325.0
3.0,6.0,29.8,3.0,6.0,231.0,2.0,6.0,196.4,2.0,6.0,291.7,2.0,6.0,958.2,2.0,5.0,2002.0
4.0,2.0,20.0,4.0,1.0,145.2,4.0,1.0,45.6,3.0,1.0,77.1,3.0,1.0,303.2,3.0,1.0,827.2
4.0,3.0,13.2,4.0,3.0,156.4,4.0,2.0,107.8,3.0,2.0,176.3,3.0,2.0,668.4,3.0,2.0,1338.0
4.0,5.0,24.7,4.0,5.0,296.1,4.0,5.0,76.1,3.0,5.0,121.4,3.0,4.0,372.0,3.0,4.0,610.2
4.0,6.0,43.5,4.0,6.0,307.6,4.0,6.0,93.0,3.0,6.0,140.6,3.0,6.0,525.9,3.0,5.0,1302.0
5.0,2.0,68.2,5.0,1.0,375.1,5.0,1.0,119.4,5.0,1.0,86.7,4.0,1.0,272.9,4.0,1.0,796.3
5.0,3.0,46.5,5.0,3.0,426.9,5.0,2.0,245.7,5.0,2.0,168.3,4.0,2.0,464.9,4.0,2.0,1155.0
5.0,4.0,59.4,5.0,4.0,512.7,5.0,4.0,128.2,5.0,3.0,130.3,4.0,3.0,373.0,4.0,3.0,618.0
5.0,6.0,107.4,5.0,6.0,716.1,5.0,6.0,192.1,5.0,6.0,91.7,4.0,6.0,295.4,4.0,5.0,856.5
6.0,2.0,166.5,6.0,1.0,729.8,6.0,1.0,255.2,6.0,1.0,185.8,6.0,1.0,635.7,5.0,1.0,1250.0
6.0,3.0,121.3,6.0,3.0,720.9,6.0,2.0,374.4,6.0,2.0,294.6,6.0,2.0,1178.0,5.0,2.0,2183.0
6.0,4.0,144.6,6.0,4.0,734.8,6.0,4.0,223.2,6.0,3.0,214.4,6.0,3.0,836.3,5.0,3.0,1488.0
6.0,5.0,178.0,6.0,5.0,856.5,6.0,5.0,342.4,6.0,5.0,172.1,6.0,4.0,574.7,5.0,4.0,929.8
