1,齋藤 真之,齋藤 真之.1,2,平池 仁志,平池 仁志.1,3,谷 勝幸,谷 勝幸.1,4,山口 隆史,山口 隆史.1,5,岡部 浩,岡部 浩.1,6,西丸　侑太朗,西丸　侑太朗.1
2.0,3.0,12.8,1.0,3.0,42.6,1.0,2.0,48.2,1.0,2.0,58.8,1.0,2.0,198.5,1.0,2.0,161.4
2.0,4.0,16.0,1.0,4.0,50.0,1.0,4.0,40.2,1.0,3.0,51.4,1.0,3.0,218.6,1.0,3.0,183.0
2.0,5.0,32.2,1.0,5.0,75.6,1.0,5.0,72.6,1.0,5.0,74.2,1.0,4.0,268.8,1.0,4.0,211.0
2.0,6.0,32.5,1.0,6.0,98.8,1.0,6.0,73.2,1.0,6.0,95.4,1.0,6.0,253.4,1.0,5.0,285.5
3.0,2.0,14.6,3.0,1.0,76.8,2.0,1.0,81.0,2.0,1.0,81.9,2.0,1.0,294.3,2.0,1.0,219.9
3.0,4.0,13.3,3.0,4.0,89.1,2.0,4.0,92.3,2.0,3.0,109.8,2.0,3.0,268.2,2.0,3.0,275.9
3.0,5.0,24.3,3.0,5.0,115.0,2.0,5.0,125.0,2.0,5.0,138.8,2.0,4.0,293.5,2.0,4.0,308.5
3.0,6.0,25.8,3.0,6.0,158.5,2.0,6.0,148.8,2.0,6.0,192.6,2.0,6.0,330.8,2.0,5.0,390.4
4.0,2.0,27.5,4.0,1.0,117.2,4.0,1.0,71.6,3.0,1.0,77.3,3.0,1.0,292.0,3.0,1.0,286.2
4.0,3.0,21.1,4.0,3.0,91.1,4.0,2.0,94.8,3.0,2.0,114.3,3.0,2.0,322.4,3.0,2.0,351.0
4.0,5.0,59.0,4.0,5.0,131.6,4.0,5.0,134.4,3.0,5.0,132.7,3.0,4.0,284.8,3.0,4.0,317.1
4.0,6.0,53.3,4.0,6.0,210.6,4.0,6.0,136.4,3.0,6.0,154.2,3.0,6.0,385.2,3.0,5.0,431.5
5.0,2.0,63.6,5.0,1.0,151.2,5.0,1.0,145.8,5.0,1.0,119.0,4.0,1.0,293.5,4.0,1.0,265.7
5.0,3.0,63.2,5.0,3.0,175.5,5.0,2.0,158.7,5.0,2.0,141.1,4.0,2.0,268.2,4.0,2.0,300.4
5.0,4.0,85.2,5.0,4.0,243.2,5.0,4.0,159.8,5.0,3.0,157.8,4.0,3.0,348.9,4.0,3.0,287.6
5.0,6.0,108.6,5.0,6.0,272.0,5.0,6.0,213.7,5.0,6.0,129.4,4.0,6.0,277.2,4.0,5.0,318.8
6.0,2.0,70.4,6.0,1.0,247.9,6.0,1.0,157.6,6.0,1.0,161.2,6.0,1.0,351.0,5.0,1.0,366.7
6.0,3.0,65.1,6.0,3.0,287.6,6.0,2.0,198.9,6.0,2.0,201.0,6.0,2.0,342.6,5.0,2.0,382.6
6.0,4.0,77.5,6.0,4.0,370.2,6.0,4.0,177.6,6.0,3.0,173.6,6.0,3.0,414.4,5.0,3.0,415.9
6.0,5.0,120.0,6.0,5.0,394.4,6.0,5.0,246.8,6.0,5.0,171.5,6.0,4.0,353.2,5.0,4.0,351.0
