1,守屋 大地,守屋 大地.1,2,出畑 孝典,出畑 孝典.1,3,澤 大介,澤 大介.1,4,阿波 勝哉,阿波 勝哉.1,5,岡瀬 正人,岡瀬 正人.1,6,板倉 敦史,板倉 敦史.1
2.0,3.0,11.8,1.0,3.0,13.0,1.0,2.0,34.8,1.0,2.0,264.5,1.0,2.0,128.3,1.0,2.0,732.2
2.0,4.0,30.3,1.0,4.0,29.8,1.0,4.0,43.8,1.0,3.0,450.2,1.0,3.0,150.4,1.0,3.0,963.4
2.0,5.0,18.6,1.0,5.0,19.8,1.0,5.0,37.3,1.0,5.0,538.0,1.0,4.0,197.7,1.0,4.0,761.3
2.0,6.0,56.1,1.0,6.0,53.8,1.0,6.0,83.2,1.0,6.0,771.6,1.0,6.0,230.0,1.0,5.0,780.3
3.0,2.0,16.1,3.0,1.0,20.0,2.0,1.0,33.1,2.0,1.0,277.0,2.0,1.0,142.5,2.0,1.0,825.1
3.0,4.0,34.8,3.0,4.0,30.7,2.0,4.0,40.5,2.0,3.0,249.9,2.0,3.0,103.8,2.0,3.0,789.2
3.0,5.0,23.5,3.0,5.0,23.0,2.0,5.0,35.6,2.0,5.0,336.8,2.0,4.0,167.7,2.0,4.0,684.3
3.0,6.0,71.3,3.0,6.0,67.3,2.0,6.0,85.5,2.0,6.0,605.1,2.0,6.0,208.1,2.0,5.0,624.8
4.0,2.0,115.0,4.0,1.0,130.4,4.0,1.0,164.5,3.0,1.0,502.0,3.0,1.0,157.7,3.0,1.0,1177.0
4.0,3.0,137.1,4.0,3.0,114.3,4.0,2.0,130.8,3.0,2.0,302.0,3.0,2.0,103.7,3.0,2.0,803.9
4.0,5.0,182.5,4.0,5.0,125.0,4.0,5.0,158.1,3.0,5.0,475.0,3.0,4.0,197.8,3.0,4.0,764.7
4.0,6.0,265.5,4.0,6.0,214.6,4.0,6.0,257.0,3.0,6.0,720.0,3.0,6.0,223.5,3.0,5.0,800.2
5.0,2.0,45.0,5.0,1.0,51.5,5.0,1.0,67.2,5.0,1.0,761.3,4.0,1.0,426.3,4.0,1.0,1214.0
5.0,3.0,47.6,5.0,3.0,43.7,5.0,2.0,53.2,5.0,2.0,496.9,4.0,2.0,307.1,4.0,2.0,1123.0
5.0,4.0,82.6,5.0,4.0,69.0,5.0,4.0,65.7,5.0,3.0,622.5,4.0,3.0,401.0,4.0,3.0,1105.0
5.0,6.0,111.5,5.0,6.0,103.1,5.0,6.0,103.1,5.0,6.0,738.5,4.0,6.0,349.8,4.0,5.0,882.1
6.0,2.0,170.4,6.0,1.0,209.7,6.0,1.0,231.0,6.0,1.0,1357.0,6.0,1.0,360.7,5.0,1.0,860.1
6.0,3.0,224.4,6.0,3.0,210.1,6.0,2.0,217.3,6.0,2.0,1197.0,6.0,2.0,277.2,5.0,2.0,628.2
6.0,4.0,209.6,6.0,4.0,160.5,6.0,4.0,163.6,6.0,3.0,1153.0,6.0,3.0,340.8,5.0,3.0,811.5
6.0,5.0,222.0,6.0,5.0,198.9,6.0,5.0,213.5,6.0,5.0,893.5,6.0,4.0,257.7,5.0,4.0,613.7
