1,佐藤　隆太郎,佐藤　隆太郎.1,2,山口 剛,山口 剛.1,3,古賀 繁輝,古賀 繁輝.1,4,竹井 貴史,竹井 貴史.1,5,原田 幸哉,原田 幸哉.1,6,篠崎 元志,篠崎 元志.1
2.0,3.0,11.3,1.0,3.0,31.1,1.0,2.0,101.1,1.0,2.0,103.6,1.0,2.0,630.5,1.0,2.0,62.1
2.0,4.0,9.9,1.0,4.0,23.9,1.0,4.0,113.0,1.0,3.0,184.1,1.0,3.0,806.2,1.0,3.0,139.0
2.0,5.0,31.8,1.0,5.0,62.5,1.0,5.0,173.8,1.0,5.0,200.6,1.0,4.0,1056.0,1.0,4.0,123.6
2.0,6.0,7.2,1.0,6.0,18.3,1.0,6.0,153.9,1.0,6.0,139.4,1.0,6.0,928.2,1.0,5.0,242.2
3.0,2.0,23.6,3.0,1.0,88.9,2.0,1.0,133.1,2.0,1.0,133.3,2.0,1.0,785.0,2.0,1.0,83.8
3.0,4.0,42.8,3.0,4.0,133.5,2.0,4.0,142.3,2.0,3.0,223.4,2.0,3.0,978.6,2.0,3.0,186.2
3.0,5.0,78.3,3.0,5.0,245.5,2.0,5.0,232.8,2.0,5.0,264.2,2.0,4.0,923.3,2.0,4.0,155.1
3.0,6.0,37.2,3.0,6.0,110.1,2.0,6.0,177.5,2.0,6.0,164.4,2.0,6.0,779.4,2.0,5.0,319.5
4.0,2.0,25.0,4.0,1.0,81.7,4.0,1.0,106.3,3.0,1.0,178.9,3.0,1.0,912.6,3.0,1.0,306.7
4.0,3.0,57.9,4.0,3.0,163.3,4.0,2.0,110.8,3.0,2.0,191.6,3.0,2.0,1198.0,3.0,2.0,280.4
4.0,5.0,91.3,4.0,5.0,219.1,4.0,5.0,130.8,3.0,5.0,228.7,3.0,4.0,1170.0,3.0,4.0,381.2
4.0,6.0,35.7,4.0,6.0,91.8,4.0,6.0,172.2,3.0,6.0,271.5,3.0,6.0,1507.0,3.0,5.0,664.4
5.0,2.0,93.4,5.0,1.0,261.2,5.0,1.0,272.4,5.0,1.0,289.4,4.0,1.0,824.7,4.0,1.0,292.8
5.0,3.0,184.3,5.0,3.0,499.8,5.0,2.0,319.8,5.0,2.0,319.1,4.0,2.0,849.0,4.0,2.0,246.6
5.0,4.0,189.1,5.0,4.0,453.9,5.0,4.0,281.1,5.0,3.0,439.1,4.0,3.0,1066.0,4.0,3.0,456.3
5.0,6.0,136.8,5.0,6.0,288.3,5.0,6.0,457.2,5.0,6.0,436.9,4.0,6.0,1112.0,4.0,5.0,682.8
6.0,2.0,13.1,6.0,1.0,43.3,6.0,1.0,296.3,6.0,1.0,252.0,6.0,1.0,1150.0,5.0,1.0,902.1
6.0,3.0,30.0,6.0,3.0,101.3,6.0,2.0,266.2,6.0,2.0,220.4,6.0,2.0,906.8,5.0,2.0,739.4
6.0,4.0,27.7,6.0,4.0,74.1,6.0,4.0,321.2,6.0,3.0,445.7,6.0,3.0,1456.0,5.0,3.0,1147.0
6.0,5.0,69.9,6.0,5.0,162.7,6.0,5.0,563.9,6.0,5.0,540.0,6.0,4.0,1353.0,5.0,4.0,1136.0
