1,田添 康介,田添 康介.1,2,森林 太,森林 太.1,3,川上 剛,川上 剛.1,4,上田 洋平,上田 洋平.1,5,大橋　純一郎,大橋　純一郎.1,6,益田 啓司,益田 啓司.1
2.0,3.0,38.2,1.0,3.0,122.1,1.0,2.0,64.8,1.0,2.0,670.7,1.0,2.0,170.9,1.0,2.0,325.1
2.0,4.0,85.8,1.0,4.0,252.4,1.0,4.0,47.0,1.0,3.0,351.3,1.0,3.0,70.6,1.0,3.0,129.9
2.0,5.0,64.5,1.0,5.0,186.9,1.0,5.0,21.6,1.0,5.0,311.4,1.0,4.0,185.8,1.0,4.0,325.1
2.0,6.0,54.1,1.0,6.0,208.5,1.0,6.0,24.0,1.0,6.0,316.5,1.0,6.0,69.9,1.0,5.0,151.0
3.0,2.0,26.9,3.0,1.0,200.6,2.0,1.0,143.5,2.0,1.0,826.9,2.0,1.0,304.5,2.0,1.0,535.8
3.0,4.0,25.1,3.0,4.0,255.7,2.0,4.0,154.4,2.0,3.0,743.5,2.0,3.0,295.1,2.0,3.0,367.5
3.0,5.0,13.0,3.0,5.0,129.7,2.0,5.0,85.2,2.0,5.0,680.2,2.0,4.0,518.4,2.0,4.0,812.8
3.0,6.0,15.3,3.0,6.0,163.9,2.0,6.0,82.4,2.0,6.0,518.4,2.0,6.0,244.6,2.0,5.0,432.0
4.0,2.0,117.4,4.0,1.0,614.8,4.0,1.0,76.0,3.0,1.0,373.2,3.0,1.0,68.1,3.0,1.0,148.7
4.0,3.0,55.7,4.0,3.0,403.0,4.0,2.0,185.1,3.0,2.0,626.9,3.0,2.0,193.0,3.0,2.0,242.8
4.0,5.0,72.3,4.0,5.0,535.8,4.0,5.0,62.6,3.0,5.0,234.5,3.0,4.0,131.0,3.0,4.0,259.2
4.0,6.0,69.1,4.0,6.0,524.1,4.0,6.0,60.9,3.0,6.0,238.6,3.0,6.0,41.3,3.0,5.0,72.8
5.0,2.0,63.4,5.0,1.0,393.1,5.0,1.0,28.0,5.0,1.0,374.6,4.0,1.0,456.7,4.0,1.0,690.0
5.0,3.0,24.4,5.0,3.0,235.1,5.0,2.0,76.6,5.0,2.0,705.3,4.0,2.0,695.0,4.0,2.0,1077.0
5.0,4.0,69.9,5.0,4.0,588.4,5.0,4.0,44.8,5.0,3.0,336.5,4.0,3.0,336.5,4.0,3.0,529.9
5.0,6.0,30.1,5.0,6.0,284.6,5.0,6.0,15.8,5.0,6.0,238.0,4.0,6.0,249.7,4.0,5.0,521.3
6.0,2.0,114.1,6.0,1.0,564.2,6.0,1.0,45.1,6.0,1.0,450.3,6.0,1.0,61.3,5.0,1.0,139.8
6.0,3.0,38.0,6.0,3.0,259.2,6.0,2.0,102.3,6.0,2.0,648.1,6.0,2.0,166.2,5.0,2.0,299.7
6.0,4.0,94.4,6.0,4.0,648.1,6.0,4.0,78.1,6.0,3.0,376.1,6.0,3.0,45.4,5.0,3.0,72.5
6.0,5.0,47.7,6.0,5.0,297.8,6.0,5.0,23.7,6.0,5.0,306.4,6.0,4.0,125.0,5.0,4.0,253.0
