1,前田 将太,前田 将太.1,2,水摩 敦,水摩 敦.1,3,谷村 啓司,谷村 啓司.1,4,原田　才一郎,原田　才一郎.1,5,古賀 智之,古賀 智之.1,6,冨名腰　桃奈,冨名腰　桃奈.1
2.0,3.0,10.9,1.0,3.0,141.3,1.0,2.0,480.7,1.0,2.0,32.9,1.0,2.0,179.5,1.0,2.0,816.9
2.0,4.0,3.8,1.0,4.0,45.6,1.0,4.0,419.0,1.0,3.0,128.0,1.0,3.0,551.2,1.0,3.0,2213.0
2.0,5.0,11.8,1.0,5.0,133.1,1.0,5.0,702.0,1.0,5.0,45.5,1.0,4.0,162.7,1.0,4.0,641.3
2.0,6.0,33.8,1.0,6.0,244.4,1.0,6.0,1236.0,1.0,6.0,75.3,1.0,6.0,300.0,1.0,5.0,1047.0
3.0,2.0,22.5,3.0,1.0,483.2,2.0,1.0,800.3,2.0,1.0,79.7,2.0,1.0,383.9,2.0,1.0,1407.0
3.0,4.0,24.0,3.0,4.0,601.9,2.0,4.0,733.9,2.0,3.0,401.3,2.0,3.0,1577.0,2.0,3.0,3565.0
3.0,5.0,42.4,3.0,5.0,1111.0,2.0,5.0,1276.0,2.0,5.0,166.2,2.0,4.0,442.7,2.0,4.0,2003.0
3.0,6.0,118.0,3.0,6.0,1173.0,2.0,6.0,1294.0,2.0,6.0,276.4,2.0,6.0,766.7,2.0,5.0,2589.0
4.0,2.0,5.6,4.0,1.0,113.6,4.0,1.0,711.1,3.0,1.0,466.0,3.0,1.0,1705.0,3.0,1.0,3347.0
4.0,3.0,17.2,4.0,3.0,487.5,4.0,2.0,1098.0,3.0,2.0,750.0,3.0,2.0,2801.0,3.0,2.0,4815.0
4.0,5.0,11.4,4.0,5.0,407.2,4.0,5.0,1624.0,3.0,5.0,905.9,3.0,4.0,2889.0,3.0,4.0,2801.0
4.0,6.0,24.8,4.0,6.0,573.0,4.0,6.0,2003.0,3.0,6.0,1085.0,3.0,6.0,3347.0,3.0,5.0,4732.0
5.0,2.0,30.5,5.0,1.0,552.3,5.0,1.0,1605.0,5.0,1.0,90.8,4.0,1.0,225.9,4.0,1.0,863.2
5.0,3.0,66.6,5.0,3.0,1595.0,5.0,2.0,2407.0,5.0,2.0,143.4,4.0,2.0,358.8,4.0,2.0,1794.0
5.0,4.0,31.8,5.0,4.0,730.0,5.0,4.0,2346.0,5.0,3.0,468.4,4.0,3.0,1163.0,4.0,3.0,3611.0
5.0,6.0,97.7,5.0,6.0,1460.0,5.0,6.0,3760.0,5.0,6.0,175.1,4.0,6.0,517.9,4.0,5.0,2268.0
6.0,2.0,133.7,6.0,1.0,918.0,6.0,1.0,2829.0,6.0,1.0,247.0,6.0,1.0,788.8,5.0,1.0,1842.0
6.0,3.0,263.6,6.0,3.0,2048.0,6.0,2.0,2889.0,6.0,2.0,426.9,6.0,2.0,1072.0,5.0,2.0,3709.0
6.0,4.0,122.0,6.0,4.0,1332.0,6.0,4.0,3229.0,6.0,3.0,943.3,6.0,3.0,2745.0,5.0,3.0,4991.0
6.0,5.0,188.4,6.0,5.0,1805.0,6.0,5.0,3565.0,6.0,5.0,408.4,6.0,4.0,1276.0,5.0,4.0,2541.0
