1,上之 晃弘,上之 晃弘.1,2,福嶋 智之,福嶋 智之.1,3,吉永 浩則,吉永 浩則.1,4,安井 瑞紀,安井 瑞紀.1,5,林 恵祐,林 恵祐.1,6,増本 杏珠,増本 杏珠.1
2.0,3.0,7.3,1.0,3.0,22.6,1.0,2.0,60.2,1.0,2.0,51.0,1.0,2.0,107.4,1.0,2.0,2371.0
2.0,4.0,9.6,1.0,4.0,26.3,1.0,4.0,62.0,1.0,3.0,78.2,1.0,3.0,129.1,1.0,3.0,2371.0
2.0,5.0,14.5,1.0,5.0,34.9,1.0,5.0,59.9,1.0,5.0,52.5,1.0,4.0,124.9,1.0,4.0,4031.0
2.0,6.0,215.3,1.0,6.0,413.8,1.0,6.0,507.7,1.0,6.0,496.4,1.0,6.0,654.4,1.0,5.0,2921.0
3.0,2.0,10.6,3.0,1.0,72.6,2.0,1.0,93.3,2.0,1.0,82.3,2.0,1.0,177.2,2.0,1.0,4381.0
3.0,4.0,12.6,3.0,4.0,128.9,2.0,4.0,142.4,2.0,3.0,165.4,2.0,3.0,278.3,2.0,3.0,2371.0
3.0,5.0,16.5,3.0,5.0,117.5,2.0,5.0,137.7,2.0,5.0,104.9,2.0,4.0,277.2,2.0,4.0,4687.0
3.0,6.0,275.7,3.0,6.0,861.3,2.0,6.0,1077.0,2.0,6.0,846.8,2.0,6.0,1371.0,2.0,5.0,4381.0
4.0,2.0,17.4,4.0,1.0,66.4,4.0,1.0,110.2,3.0,1.0,145.3,3.0,1.0,243.7,3.0,1.0,3149.0
4.0,3.0,21.8,4.0,3.0,143.5,4.0,2.0,163.2,3.0,2.0,205.8,3.0,2.0,320.4,3.0,2.0,4199.0
4.0,5.0,23.9,4.0,5.0,100.9,4.0,5.0,129.0,3.0,5.0,174.0,3.0,4.0,299.4,3.0,4.0,4799.0
4.0,6.0,296.4,4.0,6.0,667.4,4.0,6.0,912.0,3.0,6.0,1192.0,3.0,6.0,1023.0,3.0,5.0,3149.0
5.0,2.0,29.8,5.0,1.0,104.8,5.0,1.0,123.3,5.0,1.0,75.1,4.0,1.0,167.6,4.0,1.0,4381.0
5.0,3.0,35.8,5.0,3.0,174.2,5.0,2.0,150.5,5.0,2.0,100.4,4.0,2.0,238.5,4.0,2.0,4479.0
5.0,4.0,40.2,5.0,4.0,152.9,5.0,4.0,143.6,5.0,3.0,148.0,4.0,3.0,299.9,4.0,3.0,5758.0
5.0,6.0,287.1,5.0,6.0,992.9,5.0,6.0,752.0,5.0,6.0,434.3,4.0,6.0,937.4,4.0,5.0,3876.0
6.0,2.0,787.3,6.0,1.0,1587.0,6.0,1.0,2035.0,6.0,1.0,1083.0,6.0,1.0,1722.0,5.0,1.0,3359.0
6.0,3.0,826.0,6.0,3.0,2144.0,6.0,2.0,2077.0,6.0,2.0,1371.0,6.0,2.0,1737.0,5.0,2.0,3876.0
6.0,4.0,784.2,6.0,4.0,1995.0,6.0,4.0,2316.0,6.0,3.0,1638.0,6.0,3.0,2214.0,5.0,3.0,4113.0
6.0,5.0,752.0,6.0,5.0,1752.0,6.0,5.0,2488.0,6.0,5.0,1107.0,6.0,4.0,1259.0,5.0,4.0,3304.0
