1,澤 大介,澤 大介.1,2,黒野 元基,黒野 元基.1,3,佐藤　謙史朗,佐藤　謙史朗.1,4,藤丸 光一,藤丸 光一.1,5,西野 翔太,西野 翔太.1,6,北川 敏弘,北川 敏弘.1
2.0,3.0,12.9,1.0,3.0,19.6,1.0,2.0,48.9,1.0,2.0,107.4,1.0,2.0,83.4,1.0,2.0,1414.0
2.0,4.0,21.4,1.0,4.0,34.8,1.0,4.0,82.0,1.0,3.0,144.2,1.0,3.0,111.3,1.0,3.0,1547.0
2.0,5.0,14.3,1.0,5.0,22.8,1.0,5.0,43.9,1.0,5.0,152.4,1.0,4.0,170.6,1.0,4.0,1821.0
2.0,6.0,101.0,1.0,6.0,102.8,1.0,6.0,132.1,1.0,6.0,399.2,1.0,6.0,229.1,1.0,5.0,1489.0
3.0,2.0,22.2,3.0,1.0,29.8,2.0,1.0,45.8,2.0,1.0,143.8,2.0,1.0,93.4,2.0,1.0,1880.0
3.0,4.0,43.4,3.0,4.0,45.5,2.0,4.0,63.0,2.0,3.0,163.7,2.0,3.0,99.3,2.0,3.0,1520.0
3.0,5.0,35.2,3.0,5.0,24.1,2.0,5.0,31.6,2.0,5.0,185.5,2.0,4.0,170.1,2.0,4.0,1794.0
3.0,6.0,138.5,3.0,6.0,70.4,2.0,6.0,78.5,2.0,6.0,452.4,2.0,6.0,193.7,2.0,5.0,1356.0
4.0,2.0,35.8,4.0,1.0,69.7,4.0,1.0,120.9,3.0,1.0,196.3,3.0,1.0,84.0,3.0,1.0,1263.0
4.0,3.0,52.0,4.0,3.0,68.2,4.0,2.0,97.7,3.0,2.0,174.1,3.0,2.0,78.0,3.0,2.0,1171.0
4.0,5.0,61.0,4.0,5.0,84.3,4.0,5.0,91.0,3.0,5.0,189.1,3.0,4.0,126.9,3.0,4.0,1411.0
4.0,6.0,190.9,4.0,6.0,226.2,4.0,6.0,227.5,3.0,6.0,452.4,3.0,6.0,101.9,3.0,5.0,854.0
5.0,2.0,39.3,5.0,1.0,43.0,5.0,1.0,33.5,5.0,1.0,271.8,4.0,1.0,277.3,4.0,1.0,2228.0
5.0,3.0,63.7,5.0,3.0,39.0,5.0,2.0,31.8,5.0,2.0,257.0,4.0,2.0,270.9,4.0,2.0,2109.0
5.0,4.0,88.7,5.0,4.0,80.5,5.0,4.0,51.4,5.0,3.0,272.2,4.0,3.0,292.4,4.0,3.0,2222.0
5.0,6.0,186.7,5.0,6.0,119.8,5.0,6.0,46.4,5.0,6.0,524.4,4.0,6.0,499.9,4.0,5.0,1723.0
6.0,2.0,419.3,6.0,1.0,439.5,6.0,1.0,224.5,6.0,1.0,1015.0,6.0,1.0,508.7,5.0,1.0,1703.0
6.0,3.0,464.3,6.0,3.0,327.3,6.0,2.0,229.6,6.0,2.0,1036.0,6.0,2.0,471.6,5.0,2.0,1250.0
6.0,4.0,475.5,6.0,4.0,527.9,6.0,4.0,284.1,6.0,3.0,1058.0,6.0,3.0,375.7,5.0,3.0,988.4
6.0,5.0,461.0,6.0,5.0,341.0,6.0,5.0,144.4,6.0,5.0,1000.0,6.0,4.0,668.3,5.0,4.0,1856.0
