1,水原 慎,水原 慎.1,2,西原 明生,西原 明生.1,3,仲本 舜,仲本 舜.1,4,吉本 玲緒,吉本 玲緒.1,5,塩田 北斗,塩田 北斗.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,53.2,1.0,3.0,121.7,1.0,2.0,139.9,1.0,2.0,469.3,1.0,2.0,9.2,1.0,2.0,985.0
2.0,4.0,83.8,1.0,4.0,180.7,1.0,4.0,248.3,1.0,3.0,581.2,1.0,3.0,13.6,1.0,3.0,2019.0
2.0,5.0,21.0,1.0,5.0,46.2,1.0,5.0,51.8,1.0,5.0,217.5,1.0,4.0,23.4,1.0,4.0,1723.0
2.0,6.0,282.8,1.0,6.0,395.1,1.0,6.0,457.5,1.0,6.0,861.8,1.0,6.0,32.3,1.0,5.0,605.9
3.0,2.0,61.7,3.0,1.0,200.1,2.0,1.0,225.6,2.0,1.0,566.4,2.0,1.0,12.9,2.0,1.0,1169.0
3.0,4.0,106.2,3.0,4.0,319.4,2.0,4.0,399.1,2.0,3.0,727.1,2.0,3.0,25.4,2.0,3.0,2150.0
3.0,5.0,25.6,3.0,5.0,101.9,2.0,5.0,130.0,2.0,5.0,388.2,2.0,4.0,42.7,2.0,4.0,2702.0
3.0,6.0,283.6,3.0,6.0,701.5,2.0,6.0,816.1,2.0,6.0,1459.0,2.0,6.0,44.6,2.0,5.0,709.0
4.0,2.0,134.7,4.0,1.0,335.4,4.0,1.0,477.2,3.0,1.0,896.6,3.0,1.0,28.0,3.0,1.0,2984.0
4.0,3.0,171.6,4.0,3.0,515.3,4.0,2.0,584.6,3.0,2.0,970.6,3.0,2.0,38.1,3.0,2.0,2940.0
4.0,5.0,75.8,4.0,5.0,217.8,4.0,5.0,295.3,3.0,5.0,460.7,3.0,4.0,73.2,3.0,4.0,3225.0
4.0,6.0,402.3,4.0,6.0,1298.0,4.0,6.0,1169.0,3.0,6.0,1801.0,3.0,6.0,84.2,3.0,5.0,1298.0
5.0,2.0,10.7,5.0,1.0,35.0,5.0,1.0,46.6,5.0,1.0,156.3,4.0,1.0,47.6,4.0,1.0,5127.0
5.0,3.0,12.7,5.0,3.0,50.8,5.0,2.0,71.7,5.0,2.0,269.1,4.0,2.0,79.8,4.0,2.0,5127.0
5.0,4.0,26.0,5.0,4.0,87.1,5.0,4.0,127.4,5.0,3.0,280.4,4.0,3.0,97.3,4.0,3.0,4760.0
5.0,6.0,55.3,5.0,6.0,141.5,5.0,6.0,204.4,5.0,6.0,430.0,4.0,6.0,132.1,4.0,5.0,1638.0
6.0,2.0,540.4,6.0,1.0,873.1,6.0,1.0,1110.0,6.0,1.0,1492.0,6.0,1.0,47.6,5.0,1.0,498.6
6.0,3.0,640.8,6.0,3.0,1388.0,6.0,2.0,1481.0,6.0,2.0,1922.0,6.0,2.0,48.9,5.0,2.0,492.5
6.0,4.0,719.2,6.0,4.0,1834.0,6.0,4.0,1960.0,6.0,3.0,2739.0,6.0,3.0,87.7,5.0,3.0,876.9
6.0,5.0,330.5,6.0,5.0,441.4,6.0,5.0,861.8,6.0,5.0,869.3,6.0,4.0,124.8,5.0,4.0,1104.0
