1,楠原 翔太,楠原 翔太.1,2,田中 宏樹,田中 宏樹.1,3,小林 基樹,小林 基樹.1,4,渡邉 英児,渡邉 英児.1,5,田邉 亮蔵,田邉 亮蔵.1,6,坂井 康嗣,坂井 康嗣.1
2.0,3.0,7.9,1.0,3.0,36.1,1.0,2.0,41.1,1.0,2.0,44.6,1.0,2.0,414.5,1.0,2.0,699.7
2.0,4.0,7.5,1.0,4.0,27.9,1.0,4.0,32.9,1.0,3.0,48.8,1.0,3.0,411.7,1.0,3.0,903.4
2.0,5.0,32.9,1.0,5.0,109.2,1.0,5.0,93.2,1.0,5.0,74.2,1.0,4.0,362.4,1.0,4.0,712.1
2.0,6.0,27.7,1.0,6.0,80.0,1.0,6.0,173.4,1.0,6.0,102.1,1.0,6.0,498.1,1.0,5.0,1441.0
3.0,2.0,11.2,3.0,1.0,76.7,2.0,1.0,70.7,2.0,1.0,90.8,2.0,1.0,699.7,2.0,1.0,945.7
3.0,4.0,11.0,3.0,4.0,121.4,2.0,4.0,109.4,2.0,3.0,161.4,2.0,3.0,672.5,2.0,3.0,1441.0
3.0,5.0,29.9,3.0,5.0,284.1,2.0,5.0,251.1,2.0,5.0,216.1,2.0,4.0,796.4,2.0,4.0,1572.0
3.0,6.0,59.1,3.0,6.0,367.9,2.0,6.0,385.5,2.0,6.0,249.6,2.0,6.0,1407.0,2.0,5.0,2575.0
4.0,2.0,11.5,4.0,1.0,78.8,4.0,1.0,55.5,3.0,1.0,97.9,3.0,1.0,630.5,3.0,1.0,1100.0
4.0,3.0,13.4,4.0,3.0,139.9,4.0,2.0,94.8,3.0,2.0,155.2,3.0,2.0,791.2,3.0,2.0,1441.0
4.0,5.0,32.9,4.0,5.0,249.6,4.0,5.0,139.1,3.0,5.0,180.4,3.0,4.0,829.1,3.0,4.0,1198.0
4.0,6.0,43.1,4.0,6.0,363.5,4.0,6.0,223.7,3.0,6.0,290.3,3.0,6.0,2017.0,3.0,5.0,2575.0
5.0,2.0,94.8,5.0,1.0,455.1,5.0,1.0,233.2,5.0,1.0,123.7,4.0,1.0,298.9,4.0,1.0,864.7
5.0,3.0,86.4,5.0,3.0,565.7,5.0,2.0,413.1,5.0,2.0,210.1,4.0,2.0,555.3,4.0,2.0,1424.0
5.0,4.0,101.1,5.0,4.0,498.1,5.0,4.0,305.7,5.0,3.0,269.6,4.0,3.0,633.8,4.0,3.0,1635.0
5.0,6.0,238.3,5.0,6.0,1052.0,5.0,6.0,627.2,5.0,6.0,204.1,4.0,6.0,599.3,4.0,5.0,1862.0
6.0,2.0,119.0,6.0,1.0,508.6,6.0,1.0,582.0,6.0,1.0,247.5,6.0,1.0,1375.0,5.0,1.0,1754.0
6.0,3.0,179.3,6.0,3.0,823.5,6.0,2.0,683.9,6.0,2.0,357.1,6.0,2.0,1862.0,5.0,2.0,2241.0
6.0,4.0,139.9,6.0,4.0,766.2,6.0,4.0,665.1,6.0,3.0,519.5,6.0,3.0,2161.0,5.0,3.0,2522.0
6.0,5.0,365.7,6.0,5.0,1572.0,6.0,5.0,960.8,6.0,5.0,355.0,6.0,4.0,1476.0,5.0,4.0,1921.0
