1,玄馬 徹,玄馬 徹.1,2,川村 正輝,川村 正輝.1,3,船越 健吾,船越 健吾.1,4,三好 勇人,三好 勇人.1,5,平瀬 城啓,平瀬 城啓.1,6,小野 信樹,小野 信樹.1
2.0,3.0,18.7,1.0,3.0,20.3,1.0,2.0,95.2,1.0,2.0,21.5,1.0,2.0,318.7,1.0,2.0,965.1
2.0,4.0,11.9,1.0,4.0,10.9,1.0,4.0,75.7,1.0,3.0,55.1,1.0,3.0,636.0,1.0,3.0,1623.0
2.0,5.0,51.7,1.0,5.0,44.7,1.0,5.0,193.8,1.0,5.0,53.6,1.0,4.0,320.9,1.0,4.0,879.1
2.0,6.0,91.4,1.0,6.0,73.1,1.0,6.0,260.4,1.0,6.0,80.9,1.0,6.0,522.8,1.0,5.0,1683.0
3.0,2.0,32.2,3.0,1.0,49.1,2.0,1.0,99.0,2.0,1.0,21.4,2.0,1.0,420.8,2.0,1.0,1437.0
3.0,4.0,27.9,3.0,4.0,30.1,2.0,4.0,59.1,2.0,3.0,33.8,2.0,3.0,726.4,2.0,3.0,2379.0
3.0,5.0,98.3,3.0,5.0,101.7,2.0,5.0,154.5,2.0,5.0,48.2,2.0,4.0,346.7,2.0,4.0,965.1
3.0,6.0,162.9,3.0,6.0,188.5,2.0,6.0,248.2,2.0,6.0,75.8,2.0,6.0,647.9,2.0,5.0,1314.0
4.0,2.0,13.3,4.0,1.0,15.9,4.0,1.0,88.8,3.0,1.0,78.2,3.0,1.0,1053.0,3.0,1.0,2000.0
4.0,3.0,26.6,4.0,3.0,23.1,4.0,2.0,66.5,3.0,2.0,55.5,3.0,2.0,726.4,3.0,2.0,2300.0
4.0,5.0,53.5,4.0,5.0,41.4,4.0,5.0,144.6,3.0,5.0,131.3,3.0,4.0,610.7,3.0,4.0,1683.0
4.0,6.0,71.3,4.0,6.0,65.6,4.0,6.0,179.9,3.0,6.0,187.5,3.0,6.0,1200.0,3.0,5.0,2339.0
5.0,2.0,141.9,5.0,1.0,165.0,5.0,1.0,457.0,5.0,1.0,78.4,4.0,1.0,312.9,4.0,1.0,1000.0
5.0,3.0,259.4,5.0,3.0,205.3,5.0,2.0,339.9,5.0,2.0,74.4,4.0,2.0,272.7,4.0,2.0,1053.0
5.0,4.0,146.5,5.0,4.0,135.4,5.0,4.0,370.0,5.0,3.0,150.0,4.0,3.0,556.5,4.0,3.0,1890.0
5.0,6.0,273.8,5.0,6.0,291.1,5.0,6.0,528.8,5.0,6.0,116.5,4.0,6.0,384.4,4.0,5.0,1277.0
6.0,2.0,331.7,6.0,1.0,394.3,6.0,1.0,613.4,6.0,1.0,200.9,6.0,1.0,1037.0,5.0,1.0,1725.0
6.0,3.0,427.3,6.0,3.0,610.7,6.0,2.0,722.6,6.0,2.0,200.9,6.0,2.0,914.0,5.0,2.0,2156.0
6.0,4.0,288.1,6.0,4.0,284.5,6.0,4.0,575.0,6.0,3.0,362.2,6.0,3.0,1179.0,5.0,3.0,2339.0
6.0,5.0,597.5,6.0,5.0,618.9,6.0,5.0,1037.0,6.0,5.0,256.5,6.0,4.0,663.5,5.0,4.0,1210.0
