1,岡村 慶太,岡村 慶太.1,2,小林 文彦,小林 文彦.1,3,丸岡 正典,丸岡 正典.1,4,平石 和男,平石 和男.1,5,酒見 峻介,酒見 峻介.1,6,佐竹 太一,佐竹 太一.1
2.0,3.0,7.4,1.0,3.0,101.3,1.0,2.0,72.7,1.0,2.0,661.3,1.0,2.0,43.2,1.0,2.0,268.6
2.0,4.0,18.1,1.0,4.0,187.7,1.0,4.0,74.2,1.0,3.0,573.3,1.0,3.0,41.7,1.0,3.0,319.5
2.0,5.0,15.7,1.0,5.0,152.2,1.0,5.0,62.5,1.0,5.0,739.7,1.0,4.0,112.2,1.0,4.0,620.9
2.0,6.0,34.4,1.0,6.0,208.1,1.0,6.0,130.7,1.0,6.0,1083.0,1.0,6.0,37.6,1.0,5.0,205.1
3.0,2.0,7.8,3.0,1.0,221.1,2.0,1.0,207.8,2.0,1.0,1243.0,2.0,1.0,101.5,2.0,1.0,445.8
3.0,4.0,10.3,3.0,4.0,635.3,2.0,4.0,455.6,2.0,3.0,1958.0,2.0,3.0,168.1,2.0,3.0,780.1
3.0,5.0,9.9,3.0,5.0,473.6,2.0,5.0,431.6,2.0,5.0,2051.0,2.0,4.0,336.0,2.0,4.0,1215.0
3.0,6.0,27.3,3.0,6.0,693.4,2.0,6.0,526.9,2.0,6.0,2368.0,2.0,6.0,83.9,2.0,5.0,599.1
4.0,2.0,44.6,4.0,1.0,747.1,4.0,1.0,327.9,3.0,1.0,964.8,3.0,1.0,112.8,3.0,1.0,763.2
4.0,3.0,32.7,4.0,3.0,1177.0,4.0,2.0,659.1,3.0,2.0,1997.0,3.0,2.0,234.5,3.0,2.0,1091.0
4.0,5.0,56.2,4.0,5.0,1597.0,4.0,5.0,521.4,3.0,5.0,1556.0,3.0,4.0,354.9,3.0,4.0,1683.0
4.0,6.0,98.0,4.0,6.0,1540.0,4.0,6.0,786.3,3.0,6.0,2773.0,3.0,6.0,117.8,3.0,5.0,881.1
5.0,2.0,22.5,5.0,1.0,357.0,5.0,1.0,171.6,5.0,1.0,1099.0,4.0,1.0,423.4,4.0,1.0,2059.0
5.0,3.0,18.6,5.0,3.0,553.7,5.0,2.0,463.0,5.0,2.0,2051.0,4.0,2.0,779.1,4.0,2.0,2340.0
5.0,4.0,48.7,5.0,4.0,1093.0,5.0,4.0,433.5,5.0,3.0,1650.0,4.0,3.0,709.9,4.0,3.0,2582.0
5.0,6.0,31.8,5.0,6.0,496.4,5.0,6.0,379.2,5.0,6.0,1669.0,4.0,6.0,342.9,4.0,5.0,2269.0
6.0,2.0,51.6,6.0,1.0,464.1,6.0,1.0,372.8,6.0,1.0,2155.0,6.0,1.0,45.4,5.0,1.0,179.2
6.0,3.0,52.8,6.0,3.0,572.8,6.0,2.0,493.1,6.0,2.0,2748.0,6.0,2.0,66.0,5.0,2.0,256.1
6.0,4.0,135.1,6.0,4.0,1288.0,6.0,4.0,857.1,6.0,3.0,3292.0,6.0,3.0,86.6,5.0,3.0,323.3
6.0,5.0,58.2,6.0,5.0,662.8,6.0,5.0,445.1,6.0,5.0,2853.0,6.0,4.0,190.0,5.0,4.0,668.7
