1,尾嶋 一広,尾嶋 一広.1,2,黒柳 浩孝,黒柳 浩孝.1,3,石田 政吾,石田 政吾.1,4,広次 修,広次 修.1,5,明石 正之,明石 正之.1,6,森 照夫,森 照夫.1
2.0,3.0,4.2,1.0,3.0,30.6,1.0,2.0,83.7,1.0,2.0,135.4,1.0,2.0,362.4,1.0,2.0,482.0
2.0,4.0,5.8,1.0,4.0,35.9,1.0,4.0,133.9,1.0,3.0,251.1,1.0,3.0,486.7,1.0,3.0,805.5
2.0,5.0,13.2,1.0,5.0,69.4,1.0,5.0,152.2,1.0,5.0,202.5,1.0,4.0,595.4,1.0,4.0,794.5
2.0,6.0,26.4,1.0,6.0,101.6,1.0,6.0,288.2,1.0,6.0,246.3,1.0,6.0,625.8,1.0,5.0,1327.0
3.0,2.0,7.3,3.0,1.0,89.4,2.0,1.0,145.2,2.0,1.0,233.2,2.0,1.0,638.4,2.0,1.0,761.6
3.0,4.0,12.9,3.0,4.0,204.2,2.0,4.0,363.2,2.0,3.0,612.1,2.0,3.0,1263.0,2.0,3.0,1763.0
3.0,5.0,19.2,3.0,5.0,232.0,2.0,5.0,410.8,2.0,5.0,530.7,2.0,4.0,1620.0,2.0,4.0,1419.0
3.0,6.0,41.9,3.0,6.0,427.7,2.0,6.0,729.8,2.0,6.0,620.2,2.0,6.0,1613.0,2.0,5.0,2625.0
4.0,2.0,14.2,4.0,1.0,138.7,4.0,1.0,414.0,3.0,1.0,594.9,3.0,1.0,956.7,3.0,1.0,1711.0
4.0,3.0,23.5,4.0,3.0,293.4,4.0,2.0,617.5,3.0,2.0,865.4,3.0,2.0,1662.0,3.0,2.0,2485.0
4.0,5.0,38.6,4.0,5.0,360.7,4.0,5.0,930.0,3.0,5.0,1269.0,3.0,4.0,2665.0,3.0,4.0,2910.0
4.0,6.0,51.5,4.0,6.0,451.7,4.0,6.0,971.4,3.0,6.0,1315.0,3.0,6.0,3294.0,3.0,5.0,4232.0
5.0,2.0,39.3,5.0,1.0,370.1,5.0,1.0,534.7,5.0,1.0,300.5,4.0,1.0,831.4,4.0,1.0,1434.0
5.0,3.0,48.6,5.0,3.0,658.9,5.0,2.0,864.4,5.0,2.0,458.2,4.0,2.0,1312.0,4.0,2.0,1838.0
5.0,4.0,74.2,5.0,4.0,870.8,5.0,4.0,1303.0,5.0,3.0,871.9,4.0,3.0,1908.0,4.0,3.0,3294.0
5.0,6.0,119.9,5.0,6.0,1229.0,5.0,6.0,1867.0,5.0,6.0,455.0,4.0,6.0,1164.0,4.0,5.0,2827.0
6.0,2.0,84.9,6.0,1.0,565.9,6.0,1.0,1425.0,6.0,1.0,510.5,6.0,1.0,1687.0,5.0,1.0,2898.0
6.0,3.0,130.9,6.0,3.0,1310.0,6.0,2.0,1639.0,6.0,2.0,703.3,6.0,2.0,2359.0,5.0,2.0,3968.0
6.0,4.0,120.5,6.0,4.0,1055.0,6.0,4.0,2416.0,6.0,3.0,1300.0,6.0,3.0,3390.0,5.0,3.0,4719.0
6.0,5.0,209.4,6.0,5.0,1882.0,6.0,5.0,2898.0,6.0,5.0,694.2,6.0,4.0,2110.0,5.0,4.0,3174.0
