1,久永 祥平,久永 祥平.1,2,田中 宏典,田中 宏典.1,3,山口 晃朋,山口 晃朋.1,4,中村 駿平,中村 駿平.1,5,板橋 侑我,板橋 侑我.1,6,原田　才一郎,原田　才一郎.1
2.0,3.0,66.6,1.0,3.0,307.9,1.0,2.0,248.2,1.0,2.0,535.9,1.0,2.0,66.3,1.0,2.0,110.7
2.0,4.0,96.9,1.0,4.0,469.8,1.0,4.0,190.8,1.0,3.0,468.4,1.0,3.0,45.4,1.0,3.0,84.5
2.0,5.0,40.0,1.0,5.0,229.5,1.0,5.0,65.3,1.0,5.0,199.5,1.0,4.0,84.1,1.0,4.0,110.0
2.0,6.0,52.7,1.0,6.0,275.0,1.0,6.0,76.4,1.0,6.0,206.9,1.0,6.0,16.3,1.0,5.0,31.7
3.0,2.0,56.5,3.0,1.0,475.0,2.0,1.0,451.5,2.0,1.0,878.0,2.0,1.0,178.0,2.0,1.0,272.8
3.0,4.0,59.0,3.0,4.0,1010.0,2.0,4.0,703.6,2.0,3.0,1239.0,2.0,3.0,280.4,2.0,3.0,462.6
3.0,5.0,16.7,3.0,5.0,530.2,2.0,5.0,353.9,2.0,5.0,758.6,2.0,4.0,400.5,2.0,4.0,608.4
3.0,6.0,21.2,3.0,6.0,627.4,2.0,6.0,420.0,2.0,6.0,692.3,2.0,6.0,109.7,2.0,5.0,194.8
4.0,2.0,110.0,4.0,1.0,867.9,4.0,1.0,381.7,3.0,1.0,638.0,3.0,1.0,94.8,3.0,1.0,178.6
4.0,3.0,92.8,4.0,3.0,1153.0,4.0,2.0,834.2,3.0,2.0,1195.0,3.0,2.0,246.6,3.0,2.0,408.6
4.0,5.0,47.1,4.0,5.0,893.7,4.0,5.0,277.5,3.0,5.0,489.7,3.0,4.0,273.5,3.0,4.0,411.4
4.0,6.0,50.9,4.0,6.0,703.6,4.0,6.0,270.3,3.0,6.0,466.9,3.0,6.0,67.7,3.0,5.0,132.2
5.0,2.0,33.1,5.0,1.0,327.0,5.0,1.0,84.0,5.0,1.0,192.3,4.0,1.0,159.3,4.0,1.0,273.5
5.0,3.0,18.4,5.0,3.0,485.7,5.0,2.0,249.7,5.0,2.0,524.7,4.0,2.0,406.4,4.0,2.0,599.9
5.0,4.0,37.8,5.0,4.0,843.6,5.0,4.0,208.4,5.0,3.0,414.2,4.0,3.0,343.4,4.0,3.0,545.6
5.0,6.0,10.5,5.0,6.0,232.5,5.0,6.0,60.9,5.0,6.0,126.7,4.0,6.0,94.5,4.0,5.0,172.6
6.0,2.0,54.0,6.0,1.0,415.4,6.0,1.0,125.7,6.0,1.0,246.6,6.0,1.0,16.6,5.0,1.0,29.0
6.0,3.0,30.2,6.0,3.0,673.7,6.0,2.0,360.2,6.0,2.0,620.9,6.0,2.0,48.7,5.0,2.0,82.0
6.0,4.0,41.8,6.0,4.0,990.7,6.0,4.0,314.3,6.0,3.0,559.8,6.0,3.0,34.6,5.0,3.0,61.8
6.0,5.0,14.9,6.0,5.0,314.7,6.0,5.0,88.3,6.0,5.0,167.3,6.0,4.0,50.7,5.0,4.0,83.1
