1,玄馬 徹,玄馬 徹.1,2,大西 隆洋,大西 隆洋.1,3,谷口 健一,谷口 健一.1,4,岩崎 正哉,岩崎 正哉.1,5,室田 泰史,室田 泰史.1,6,塩田 雄一,塩田 雄一.1
2.0,3.0,35.6,1.0,3.0,70.2,1.0,2.0,171.2,1.0,2.0,41.4,1.0,2.0,119.9,1.0,2.0,949.8
2.0,4.0,13.6,1.0,4.0,34.6,1.0,4.0,93.9,1.0,3.0,68.2,1.0,3.0,147.7,1.0,3.0,1207.0
2.0,5.0,29.2,1.0,5.0,64.0,1.0,5.0,112.8,1.0,5.0,19.8,1.0,4.0,59.9,1.0,4.0,665.7
2.0,6.0,48.8,1.0,6.0,110.1,1.0,6.0,305.7,1.0,6.0,58.5,1.0,6.0,106.3,1.0,5.0,858.2
3.0,2.0,44.9,3.0,1.0,110.9,2.0,1.0,242.3,2.0,1.0,79.3,2.0,1.0,275.0,2.0,1.0,1344.0
3.0,4.0,31.4,3.0,4.0,149.0,2.0,4.0,147.7,2.0,3.0,132.4,2.0,3.0,325.2,2.0,3.0,1780.0
3.0,5.0,41.6,3.0,5.0,173.3,2.0,5.0,200.6,2.0,5.0,54.0,2.0,4.0,160.8,2.0,4.0,937.3
3.0,6.0,106.0,3.0,6.0,387.1,2.0,6.0,404.7,2.0,6.0,115.8,2.0,6.0,255.3,2.0,5.0,1187.0
4.0,2.0,16.6,4.0,1.0,63.6,4.0,1.0,111.8,3.0,1.0,124.1,3.0,1.0,277.1,3.0,1.0,1737.0
4.0,3.0,26.3,4.0,3.0,127.6,4.0,2.0,148.1,3.0,2.0,159.7,3.0,2.0,325.2,3.0,2.0,2035.0
4.0,5.0,14.1,4.0,5.0,77.0,4.0,5.0,98.9,3.0,5.0,95.8,3.0,4.0,219.8,3.0,4.0,1369.0
4.0,6.0,35.2,4.0,6.0,160.4,4.0,6.0,217.1,3.0,6.0,219.1,3.0,6.0,487.9,3.0,5.0,1780.0
5.0,2.0,38.5,5.0,1.0,98.3,5.0,1.0,166.8,5.0,1.0,20.9,4.0,1.0,57.9,4.0,1.0,672.0
5.0,3.0,66.7,5.0,3.0,203.5,5.0,2.0,206.4,5.0,2.0,31.4,4.0,2.0,91.0,4.0,2.0,901.7
5.0,4.0,28.8,5.0,4.0,114.5,5.0,4.0,129.9,5.0,3.0,64.2,4.0,3.0,115.2,4.0,3.0,1424.0
5.0,6.0,80.0,5.0,6.0,269.8,5.0,6.0,249.9,5.0,6.0,28.7,4.0,6.0,77.6,4.0,5.0,419.0
6.0,2.0,111.4,6.0,1.0,189.4,6.0,1.0,818.8,6.0,1.0,113.6,6.0,1.0,205.8,5.0,1.0,838.0
6.0,3.0,363.4,6.0,3.0,901.7,6.0,2.0,726.9,6.0,2.0,157.9,6.0,2.0,273.9,5.0,2.0,1424.0
6.0,4.0,142.1,6.0,4.0,487.9,6.0,4.0,560.9,6.0,3.0,242.3,6.0,3.0,369.1,5.0,3.0,1484.0
6.0,5.0,230.5,6.0,5.0,749.8,6.0,5.0,653.5,6.0,5.0,72.9,6.0,4.0,180.3,5.0,4.0,474.9
