1,田村 慶,田村 慶.1,2,重冨 勇哉,重冨 勇哉.1,3,藤森 陸斗,藤森 陸斗.1,4,眞崎 武蔵,眞崎 武蔵.1,5,木谷 賢太,木谷 賢太.1,6,柳瀬 幹太,柳瀬 幹太.1
2.0,3.0,17.4,1.0,3.0,46.1,1.0,2.0,54.8,1.0,2.0,292.6,1.0,2.0,80.8,1.0,2.0,665.6
2.0,4.0,53.5,1.0,4.0,102.4,1.0,4.0,71.4,1.0,3.0,244.5,1.0,3.0,34.5,1.0,3.0,324.9
2.0,5.0,15.4,1.0,5.0,42.1,1.0,5.0,17.4,1.0,5.0,248.3,1.0,4.0,171.5,1.0,4.0,1060.0
2.0,6.0,67.2,1.0,6.0,123.3,1.0,6.0,43.7,1.0,6.0,382.4,1.0,6.0,75.9,1.0,5.0,372.0
3.0,2.0,16.1,3.0,1.0,77.0,2.0,1.0,102.3,2.0,1.0,353.4,2.0,1.0,128.1,2.0,1.0,823.6
3.0,4.0,34.0,3.0,4.0,237.0,2.0,4.0,239.2,2.0,3.0,490.5,2.0,3.0,139.6,2.0,3.0,812.2
3.0,5.0,7.8,3.0,5.0,77.9,2.0,5.0,82.8,2.0,5.0,487.8,2.0,4.0,490.5,2.0,4.0,1238.0
3.0,6.0,24.8,3.0,6.0,253.3,2.0,6.0,240.2,2.0,6.0,922.2,2.0,6.0,267.4,2.0,5.0,808.5
4.0,2.0,85.2,4.0,1.0,302.6,4.0,1.0,137.3,3.0,1.0,305.3,3.0,1.0,47.6,3.0,1.0,451.7
4.0,3.0,72.2,4.0,3.0,393.5,4.0,2.0,283.3,3.0,2.0,517.7,3.0,2.0,139.1,3.0,2.0,847.2
4.0,5.0,65.9,4.0,5.0,432.9,4.0,5.0,119.8,3.0,5.0,257.0,3.0,4.0,181.6,3.0,4.0,1086.0
4.0,6.0,121.6,4.0,6.0,588.2,4.0,6.0,216.2,3.0,6.0,415.6,3.0,6.0,99.7,3.0,5.0,409.8
5.0,2.0,20.2,5.0,1.0,87.0,5.0,1.0,27.9,5.0,1.0,289.3,4.0,1.0,337.9,4.0,1.0,1331.0
5.0,3.0,11.5,5.0,3.0,95.4,5.0,2.0,79.9,5.0,2.0,431.8,4.0,2.0,530.1,4.0,2.0,1526.0
5.0,4.0,61.3,5.0,4.0,323.1,5.0,4.0,88.4,5.0,3.0,286.9,4.0,3.0,308.4,4.0,3.0,1255.0
5.0,6.0,28.7,5.0,6.0,206.3,5.0,6.0,48.9,5.0,6.0,351.3,4.0,6.0,386.6,4.0,5.0,1106.0
6.0,2.0,167.2,6.0,1.0,467.2,6.0,1.0,141.7,6.0,1.0,776.6,6.0,1.0,130.1,5.0,1.0,392.6
6.0,3.0,90.1,6.0,3.0,458.7,6.0,2.0,327.3,6.0,2.0,1047.0,6.0,2.0,290.2,5.0,2.0,797.6
6.0,4.0,243.2,6.0,4.0,894.3,6.0,4.0,321.9,6.0,3.0,675.8,6.0,3.0,127.5,5.0,3.0,336.0
6.0,5.0,85.7,6.0,5.0,432.9,6.0,5.0,121.4,6.0,5.0,763.2,6.0,4.0,387.4,5.0,4.0,1017.0
