1,富永 正人,富永 正人.1,2,田頭 虎親,田頭 虎親.1,3,磯村 匠,磯村 匠.1,4,奥田 誠,奥田 誠.1,5,近藤 稔也,近藤 稔也.1,6,中村 泰平,中村 泰平.1
2.0,3.0,15.9,1.0,3.0,22.9,1.0,2.0,95.3,1.0,2.0,125.9,1.0,2.0,218.8,1.0,2.0,38.0
2.0,4.0,14.8,1.0,4.0,17.2,1.0,4.0,168.6,1.0,3.0,346.8,1.0,3.0,409.3,1.0,3.0,164.6
2.0,5.0,26.9,1.0,5.0,39.6,1.0,5.0,267.6,1.0,5.0,197.3,1.0,4.0,426.0,1.0,4.0,120.2
2.0,6.0,10.4,1.0,6.0,11.6,1.0,6.0,143.9,1.0,6.0,105.5,1.0,6.0,182.5,1.0,5.0,209.6
3.0,2.0,32.9,3.0,1.0,78.5,2.0,1.0,131.8,2.0,1.0,147.0,2.0,1.0,273.9,2.0,1.0,38.4
3.0,4.0,64.0,3.0,4.0,135.0,2.0,4.0,180.6,2.0,3.0,444.2,2.0,3.0,610.4,2.0,3.0,160.1
3.0,5.0,100.3,3.0,5.0,212.1,2.0,5.0,249.7,2.0,5.0,269.0,2.0,4.0,476.6,2.0,4.0,94.7
3.0,6.0,50.2,3.0,6.0,86.2,2.0,6.0,132.9,2.0,6.0,103.1,2.0,6.0,202.7,2.0,5.0,176.3
4.0,2.0,32.4,4.0,1.0,69.5,4.0,1.0,318.2,3.0,1.0,573.5,3.0,1.0,751.0,3.0,1.0,290.7
4.0,3.0,86.5,4.0,3.0,172.2,4.0,2.0,289.1,3.0,2.0,673.5,3.0,2.0,735.1,3.0,2.0,250.9
4.0,5.0,93.6,4.0,5.0,188.0,4.0,5.0,636.5,3.0,5.0,735.1,3.0,4.0,1228.0,3.0,4.0,347.9
4.0,6.0,40.2,4.0,6.0,55.1,4.0,6.0,253.3,3.0,6.0,436.7,3.0,6.0,796.8,3.0,5.0,576.7
5.0,2.0,77.1,5.0,1.0,143.9,5.0,1.0,546.5,5.0,1.0,179.3,4.0,1.0,434.9,4.0,1.0,189.4
5.0,3.0,171.1,5.0,3.0,330.3,5.0,2.0,501.8,5.0,2.0,210.4,4.0,2.0,448.0,4.0,2.0,139.9
5.0,4.0,159.6,5.0,4.0,255.8,5.0,4.0,673.5,5.0,3.0,579.9,4.0,3.0,815.5,4.0,3.0,393.9
5.0,6.0,90.4,5.0,6.0,112.3,5.0,6.0,483.3,5.0,6.0,152.1,4.0,6.0,283.6,4.0,5.0,291.6
6.0,2.0,19.4,6.0,1.0,22.1,6.0,1.0,322.2,6.0,1.0,99.4,6.0,1.0,222.1,5.0,1.0,262.2
6.0,3.0,77.0,6.0,3.0,84.5,6.0,2.0,253.9,6.0,2.0,98.6,6.0,2.0,205.0,5.0,2.0,253.9
6.0,4.0,48.2,6.0,4.0,47.1,6.0,4.0,346.8,6.0,3.0,299.1,6.0,3.0,573.5,5.0,3.0,719.9
6.0,5.0,81.4,6.0,5.0,84.1,6.0,5.0,555.2,6.0,5.0,162.1,6.0,4.0,331.4,5.0,4.0,404.6
