1,大澤 真菜,大澤 真菜.1,2,出口　舞有子,出口　舞有子.1,3,松本 怜,松本 怜.1,4,小野 桜,小野 桜.1,5,坂本 奈央,坂本 奈央.1,6,堀之内紀代子,堀之内紀代子.1
2.0,3.0,44.4,1.0,3.0,34.7,1.0,2.0,181.2,1.0,2.0,84.1,1.0,2.0,1422.0,1.0,2.0,25.7
2.0,4.0,27.5,1.0,4.0,19.6,1.0,4.0,165.3,1.0,3.0,158.9,1.0,3.0,1467.0,1.0,3.0,60.2
2.0,5.0,279.0,1.0,5.0,286.7,1.0,5.0,672.6,1.0,5.0,313.1,1.0,4.0,1301.0,1.0,4.0,36.3
2.0,6.0,32.1,1.0,6.0,25.4,1.0,6.0,204.8,1.0,6.0,60.0,1.0,6.0,1403.0,1.0,5.0,234.9
3.0,2.0,78.1,3.0,1.0,76.7,2.0,1.0,203.6,2.0,1.0,87.0,2.0,1.0,2306.0,2.0,1.0,21.6
3.0,4.0,79.4,3.0,4.0,34.6,2.0,4.0,83.9,2.0,3.0,147.0,2.0,3.0,2017.0,2.0,3.0,33.3
3.0,5.0,397.1,3.0,5.0,400.0,2.0,5.0,692.8,2.0,5.0,352.8,2.0,4.0,1655.0,2.0,4.0,15.1
3.0,6.0,97.3,3.0,6.0,44.0,2.0,6.0,116.3,2.0,6.0,38.2,2.0,6.0,1567.0,2.0,5.0,169.0
4.0,2.0,48.3,4.0,1.0,38.7,4.0,1.0,239.3,3.0,1.0,228.3,3.0,1.0,2030.0,3.0,1.0,105.7
4.0,3.0,77.7,4.0,3.0,41.3,4.0,2.0,162.3,3.0,2.0,225.9,3.0,2.0,2322.0,3.0,2.0,68.9
4.0,5.0,267.7,4.0,5.0,212.4,4.0,5.0,789.3,3.0,5.0,697.3,3.0,4.0,2391.0,3.0,4.0,82.7
4.0,6.0,36.4,4.0,6.0,21.2,4.0,6.0,158.8,3.0,6.0,158.8,3.0,6.0,2306.0,3.0,5.0,435.1
5.0,2.0,791.3,5.0,1.0,811.2,5.0,1.0,1460.0,5.0,1.0,368.9,4.0,1.0,1397.0,4.0,1.0,38.7
5.0,3.0,856.3,5.0,3.0,981.3,5.0,2.0,1076.0,5.0,2.0,405.0,4.0,2.0,1391.0,4.0,2.0,20.4
5.0,4.0,719.0,5.0,4.0,629.3,5.0,4.0,1256.0,5.0,3.0,635.5,4.0,3.0,1803.0,4.0,3.0,55.1
5.0,6.0,658.8,5.0,6.0,560.5,5.0,6.0,1317.0,5.0,6.0,185.3,4.0,6.0,558.5,4.0,5.0,154.9
6.0,2.0,44.1,6.0,1.0,31.1,6.0,1.0,272.2,6.0,1.0,48.4,6.0,1.0,1246.0,5.0,1.0,354.3
6.0,3.0,97.8,6.0,3.0,44.9,6.0,2.0,177.5,6.0,2.0,30.2,6.0,2.0,1368.0,5.0,2.0,402.0
6.0,4.0,50.6,6.0,4.0,19.3,6.0,4.0,170.8,6.0,3.0,75.2,6.0,3.0,1877.0,5.0,3.0,688.3
6.0,5.0,317.4,6.0,5.0,225.1,6.0,5.0,969.5,6.0,5.0,128.5,6.0,4.0,595.6,5.0,4.0,286.9
